STRUCTURE,STRUCTURE_ID,freq,unit,facility,hlthcare,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_RS_BDS1(1.0),A,HAB_P,HBEDT,PSY,AL,1988,2468.45,
dataflow,ESTAT:HLTH_RS_BDS1(1.0),A,HAB_P,HBEDT,PSY,AL,1989,2687.71,
dataflow,ESTAT:HLTH_RS_BDS1(1.0),A,HAB_P,HBEDT,PSY,AL,1990,2579.32,
dataflow,ESTAT:HLTH_RS_BDS1(1.0),A,HAB_P,HBEDT,PSY,AL,1991,2482.65,
dataflow,ESTAT:HLTH_RS_BDS1(1.0),A,HAB_P,HBEDT,PSY,AL,1992,2441.47,
dataflow,ESTAT:HLTH_RS_BDS1(1.0),A,HAB_P,HBEDT,PSY,AL,1993,3128.20,
dataflow,ESTAT:HLTH_RS_BDS1(1.0),A,HAB_P,HBEDT,PSY,AL,1994,3244.31,
dataflow,ESTAT:HLTH_RS_BDS1(1.0),A,HAB_P,HBEDT,PSY,AL,1995,3342.80,
dataflow,ESTAT:HLTH_RS_BDS1(1.0),A,HAB_P,HBEDT,PSY,AL,1996,3381.43,
dataflow,ESTAT:HLTH_RS_BDS1(1.0),A,HAB_P,HBEDT,PSY,AL,1997,3560.05,
dataflow,ESTAT:HLTH_RS_BDS1(1.0),A,HAB_P,HBEDT,PSY,AL,1998,3696.59,
dataflow,ESTAT:HLTH_RS_BDS1(1.0),A,HAB_P,HBEDT,PSY,AL,1999,3439.54,
dataflow,ESTAT:HLTH_RS_BDS1(1.0),A,HAB_P,HBEDT,PSY,AL,2000,3345.25,
dataflow,ESTAT:HLTH_RS_BDS1(1.0),A,HAB_P,HBEDT,PSY,AL,2001,3362.82,
dataflow,ESTAT:HLTH_RS_BDS1(1.0),A,HAB_P,HBEDT,PSY,AL,2002,3352.75,
dataflow,ESTAT:HLTH_RS_BDS1(1.0),A,HAB_P,HBEDT,PSY,AL,2003,3823.41,
dataflow,ESTAT:HLTH_RS_BDS1(1.0),A,HAB_P,HBEDT,PSY,AL,2004,3807.46,
dataflow,ESTAT:HLTH_RS_BDS1(1.0),A,HAB_P,HBEDT,PSY,AL,2005,3788.03,
dataflow,ESTAT:HLTH_RS_BDS1(1.0),A,HAB_P,HBEDT,PSY,AL,2006,3764.20,
dataflow,ESTAT:HLTH_RS_BDS1(1.0),A,HAB_P,HBEDT,PSY,AL,2007,4085.30,
dataflow,ESTAT:HLTH_RS_BDS1(1.0),A,HAB_P,HBEDT,PSY,AL,2009,4230.51,
dataflow,ESTAT:HLTH_RS_BDS1(1.0),A,HAB_P,HBEDT,PSY,AL,2010,4209.56,
dataflow,ESTAT:HLTH_RS_BDS1(1.0),A,HAB_P,HBEDT,PSY,AL,2011,4198.24,
dataflow,ESTAT:HLTH_RS_BDS1(1.0),A,HAB_P,HBEDT,PSY,AL,2012,3893.14,
dataflow,ESTAT:HLTH_RS_BDS1(1.0),A,HAB_P,HBEDT,PSY,AL,2013,3886.02,
dataflow,ESTAT:HLTH_RS_BDS1(1.0),A,HAB_P,HBEDT,PSY,AT,1988,1089.53,
dataflow,ESTAT:HLTH_RS_BDS1(1.0),A,HAB_P,HBEDT,PSY,AT,1989,1126.82,
dataflow,ESTAT:HLTH_RS_BDS1(1.0),A,HAB_P,HBEDT,PSY,AT,1990,1151.62,
dataflow,ESTAT:HLTH_RS_BDS1(1.0),A,HAB_P,HBEDT,PSY,AT,1991,1177.84,
dataflow,ESTAT:HLTH_RS_BDS1(1.0),A,HAB_P,HBEDT,PSY,AT,1992,1257.13,
dataflow,ESTAT:HLTH_RS_BDS1(1.0),A,HAB_P,HBEDT,PSY,AT,1993,1294.31,
dataflow,ESTAT:HLTH_RS_BDS1(1.0),A,HAB_P,HBEDT,PSY,AT,1994,1356.60,
dataflow,ESTAT:HLTH_RS_BDS1(1.0),A,HAB_P,HBEDT,PSY,AT,1995,1452.01,
dataflow,ESTAT:HLTH_RS_BDS1(1.0),A,HAB_P,HBEDT,PSY,AT,1996,1589.26,
dataflow,ESTAT:HLTH_RS_BDS1(1.0),A,HAB_P,HBEDT,PSY,AT,1997,1677.13,
dataflow,ESTAT:HLTH_RS_BDS1(1.0),A,HAB_P,HBEDT,PSY,AT,1998,1761.27,
dataflow,ESTAT:HLTH_RS_BDS1(1.0),A,HAB_P,HBEDT,PSY,AT,1999,1883.21,
dataflow,ESTAT:HLTH_RS_BDS1(1.0),A,HAB_P,HBEDT,PSY,AT,2000,1475.43,b
dataflow,ESTAT:HLTH_RS_BDS1(1.0),A,HAB_P,HBEDT,PSY,AT,2001,1510.86,
dataflow,ESTAT:HLTH_RS_BDS1(1.0),A,HAB_P,HBEDT,PSY,AT,2002,1467.85,
dataflow,ESTAT:HLTH_RS_BDS1(1.0),A,HAB_P,HBEDT,PSY,AT,2003,1509.56,
dataflow,ESTAT:HLTH_RS_BDS1(1.0),A,HAB_P,HBEDT,PSY,AT,2004,1499.99,
dataflow,ESTAT:HLTH_RS_BDS1(1.0),A,HAB_P,HBEDT,PSY,AT,2005,1468.21,
dataflow,ESTAT:HLTH_RS_BDS1(1.0),A,HAB_P,HBEDT,PSY,AT,2006,1411.75,
dataflow,ESTAT:HLTH_RS_BDS1(1.0),A,HAB_P,HBEDT,PSY,AT,2007,1317.79,
dataflow,ESTAT:HLTH_RS_BDS1(1.0),A,HAB_P,HBEDT,PSY,AT,2008,1346.08,
dataflow,ESTAT:HLTH_RS_BDS1(1.0),A,HAB_P,HBEDT,PSY,AT,2009,1346.57,
dataflow,ESTAT:HLTH_RS_BDS1(1.0),A,HAB_P,HBEDT,PSY,AT,2010,1399.73,
dataflow,ESTAT:HLTH_RS_BDS1(1.0),A,HAB_P,HBEDT,PSY,AT,2011,1403.05,
dataflow,ESTAT:HLTH_RS_BDS1(1.0),A,HAB_P,HBEDT,PSY,AT,2012,1355.74,
dataflow,ESTAT:HLTH_RS_BDS1(1.0),A,HAB_P,HBEDT,PSY,AT,2013,1342.17,
dataflow,ESTAT:HLTH_RS_BDS1(1.0),A,HAB_P,HBEDT,PSY,AT,2014,1342.92,
dataflow,ESTAT:HLTH_RS_BDS1(1.0),A,HAB_P,HBEDT,PSY,AT,2015,1339.95,
dataflow,ESTAT:HLTH_RS_BDS1(1.0),A,HAB_P,HBEDT,PSY,AT,2016,1339.36,
dataflow,ESTAT:HLTH_RS_BDS1(1.0),A,HAB_P,HBEDT,PSY,AT,2017,1336.00,
dataflow,ESTAT:HLTH_RS_BDS1(1.0),A,HAB_P,HBEDT,PSY,AT,2018,1375.74,
dataflow,ESTAT:HLTH_RS_BDS1(1.0),A,HAB_P,HBEDT,PSY,AT,2019,1455.96,
dataflow,ESTAT:HLTH_RS_BDS1(1.0),A,HAB_P,HBEDT,PSY,AT,2020,1439.60,
dataflow,ESTAT:HLTH_RS_BDS1(1.0),A,HAB_P,HBEDT,PSY,AT,2021,1392.60,
dataflow,ESTAT:HLTH_RS_BDS1(1.0),A,HAB_P,HBEDT,PSY,BE,1988,602.91,
dataflow,ESTAT:HLTH_RS_BDS1(1.0),A,HAB_P,HBEDT,PSY,BE,1989,591.56,
dataflow,ESTAT:HLTH_RS_BDS1(1.0),A,HAB_P,HBEDT,PSY,BE,1990,569.17,
dataflow,ESTAT:HLTH_RS_BDS1(1.0),A,HAB_P,HBEDT,PSY,BE,1991,575.63,
dataflow,ESTAT:HLTH_RS_BDS1(1.0),A,HAB_P,HBEDT,PSY,BE,1992,584.80,
dataflow,ESTAT:HLTH_RS_BDS1(1.0),A,HAB_P,HBEDT,PSY,BE,1993,596.22,
dataflow,ESTAT:HLTH_RS_BDS1(1.0),A,HAB_P,HBEDT,PSY,BE,1994,610.88,
dataflow,ESTAT:HLTH_RS_BDS1(1.0),A,HAB_P,HBEDT,PSY,BE,1995,619.34,
dataflow,ESTAT:HLTH_RS_BDS1(1.0),A,HAB_P,HBEDT,PSY,BE,1996,633.96,
dataflow,ESTAT:HLTH_RS_BDS1(1.0),A,HAB_P,HBEDT,PSY,BE,1997,626.81,
dataflow,ESTAT:HLTH_RS_BDS1(1.0),A,HAB_P,HBEDT,PSY,BE,1998,622.78,
dataflow,ESTAT:HLTH_RS_BDS1(1.0),A,HAB_P,HBEDT,PSY,BE,1999,624.09,
dataflow,ESTAT:HLTH_RS_BDS1(1.0),A,HAB_P,HBEDT,PSY,BE,2000,631.58,
dataflow,ESTAT:HLTH_RS_BDS1(1.0),A,HAB_P,HBEDT,PSY,BE,2001,654.03,
dataflow,ESTAT:HLTH_RS_BDS1(1.0),A,HAB_P,HBEDT,PSY,BE,2002,659.19,
dataflow,ESTAT:HLTH_RS_BDS1(1.0),A,HAB_P,HBEDT,PSY,BE,2003,661.66,
dataflow,ESTAT:HLTH_RS_BDS1(1.0),A,HAB_P,HBEDT,PSY,BE,2004,659.02,
dataflow,ESTAT:HLTH_RS_BDS1(1.0),A,HAB_P,HBEDT,PSY,BE,2005,656.27,
dataflow,ESTAT:HLTH_RS_BDS1(1.0),A,HAB_P,HBEDT,PSY,BE,2006,662.39,
dataflow,ESTAT:HLTH_RS_BDS1(1.0),A,HAB_P,HBEDT,PSY,BE,2007,666.02,
dataflow,ESTAT:HLTH_RS_BDS1(1.0),A,HAB_P,HBEDT,PSY,BE,2008,668.25,
dataflow,ESTAT:HLTH_RS_BDS1(1.0),A,HAB_P,HBEDT,PSY,BE,2009,675.16,
dataflow,ESTAT:HLTH_RS_BDS1(1.0),A,HAB_P,HBEDT,PSY,BE,2010,680.77,
