STRUCTURE,STRUCTURE_ID,freq,unit,facility,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_RS_BDSNS(1.0),A,HAB_P,NRCBED,AL,1985,5390.48,
dataflow,ESTAT:HLTH_RS_BDSNS(1.0),A,HAB_P,NRCBED,AL,1986,9813.75,
dataflow,ESTAT:HLTH_RS_BDSNS(1.0),A,HAB_P,NRCBED,AL,1987,9820.40,
dataflow,ESTAT:HLTH_RS_BDSNS(1.0),A,HAB_P,NRCBED,AL,1988,10509.48,
dataflow,ESTAT:HLTH_RS_BDSNS(1.0),A,HAB_P,NRCBED,AL,1989,7796.96,
dataflow,ESTAT:HLTH_RS_BDSNS(1.0),A,HAB_P,NRCBED,AT,2004,153.65,
dataflow,ESTAT:HLTH_RS_BDSNS(1.0),A,HAB_P,NRCBED,AT,2007,148.72,
dataflow,ESTAT:HLTH_RS_BDSNS(1.0),A,HAB_P,NRCBED,AT,2009,147.18,
dataflow,ESTAT:HLTH_RS_BDSNS(1.0),A,HAB_P,NRCBED,AT,2011,134.23,
dataflow,ESTAT:HLTH_RS_BDSNS(1.0),A,HAB_P,NRCBED,AT,2012,128.53,bd
dataflow,ESTAT:HLTH_RS_BDSNS(1.0),A,HAB_P,NRCBED,AT,2013,128.39,d
dataflow,ESTAT:HLTH_RS_BDSNS(1.0),A,HAB_P,NRCBED,AT,2014,128.59,d
dataflow,ESTAT:HLTH_RS_BDSNS(1.0),A,HAB_P,NRCBED,AT,2015,129.60,d
dataflow,ESTAT:HLTH_RS_BDSNS(1.0),A,HAB_P,NRCBED,AT,2016,129.88,d
dataflow,ESTAT:HLTH_RS_BDSNS(1.0),A,HAB_P,NRCBED,AT,2017,115.59,bd
dataflow,ESTAT:HLTH_RS_BDSNS(1.0),A,HAB_P,NRCBED,AT,2018,115.79,d
dataflow,ESTAT:HLTH_RS_BDSNS(1.0),A,HAB_P,NRCBED,AT,2019,115.99,d
dataflow,ESTAT:HLTH_RS_BDSNS(1.0),A,HAB_P,NRCBED,AT,2020,114.51,d
dataflow,ESTAT:HLTH_RS_BDSNS(1.0),A,HAB_P,NRCBED,AT11,2007,157.21,
dataflow,ESTAT:HLTH_RS_BDSNS(1.0),A,HAB_P,NRCBED,AT11,2009,156.74,
dataflow,ESTAT:HLTH_RS_BDSNS(1.0),A,HAB_P,NRCBED,AT11,2011,145.25,
dataflow,ESTAT:HLTH_RS_BDSNS(1.0),A,HAB_P,NRCBED,AT11,2012,135.21,b
dataflow,ESTAT:HLTH_RS_BDSNS(1.0),A,HAB_P,NRCBED,AT11,2013,133.86,
dataflow,ESTAT:HLTH_RS_BDSNS(1.0),A,HAB_P,NRCBED,AT11,2014,134.27,
dataflow,ESTAT:HLTH_RS_BDSNS(1.0),A,HAB_P,NRCBED,AT11,2015,136.83,
dataflow,ESTAT:HLTH_RS_BDSNS(1.0),A,HAB_P,NRCBED,AT12,2007,185.79,
dataflow,ESTAT:HLTH_RS_BDSNS(1.0),A,HAB_P,NRCBED,AT12,2009,180.92,
dataflow,ESTAT:HLTH_RS_BDSNS(1.0),A,HAB_P,NRCBED,AT12,2011,176.09,
dataflow,ESTAT:HLTH_RS_BDSNS(1.0),A,HAB_P,NRCBED,AT12,2012,188.10,b
dataflow,ESTAT:HLTH_RS_BDSNS(1.0),A,HAB_P,NRCBED,AT12,2013,179.93,
dataflow,ESTAT:HLTH_RS_BDSNS(1.0),A,HAB_P,NRCBED,AT12,2014,179.58,
dataflow,ESTAT:HLTH_RS_BDSNS(1.0),A,HAB_P,NRCBED,AT12,2015,179.09,
dataflow,ESTAT:HLTH_RS_BDSNS(1.0),A,HAB_P,NRCBED,AT13,2007,178.67,
dataflow,ESTAT:HLTH_RS_BDSNS(1.0),A,HAB_P,NRCBED,AT13,2009,184.99,
dataflow,ESTAT:HLTH_RS_BDSNS(1.0),A,HAB_P,NRCBED,AT13,2011,186.92,
dataflow,ESTAT:HLTH_RS_BDSNS(1.0),A,HAB_P,NRCBED,AT13,2012,169.88,b
dataflow,ESTAT:HLTH_RS_BDSNS(1.0),A,HAB_P,NRCBED,AT13,2013,182.32,
dataflow,ESTAT:HLTH_RS_BDSNS(1.0),A,HAB_P,NRCBED,AT13,2014,184.49,
dataflow,ESTAT:HLTH_RS_BDSNS(1.0),A,HAB_P,NRCBED,AT13,2015,191.88,
dataflow,ESTAT:HLTH_RS_BDSNS(1.0),A,HAB_P,NRCBED,AT21,2007,177.45,
dataflow,ESTAT:HLTH_RS_BDSNS(1.0),A,HAB_P,NRCBED,AT21,2009,177.48,
dataflow,ESTAT:HLTH_RS_BDSNS(1.0),A,HAB_P,NRCBED,AT21,2011,117.13,
dataflow,ESTAT:HLTH_RS_BDSNS(1.0),A,HAB_P,NRCBED,AT21,2012,104.88,b
dataflow,ESTAT:HLTH_RS_BDSNS(1.0),A,HAB_P,NRCBED,AT21,2013,104.61,
dataflow,ESTAT:HLTH_RS_BDSNS(1.0),A,HAB_P,NRCBED,AT21,2014,102.07,
dataflow,ESTAT:HLTH_RS_BDSNS(1.0),A,HAB_P,NRCBED,AT21,2015,98.88,
dataflow,ESTAT:HLTH_RS_BDSNS(1.0),A,HAB_P,NRCBED,AT22,2007,115.65,
dataflow,ESTAT:HLTH_RS_BDSNS(1.0),A,HAB_P,NRCBED,AT22,2009,116.63,
dataflow,ESTAT:HLTH_RS_BDSNS(1.0),A,HAB_P,NRCBED,AT22,2011,88.30,
dataflow,ESTAT:HLTH_RS_BDSNS(1.0),A,HAB_P,NRCBED,AT22,2012,88.43,b
dataflow,ESTAT:HLTH_RS_BDSNS(1.0),A,HAB_P,NRCBED,AT22,2013,86.21,
dataflow,ESTAT:HLTH_RS_BDSNS(1.0),A,HAB_P,NRCBED,AT22,2014,85.93,
dataflow,ESTAT:HLTH_RS_BDSNS(1.0),A,HAB_P,NRCBED,AT22,2015,85.65,
dataflow,ESTAT:HLTH_RS_BDSNS(1.0),A,HAB_P,NRCBED,AT31,2007,121.12,
dataflow,ESTAT:HLTH_RS_BDSNS(1.0),A,HAB_P,NRCBED,AT31,2009,118.83,
dataflow,ESTAT:HLTH_RS_BDSNS(1.0),A,HAB_P,NRCBED,AT31,2011,118.33,
dataflow,ESTAT:HLTH_RS_BDSNS(1.0),A,HAB_P,NRCBED,AT31,2012,114.54,b
dataflow,ESTAT:HLTH_RS_BDSNS(1.0),A,HAB_P,NRCBED,AT31,2013,115.15,
dataflow,ESTAT:HLTH_RS_BDSNS(1.0),A,HAB_P,NRCBED,AT31,2014,116.14,
dataflow,ESTAT:HLTH_RS_BDSNS(1.0),A,HAB_P,NRCBED,AT31,2015,116.70,
dataflow,ESTAT:HLTH_RS_BDSNS(1.0),A,HAB_P,NRCBED,AT32,2007,103.06,
dataflow,ESTAT:HLTH_RS_BDSNS(1.0),A,HAB_P,NRCBED,AT32,2009,101.76,
dataflow,ESTAT:HLTH_RS_BDSNS(1.0),A,HAB_P,NRCBED,AT32,2011,103.30,
dataflow,ESTAT:HLTH_RS_BDSNS(1.0),A,HAB_P,NRCBED,AT32,2012,100.57,b
dataflow,ESTAT:HLTH_RS_BDSNS(1.0),A,HAB_P,NRCBED,AT32,2013,98.93,
dataflow,ESTAT:HLTH_RS_BDSNS(1.0),A,HAB_P,NRCBED,AT32,2014,101.47,
dataflow,ESTAT:HLTH_RS_BDSNS(1.0),A,HAB_P,NRCBED,AT32,2015,103.59,
dataflow,ESTAT:HLTH_RS_BDSNS(1.0),A,HAB_P,NRCBED,AT33,2007,178.13,
dataflow,ESTAT:HLTH_RS_BDSNS(1.0),A,HAB_P,NRCBED,AT33,2009,163.65,
dataflow,ESTAT:HLTH_RS_BDSNS(1.0),A,HAB_P,NRCBED,AT33,2011,157.47,
dataflow,ESTAT:HLTH_RS_BDSNS(1.0),A,HAB_P,NRCBED,AT33,2012,122.87,b
dataflow,ESTAT:HLTH_RS_BDSNS(1.0),A,HAB_P,NRCBED,AT33,2013,121.35,
dataflow,ESTAT:HLTH_RS_BDSNS(1.0),A,HAB_P,NRCBED,AT33,2014,119.78,
dataflow,ESTAT:HLTH_RS_BDSNS(1.0),A,HAB_P,NRCBED,AT33,2015,122.55,
dataflow,ESTAT:HLTH_RS_BDSNS(1.0),A,HAB_P,NRCBED,AT34,2007,193.47,
dataflow,ESTAT:HLTH_RS_BDSNS(1.0),A,HAB_P,NRCBED,AT34,2009,189.41,
dataflow,ESTAT:HLTH_RS_BDSNS(1.0),A,HAB_P,NRCBED,AT34,2011,181.78,
