STRUCTURE,STRUCTURE_ID,freq,isco08,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_RS_GRD(1.0),A,OC221,HAB_P,AL,2002,17738.40,
dataflow,ESTAT:HLTH_RS_GRD(1.0),A,OC221,HAB_P,AL,2003,15749.28,
dataflow,ESTAT:HLTH_RS_GRD(1.0),A,OC221,HAB_P,AL,2008,15350.58,
dataflow,ESTAT:HLTH_RS_GRD(1.0),A,OC221,HAB_P,AL,2009,11089.07,
dataflow,ESTAT:HLTH_RS_GRD(1.0),A,OC221,HAB_P,AL,2013,11092.27,
dataflow,ESTAT:HLTH_RS_GRD(1.0),A,OC221,HAB_P,AT,1980,6680.91,
dataflow,ESTAT:HLTH_RS_GRD(1.0),A,OC221,HAB_P,AT,1981,6697.97,
dataflow,ESTAT:HLTH_RS_GRD(1.0),A,OC221,HAB_P,AT,1982,5524.54,
dataflow,ESTAT:HLTH_RS_GRD(1.0),A,OC221,HAB_P,AT,1983,5218.71,
dataflow,ESTAT:HLTH_RS_GRD(1.0),A,OC221,HAB_P,AT,1984,4922.81,
dataflow,ESTAT:HLTH_RS_GRD(1.0),A,OC221,HAB_P,AT,1985,4492.27,
dataflow,ESTAT:HLTH_RS_GRD(1.0),A,OC221,HAB_P,AT,1986,5009.79,
dataflow,ESTAT:HLTH_RS_GRD(1.0),A,OC221,HAB_P,AT,1987,4905.82,
dataflow,ESTAT:HLTH_RS_GRD(1.0),A,OC221,HAB_P,AT,1988,4746.76,
dataflow,ESTAT:HLTH_RS_GRD(1.0),A,OC221,HAB_P,AT,1989,4996.44,
dataflow,ESTAT:HLTH_RS_GRD(1.0),A,OC221,HAB_P,AT,1990,5139.12,
dataflow,ESTAT:HLTH_RS_GRD(1.0),A,OC221,HAB_P,AT,1991,5465.04,
dataflow,ESTAT:HLTH_RS_GRD(1.0),A,OC221,HAB_P,AT,1992,6217.85,
dataflow,ESTAT:HLTH_RS_GRD(1.0),A,OC221,HAB_P,AT,1993,6665.79,
dataflow,ESTAT:HLTH_RS_GRD(1.0),A,OC221,HAB_P,AT,1994,7010.70,
dataflow,ESTAT:HLTH_RS_GRD(1.0),A,OC221,HAB_P,AT,1995,7147.73,
dataflow,ESTAT:HLTH_RS_GRD(1.0),A,OC221,HAB_P,AT,1996,7660.27,
dataflow,ESTAT:HLTH_RS_GRD(1.0),A,OC221,HAB_P,AT,1997,7230.53,
dataflow,ESTAT:HLTH_RS_GRD(1.0),A,OC221,HAB_P,AT,1998,7434.10,
dataflow,ESTAT:HLTH_RS_GRD(1.0),A,OC221,HAB_P,AT,1999,6303.09,b
dataflow,ESTAT:HLTH_RS_GRD(1.0),A,OC221,HAB_P,AT,2000,7046.23,
dataflow,ESTAT:HLTH_RS_GRD(1.0),A,OC221,HAB_P,AT,2001,5383.06,
dataflow,ESTAT:HLTH_RS_GRD(1.0),A,OC221,HAB_P,AT,2002,7816.21,
dataflow,ESTAT:HLTH_RS_GRD(1.0),A,OC221,HAB_P,AT,2003,4570.30,
dataflow,ESTAT:HLTH_RS_GRD(1.0),A,OC221,HAB_P,AT,2004,5379.83,
dataflow,ESTAT:HLTH_RS_GRD(1.0),A,OC221,HAB_P,AT,2005,5001.72,
dataflow,ESTAT:HLTH_RS_GRD(1.0),A,OC221,HAB_P,AT,2006,5270.01,
dataflow,ESTAT:HLTH_RS_GRD(1.0),A,OC221,HAB_P,AT,2007,5697.45,
dataflow,ESTAT:HLTH_RS_GRD(1.0),A,OC221,HAB_P,AT,2008,4534.88,
dataflow,ESTAT:HLTH_RS_GRD(1.0),A,OC221,HAB_P,AT,2009,4599.41,
dataflow,ESTAT:HLTH_RS_GRD(1.0),A,OC221,HAB_P,AT,2010,4845.54,
dataflow,ESTAT:HLTH_RS_GRD(1.0),A,OC221,HAB_P,AT,2011,5724.18,
dataflow,ESTAT:HLTH_RS_GRD(1.0),A,OC221,HAB_P,AT,2012,5966.02,
dataflow,ESTAT:HLTH_RS_GRD(1.0),A,OC221,HAB_P,AT,2013,7247.71,
dataflow,ESTAT:HLTH_RS_GRD(1.0),A,OC221,HAB_P,AT,2014,6788.21,
dataflow,ESTAT:HLTH_RS_GRD(1.0),A,OC221,HAB_P,AT,2015,6886.61,
dataflow,ESTAT:HLTH_RS_GRD(1.0),A,OC221,HAB_P,AT,2016,7172.96,
dataflow,ESTAT:HLTH_RS_GRD(1.0),A,OC221,HAB_P,AT,2017,7049.33,
dataflow,ESTAT:HLTH_RS_GRD(1.0),A,OC221,HAB_P,AT,2018,6567.99,
dataflow,ESTAT:HLTH_RS_GRD(1.0),A,OC221,HAB_P,AT,2019,7149.69,
dataflow,ESTAT:HLTH_RS_GRD(1.0),A,OC221,HAB_P,AT,2020,6923.03,
dataflow,ESTAT:HLTH_RS_GRD(1.0),A,OC221,HAB_P,BE,1994,10156.23,
dataflow,ESTAT:HLTH_RS_GRD(1.0),A,OC221,HAB_P,BE,1995,9455.98,
dataflow,ESTAT:HLTH_RS_GRD(1.0),A,OC221,HAB_P,BE,1996,8831.86,
dataflow,ESTAT:HLTH_RS_GRD(1.0),A,OC221,HAB_P,BE,1997,8584.52,
dataflow,ESTAT:HLTH_RS_GRD(1.0),A,OC221,HAB_P,BE,1998,9482.35,
dataflow,ESTAT:HLTH_RS_GRD(1.0),A,OC221,HAB_P,BE,1999,8978.42,
dataflow,ESTAT:HLTH_RS_GRD(1.0),A,OC221,HAB_P,BE,2000,9866.46,
dataflow,ESTAT:HLTH_RS_GRD(1.0),A,OC221,HAB_P,BE,2001,8983.90,
dataflow,ESTAT:HLTH_RS_GRD(1.0),A,OC221,HAB_P,BE,2002,9784.83,
dataflow,ESTAT:HLTH_RS_GRD(1.0),A,OC221,HAB_P,BE,2003,8697.51,
