STRUCTURE,STRUCTURE_ID,freq,unit,age,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_RS_PHYS(1.0),A,NR,TOTAL,F,AT,1995,9310,
dataflow,ESTAT:HLTH_RS_PHYS(1.0),A,NR,TOTAL,F,AT,1996,9605,
dataflow,ESTAT:HLTH_RS_PHYS(1.0),A,NR,TOTAL,F,AT,1997,10001,
dataflow,ESTAT:HLTH_RS_PHYS(1.0),A,NR,TOTAL,F,AT,1998,10597,
dataflow,ESTAT:HLTH_RS_PHYS(1.0),A,NR,TOTAL,F,AT,1999,10869,
dataflow,ESTAT:HLTH_RS_PHYS(1.0),A,NR,TOTAL,F,AT,2000,11350,
dataflow,ESTAT:HLTH_RS_PHYS(1.0),A,NR,TOTAL,F,AT,2001,11978,
dataflow,ESTAT:HLTH_RS_PHYS(1.0),A,NR,TOTAL,F,AT,2002,12465,
dataflow,ESTAT:HLTH_RS_PHYS(1.0),A,NR,TOTAL,F,AT,2003,13043,
dataflow,ESTAT:HLTH_RS_PHYS(1.0),A,NR,TOTAL,F,AT,2004,13718,
dataflow,ESTAT:HLTH_RS_PHYS(1.0),A,NR,TOTAL,F,AT,2005,14460,
dataflow,ESTAT:HLTH_RS_PHYS(1.0),A,NR,TOTAL,F,AT,2006,15132,
dataflow,ESTAT:HLTH_RS_PHYS(1.0),A,NR,TOTAL,F,AT,2007,15746,b
dataflow,ESTAT:HLTH_RS_PHYS(1.0),A,NR,TOTAL,F,AT,2008,16399,
dataflow,ESTAT:HLTH_RS_PHYS(1.0),A,NR,TOTAL,F,AT,2009,17094,
dataflow,ESTAT:HLTH_RS_PHYS(1.0),A,NR,TOTAL,F,AT,2010,17807,
dataflow,ESTAT:HLTH_RS_PHYS(1.0),A,NR,TOTAL,F,AT,2011,18250,
dataflow,ESTAT:HLTH_RS_PHYS(1.0),A,NR,TOTAL,F,AT,2012,18744,
dataflow,ESTAT:HLTH_RS_PHYS(1.0),A,NR,TOTAL,F,AT,2013,19313,b
dataflow,ESTAT:HLTH_RS_PHYS(1.0),A,NR,TOTAL,F,AT,2014,19873,
dataflow,ESTAT:HLTH_RS_PHYS(1.0),A,NR,TOTAL,F,AT,2015,20418,
dataflow,ESTAT:HLTH_RS_PHYS(1.0),A,NR,TOTAL,F,AT,2016,21024,
