STRUCTURE,STRUCTURE_ID,freq,unit,med_spec,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_RS_PHYSCAT(1.0),A,NR,GEN,AT,1985,6770.00,
dataflow,ESTAT:HLTH_RS_PHYSCAT(1.0),A,NR,GEN,AT,1986,6930.00,
dataflow,ESTAT:HLTH_RS_PHYSCAT(1.0),A,NR,GEN,AT,1987,7239.00,
dataflow,ESTAT:HLTH_RS_PHYSCAT(1.0),A,NR,GEN,AT,1988,7583.00,
dataflow,ESTAT:HLTH_RS_PHYSCAT(1.0),A,NR,GEN,AT,1989,7900.00,
dataflow,ESTAT:HLTH_RS_PHYSCAT(1.0),A,NR,GEN,AT,1990,8312.00,
dataflow,ESTAT:HLTH_RS_PHYSCAT(1.0),A,NR,GEN,AT,1991,8698.00,
dataflow,ESTAT:HLTH_RS_PHYSCAT(1.0),A,NR,GEN,AT,1992,9105.00,
dataflow,ESTAT:HLTH_RS_PHYSCAT(1.0),A,NR,GEN,AT,1993,9364.00,
dataflow,ESTAT:HLTH_RS_PHYSCAT(1.0),A,NR,GEN,AT,1994,9701.00,
dataflow,ESTAT:HLTH_RS_PHYSCAT(1.0),A,NR,GEN,AT,1995,10032.00,
dataflow,ESTAT:HLTH_RS_PHYSCAT(1.0),A,NR,GEN,AT,1996,10272.00,
dataflow,ESTAT:HLTH_RS_PHYSCAT(1.0),A,NR,GEN,AT,1997,10558.00,
dataflow,ESTAT:HLTH_RS_PHYSCAT(1.0),A,NR,GEN,AT,1998,10867.00,
dataflow,ESTAT:HLTH_RS_PHYSCAT(1.0),A,NR,GEN,AT,1999,10771.00,
dataflow,ESTAT:HLTH_RS_PHYSCAT(1.0),A,NR,GEN,AT,2000,10939.00,
dataflow,ESTAT:HLTH_RS_PHYSCAT(1.0),A,NR,GEN,AT,2001,11228.00,
dataflow,ESTAT:HLTH_RS_PHYSCAT(1.0),A,NR,GEN,AT,2002,11335.00,
dataflow,ESTAT:HLTH_RS_PHYSCAT(1.0),A,NR,GEN,AT,2003,11488.00,
dataflow,ESTAT:HLTH_RS_PHYSCAT(1.0),A,NR,GEN,AT,2004,11757.00,
dataflow,ESTAT:HLTH_RS_PHYSCAT(1.0),A,NR,GEN,AT,2005,12065.00,
dataflow,ESTAT:HLTH_RS_PHYSCAT(1.0),A,NR,GEN,AT,2006,12488.00,
dataflow,ESTAT:HLTH_RS_PHYSCAT(1.0),A,NR,GEN,AT,2007,12725.00,
dataflow,ESTAT:HLTH_RS_PHYSCAT(1.0),A,NR,GEN,AT,2008,12735.00,
dataflow,ESTAT:HLTH_RS_PHYSCAT(1.0),A,NR,GEN,AT,2009,12979.00,
dataflow,ESTAT:HLTH_RS_PHYSCAT(1.0),A,NR,GEN,AT,2010,13219.00,
dataflow,ESTAT:HLTH_RS_PHYSCAT(1.0),A,NR,GEN,AT,2011,13403.00,
dataflow,ESTAT:HLTH_RS_PHYSCAT(1.0),A,NR,GEN,AT,2012,13657.00,
dataflow,ESTAT:HLTH_RS_PHYSCAT(1.0),A,NR,GEN,AT,2013,13924,b
dataflow,ESTAT:HLTH_RS_PHYSCAT(1.0),A,NR,GEN,AT,2014,14130.00,
dataflow,ESTAT:HLTH_RS_PHYSCAT(1.0),A,NR,GEN,AT,2015,14275.00,
dataflow,ESTAT:HLTH_RS_PHYSCAT(1.0),A,NR,GEN,AT,2016,13834,b
dataflow,ESTAT:HLTH_RS_PHYSCAT(1.0),A,NR,GEN,AT,2017,13745.00,
dataflow,ESTAT:HLTH_RS_PHYSCAT(1.0),A,NR,GEN,AT,2019,13581.00,
dataflow,ESTAT:HLTH_RS_PHYSCAT(1.0),A,NR,GEN,AT,2020,13280.00,
dataflow,ESTAT:HLTH_RS_PHYSCAT(1.0),A,NR,GEN,AT,2021,13277.00,
dataflow,ESTAT:HLTH_RS_PHYSCAT(1.0),A,NR,GEN,AT,2022,13214.00,
dataflow,ESTAT:HLTH_RS_PHYSCAT(1.0),A,NR,GEN,BE,2000,12261.00,
dataflow,ESTAT:HLTH_RS_PHYSCAT(1.0),A,NR,GEN,BE,2001,12303.00,
dataflow,ESTAT:HLTH_RS_PHYSCAT(1.0),A,NR,GEN,BE,2002,12346.00,
dataflow,ESTAT:HLTH_RS_PHYSCAT(1.0),A,NR,GEN,BE,2003,12394.00,
dataflow,ESTAT:HLTH_RS_PHYSCAT(1.0),A,NR,GEN,BE,2004,12412.00,
dataflow,ESTAT:HLTH_RS_PHYSCAT(1.0),A,NR,GEN,BE,2005,12405.00,
dataflow,ESTAT:HLTH_RS_PHYSCAT(1.0),A,NR,GEN,BE,2006,12415.00,
dataflow,ESTAT:HLTH_RS_PHYSCAT(1.0),A,NR,GEN,BE,2007,12336.00,
dataflow,ESTAT:HLTH_RS_PHYSCAT(1.0),A,NR,GEN,BE,2008,12273.00,
dataflow,ESTAT:HLTH_RS_PHYSCAT(1.0),A,NR,GEN,BE,2009,12286.00,
dataflow,ESTAT:HLTH_RS_PHYSCAT(1.0),A,NR,GEN,BE,2010,12228.00,
dataflow,ESTAT:HLTH_RS_PHYSCAT(1.0),A,NR,GEN,BE,2011,12290.00,
dataflow,ESTAT:HLTH_RS_PHYSCAT(1.0),A,NR,GEN,BE,2012,12363.00,
dataflow,ESTAT:HLTH_RS_PHYSCAT(1.0),A,NR,GEN,BE,2013,12483.00,
dataflow,ESTAT:HLTH_RS_PHYSCAT(1.0),A,NR,GEN,BE,2014,12560.00,
dataflow,ESTAT:HLTH_RS_PHYSCAT(1.0),A,NR,GEN,BE,2015,12693.00,
dataflow,ESTAT:HLTH_RS_PHYSCAT(1.0),A,NR,GEN,BE,2016,12929.00,
dataflow,ESTAT:HLTH_RS_PHYSCAT(1.0),A,NR,GEN,BE,2017,12992.00,
dataflow,ESTAT:HLTH_RS_PHYSCAT(1.0),A,NR,GEN,BE,2018,13178.00,
dataflow,ESTAT:HLTH_RS_PHYSCAT(1.0),A,NR,GEN,BE,2019,13425.00,
dataflow,ESTAT:HLTH_RS_PHYSCAT(1.0),A,NR,GEN,BE,2020,13697.00,
dataflow,ESTAT:HLTH_RS_PHYSCAT(1.0),A,NR,GEN,BE,2021,13952.00,
