STRUCTURE,STRUCTURE_ID,freq,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_RS_PHYSREG(1.0),A,HAB_P,AT,1993,303.47,
dataflow,ESTAT:HLTH_RS_PHYSREG(1.0),A,HAB_P,AT,1994,293.51,
dataflow,ESTAT:HLTH_RS_PHYSREG(1.0),A,HAB_P,AT,1995,284.65,
dataflow,ESTAT:HLTH_RS_PHYSREG(1.0),A,HAB_P,AT,1996,279.37,
dataflow,ESTAT:HLTH_RS_PHYSREG(1.0),A,HAB_P,AT,1997,273.54,
dataflow,ESTAT:HLTH_RS_PHYSREG(1.0),A,HAB_P,AT,1998,264.92,
dataflow,ESTAT:HLTH_RS_PHYSREG(1.0),A,HAB_P,AT,1999,265.39,
dataflow,ESTAT:HLTH_RS_PHYSREG(1.0),A,HAB_P,AT,2000,259.52,
dataflow,ESTAT:HLTH_RS_PHYSREG(1.0),A,HAB_P,AT,2001,252.43,
dataflow,ESTAT:HLTH_RS_PHYSREG(1.0),A,HAB_P,AT,2002,248.10,
dataflow,ESTAT:HLTH_RS_PHYSREG(1.0),A,HAB_P,AT,2003,243.08,
dataflow,ESTAT:HLTH_RS_PHYSREG(1.0),A,HAB_P,AT,2004,238.01,
dataflow,ESTAT:HLTH_RS_PHYSREG(1.0),A,HAB_P,AT,2005,231.65,
dataflow,ESTAT:HLTH_RS_PHYSREG(1.0),A,HAB_P,AT,2006,224.74,
dataflow,ESTAT:HLTH_RS_PHYSREG(1.0),A,HAB_P,AT,2007,221.25,b
dataflow,ESTAT:HLTH_RS_PHYSREG(1.0),A,HAB_P,AT,2008,218.08,
dataflow,ESTAT:HLTH_RS_PHYSREG(1.0),A,HAB_P,AT,2009,214.17,
dataflow,ESTAT:HLTH_RS_PHYSREG(1.0),A,HAB_P,AT,2010,209.44,
dataflow,ESTAT:HLTH_RS_PHYSREG(1.0),A,HAB_P,AT,2011,207.45,
dataflow,ESTAT:HLTH_RS_PHYSREG(1.0),A,HAB_P,AT,2012,205.23,
dataflow,ESTAT:HLTH_RS_PHYSREG(1.0),A,HAB_P,AT,2013,201.42,
dataflow,ESTAT:HLTH_RS_PHYSREG(1.0),A,HAB_P,AT,2014,199.27,
dataflow,ESTAT:HLTH_RS_PHYSREG(1.0),A,HAB_P,AT,2015,197.43,
dataflow,ESTAT:HLTH_RS_PHYSREG(1.0),A,HAB_P,AT,2016,195.79,
dataflow,ESTAT:HLTH_RS_PHYSREG(1.0),A,HAB_P,AT,2017,193.92,
dataflow,ESTAT:HLTH_RS_PHYSREG(1.0),A,HAB_P,AT,2018,191.71,
dataflow,ESTAT:HLTH_RS_PHYSREG(1.0),A,HAB_P,AT,2019,188.99,
dataflow,ESTAT:HLTH_RS_PHYSREG(1.0),A,HAB_P,AT,2020,188.03,
dataflow,ESTAT:HLTH_RS_PHYSREG(1.0),A,HAB_P,AT,2021,184.87,
dataflow,ESTAT:HLTH_RS_PHYSREG(1.0),A,HAB_P,AT,2022,182.34,
dataflow,ESTAT:HLTH_RS_PHYSREG(1.0),A,HAB_P,AT11,1999,374.80,
dataflow,ESTAT:HLTH_RS_PHYSREG(1.0),A,HAB_P,AT11,2000,371.09,
dataflow,ESTAT:HLTH_RS_PHYSREG(1.0),A,HAB_P,AT11,2001,367.93,
dataflow,ESTAT:HLTH_RS_PHYSREG(1.0),A,HAB_P,AT11,2002,355.99,
dataflow,ESTAT:HLTH_RS_PHYSREG(1.0),A,HAB_P,AT11,2003,344.97,
