STRUCTURE,STRUCTURE_ID,freq,unit,wstatus,med_spec,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_RS_PRS2(1.0),A,HAB_P,LIC,DENT,BE,2005,1119.51,
dataflow,ESTAT:HLTH_RS_PRS2(1.0),A,HAB_P,LIC,DENT,BE,2006,1108.21,
dataflow,ESTAT:HLTH_RS_PRS2(1.0),A,HAB_P,LIC,DENT,BE,2007,1106.73,
dataflow,ESTAT:HLTH_RS_PRS2(1.0),A,HAB_P,LIC,DENT,BE,2008,1108.12,
dataflow,ESTAT:HLTH_RS_PRS2(1.0),A,HAB_P,LIC,DENT,BE,2009,1136.95,
dataflow,ESTAT:HLTH_RS_PRS2(1.0),A,HAB_P,LIC,DENT,BE,2010,1129.06,
dataflow,ESTAT:HLTH_RS_PRS2(1.0),A,HAB_P,LIC,DENT,BE,2011,1117.91,
dataflow,ESTAT:HLTH_RS_PRS2(1.0),A,HAB_P,LIC,DENT,BE,2012,1099.70,
dataflow,ESTAT:HLTH_RS_PRS2(1.0),A,HAB_P,LIC,DENT,BE,2013,1109.28,
dataflow,ESTAT:HLTH_RS_PRS2(1.0),A,HAB_P,LIC,DENT,BE,2014,1072.84,
dataflow,ESTAT:HLTH_RS_PRS2(1.0),A,HAB_P,LIC,DENT,BE,2015,1051.11,
dataflow,ESTAT:HLTH_RS_PRS2(1.0),A,HAB_P,LIC,DENT,BE,2016,1023.99,
dataflow,ESTAT:HLTH_RS_PRS2(1.0),A,HAB_P,LIC,DENT,BE,2017,994.33,
dataflow,ESTAT:HLTH_RS_PRS2(1.0),A,HAB_P,LIC,DENT,BE,2018,950.12,
dataflow,ESTAT:HLTH_RS_PRS2(1.0),A,HAB_P,LIC,DENT,BE,2019,924.15,
dataflow,ESTAT:HLTH_RS_PRS2(1.0),A,HAB_P,LIC,DENT,BE,2020,904.92,
dataflow,ESTAT:HLTH_RS_PRS2(1.0),A,HAB_P,LIC,DENT,BE,2021,880.54,
dataflow,ESTAT:HLTH_RS_PRS2(1.0),A,HAB_P,LIC,DENT,BE,2022,858.78,p
dataflow,ESTAT:HLTH_RS_PRS2(1.0),A,HAB_P,LIC,DENT,DE,1992,1113.85,
dataflow,ESTAT:HLTH_RS_PRS2(1.0),A,HAB_P,LIC,DENT,DE,1993,1090.88,
dataflow,ESTAT:HLTH_RS_PRS2(1.0),A,HAB_P,LIC,DENT,DE,1994,1076.77,
dataflow,ESTAT:HLTH_RS_PRS2(1.0),A,HAB_P,LIC,DENT,DE,1995,1060.37,
dataflow,ESTAT:HLTH_RS_PRS2(1.0),A,HAB_P,LIC,DENT,DE,1996,1057.12,
dataflow,ESTAT:HLTH_RS_PRS2(1.0),A,HAB_P,LIC,DENT,DE,1997,1044.96,
dataflow,ESTAT:HLTH_RS_PRS2(1.0),A,HAB_P,LIC,DENT,DE,1998,1037.18,
dataflow,ESTAT:HLTH_RS_PRS2(1.0),A,HAB_P,LIC,DENT,DE,1999,1035.00,
dataflow,ESTAT:HLTH_RS_PRS2(1.0),A,HAB_P,LIC,DENT,DE,2000,1027.66,
dataflow,ESTAT:HLTH_RS_PRS2(1.0),A,HAB_P,LIC,DENT,DE,2001,1028.31,
dataflow,ESTAT:HLTH_RS_PRS2(1.0),A,HAB_P,LIC,DENT,DE,2002,1015.32,
dataflow,ESTAT:HLTH_RS_PRS2(1.0),A,HAB_P,LIC,DENT,DE,2003,1006.26,
dataflow,ESTAT:HLTH_RS_PRS2(1.0),A,HAB_P,LIC,DENT,DE,2004,997.61,
dataflow,ESTAT:HLTH_RS_PRS2(1.0),A,HAB_P,LIC,DENT,DE,2005,988.52,
dataflow,ESTAT:HLTH_RS_PRS2(1.0),A,HAB_P,LIC,DENT,DE,2006,978.90,
dataflow,ESTAT:HLTH_RS_PRS2(1.0),A,HAB_P,LIC,DENT,DE,2007,966.52,
dataflow,ESTAT:HLTH_RS_PRS2(1.0),A,HAB_P,LIC,DENT,DE,2008,952.31,
dataflow,ESTAT:HLTH_RS_PRS2(1.0),A,HAB_P,LIC,DENT,DE,2009,937.29,
dataflow,ESTAT:HLTH_RS_PRS2(1.0),A,HAB_P,LIC,DENT,DE,2010,917.75,
dataflow,ESTAT:HLTH_RS_PRS2(1.0),A,HAB_P,LIC,DENT,DE,2011,897.65,
dataflow,ESTAT:HLTH_RS_PRS2(1.0),A,HAB_P,LIC,DENT,DE,2012,888.10,
dataflow,ESTAT:HLTH_RS_PRS2(1.0),A,HAB_P,LIC,DENT,DE,2013,879.35,
dataflow,ESTAT:HLTH_RS_PRS2(1.0),A,HAB_P,LIC,DENT,DE,2014,868.79,
dataflow,ESTAT:HLTH_RS_PRS2(1.0),A,HAB_P,LIC,DENT,DE,2015,863.61,
dataflow,ESTAT:HLTH_RS_PRS2(1.0),A,HAB_P,LIC,DENT,DE,2016,858.25,
dataflow,ESTAT:HLTH_RS_PRS2(1.0),A,HAB_P,LIC,DENT,DE,2017,849.22,
dataflow,ESTAT:HLTH_RS_PRS2(1.0),A,HAB_P,LIC,DENT,DE,2018,839.82,
dataflow,ESTAT:HLTH_RS_PRS2(1.0),A,HAB_P,LIC,DENT,DE,2019,830.76,
dataflow,ESTAT:HLTH_RS_PRS2(1.0),A,HAB_P,LIC,DENT,DE,2020,820.64,
dataflow,ESTAT:HLTH_RS_PRS2(1.0),A,HAB_P,LIC,DENT,DE,2021,813.51,
dataflow,ESTAT:HLTH_RS_PRS2(1.0),A,HAB_P,LIC,DENT,DK,1980,994.76,
dataflow,ESTAT:HLTH_RS_PRS2(1.0),A,HAB_P,LIC,DENT,DK,1981,960.17,
dataflow,ESTAT:HLTH_RS_PRS2(1.0),A,HAB_P,LIC,DENT,DK,1982,925.97,
dataflow,ESTAT:HLTH_RS_PRS2(1.0),A,HAB_P,LIC,DENT,DK,1983,895.67,
dataflow,ESTAT:HLTH_RS_PRS2(1.0),A,HAB_P,LIC,DENT,DK,1984,868.29,
dataflow,ESTAT:HLTH_RS_PRS2(1.0),A,HAB_P,LIC,DENT,DK,1985,842.31,
dataflow,ESTAT:HLTH_RS_PRS2(1.0),A,HAB_P,LIC,DENT,DK,1986,820.47,
dataflow,ESTAT:HLTH_RS_PRS2(1.0),A,HAB_P,LIC,DENT,DK,1987,801.10,
dataflow,ESTAT:HLTH_RS_PRS2(1.0),A,HAB_P,LIC,DENT,DK,1988,786.25,
dataflow,ESTAT:HLTH_RS_PRS2(1.0),A,HAB_P,LIC,DENT,DK,1989,775.90,
dataflow,ESTAT:HLTH_RS_PRS2(1.0),A,HAB_P,LIC,DENT,DK,1990,764.45,
dataflow,ESTAT:HLTH_RS_PRS2(1.0),A,HAB_P,LIC,DENT,DK,1991,759.44,
dataflow,ESTAT:HLTH_RS_PRS2(1.0),A,HAB_P,LIC,DENT,DK,1992,752.53,
dataflow,ESTAT:HLTH_RS_PRS2(1.0),A,HAB_P,LIC,DENT,DK,1993,748.07,
dataflow,ESTAT:HLTH_RS_PRS2(1.0),A,HAB_P,LIC,DENT,DK,1994,745.76,
dataflow,ESTAT:HLTH_RS_PRS2(1.0),A,HAB_P,LIC,DENT,DK,1995,744.96,
dataflow,ESTAT:HLTH_RS_PRS2(1.0),A,HAB_P,LIC,DENT,DK,1996,744.95,
dataflow,ESTAT:HLTH_RS_PRS2(1.0),A,HAB_P,LIC,DENT,DK,1997,744.68,
dataflow,ESTAT:HLTH_RS_PRS2(1.0),A,HAB_P,LIC,DENT,DK,1998,740.92,
dataflow,ESTAT:HLTH_RS_PRS2(1.0),A,HAB_P,LIC,DENT,DK,1999,738.83,
dataflow,ESTAT:HLTH_RS_PRS2(1.0),A,HAB_P,LIC,DENT,DK,2000,737.62,
dataflow,ESTAT:HLTH_RS_PRS2(1.0),A,HAB_P,LIC,DENT,DK,2001,733.48,
dataflow,ESTAT:HLTH_RS_PRS2(1.0),A,HAB_P,LIC,DENT,DK,2002,730.62,
dataflow,ESTAT:HLTH_RS_PRS2(1.0),A,HAB_P,LIC,DENT,DK,2003,726.39,
dataflow,ESTAT:HLTH_RS_PRS2(1.0),A,HAB_P,LIC,DENT,DK,2004,720.99,
dataflow,ESTAT:HLTH_RS_PRS2(1.0),A,HAB_P,LIC,DENT,DK,2005,717.43,
dataflow,ESTAT:HLTH_RS_PRS2(1.0),A,HAB_P,LIC,DENT,DK,2006,714.58,
dataflow,ESTAT:HLTH_RS_PRS2(1.0),A,HAB_P,LIC,DENT,DK,2007,713.17,
dataflow,ESTAT:HLTH_RS_PRS2(1.0),A,HAB_P,LIC,DENT,DK,2008,710.50,
dataflow,ESTAT:HLTH_RS_PRS2(1.0),A,HAB_P,LIC,DENT,DK,2009,709.64,
dataflow,ESTAT:HLTH_RS_PRS2(1.0),A,HAB_P,LIC,DENT,DK,2010,706.62,
dataflow,ESTAT:HLTH_RS_PRS2(1.0),A,HAB_P,LIC,DENT,DK,2011,703.53,
dataflow,ESTAT:HLTH_RS_PRS2(1.0),A,HAB_P,LIC,DENT,DK,2012,700.08,
dataflow,ESTAT:HLTH_RS_PRS2(1.0),A,HAB_P,LIC,DENT,DK,2013,698.46,
dataflow,ESTAT:HLTH_RS_PRS2(1.0),A,HAB_P,LIC,DENT,DK,2014,699.06,
dataflow,ESTAT:HLTH_RS_PRS2(1.0),A,HAB_P,LIC,DENT,DK,2015,696.59,
dataflow,ESTAT:HLTH_RS_PRS2(1.0),A,HAB_P,LIC,DENT,DK,2016,698.62,
dataflow,ESTAT:HLTH_RS_PRS2(1.0),A,HAB_P,LIC,DENT,DK,2017,698.62,
dataflow,ESTAT:HLTH_RS_PRS2(1.0),A,HAB_P,LIC,DENT,DK,2018,696.35,
dataflow,ESTAT:HLTH_RS_PRS2(1.0),A,HAB_P,LIC,DENT,DK,2019,694.76,
dataflow,ESTAT:HLTH_RS_PRS2(1.0),A,HAB_P,LIC,DENT,DK,2020,693.47,
dataflow,ESTAT:HLTH_RS_PRS2(1.0),A,HAB_P,LIC,DENT,EE,2005,983.15,
dataflow,ESTAT:HLTH_RS_PRS2(1.0),A,HAB_P,LIC,DENT,EE,2006,964.07,
dataflow,ESTAT:HLTH_RS_PRS2(1.0),A,HAB_P,LIC,DENT,EE,2007,941.49,
dataflow,ESTAT:HLTH_RS_PRS2(1.0),A,HAB_P,LIC,DENT,EE,2008,902.22,
dataflow,ESTAT:HLTH_RS_PRS2(1.0),A,HAB_P,LIC,DENT,EE,2009,893.85,
dataflow,ESTAT:HLTH_RS_PRS2(1.0),A,HAB_P,LIC,DENT,EE,2010,877.70,
dataflow,ESTAT:HLTH_RS_PRS2(1.0),A,HAB_P,LIC,DENT,EE,2011,853.66,
