STRUCTURE,STRUCTURE_ID,freq,unit,med_spec,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_RS_SPEC(1.0),A,NR,GEN,AT,1985,6770.00,
dataflow,ESTAT:HLTH_RS_SPEC(1.0),A,NR,GEN,AT,1986,6930.00,
dataflow,ESTAT:HLTH_RS_SPEC(1.0),A,NR,GEN,AT,1987,7239.00,
dataflow,ESTAT:HLTH_RS_SPEC(1.0),A,NR,GEN,AT,1988,7583.00,
dataflow,ESTAT:HLTH_RS_SPEC(1.0),A,NR,GEN,AT,1989,7900.00,
dataflow,ESTAT:HLTH_RS_SPEC(1.0),A,NR,GEN,AT,1990,8312.00,
dataflow,ESTAT:HLTH_RS_SPEC(1.0),A,NR,GEN,AT,1991,8698.00,
dataflow,ESTAT:HLTH_RS_SPEC(1.0),A,NR,GEN,AT,1992,9105.00,
dataflow,ESTAT:HLTH_RS_SPEC(1.0),A,NR,GEN,AT,1993,9364.00,
dataflow,ESTAT:HLTH_RS_SPEC(1.0),A,NR,GEN,AT,1994,9701.00,
dataflow,ESTAT:HLTH_RS_SPEC(1.0),A,NR,GEN,AT,1995,10032.00,
dataflow,ESTAT:HLTH_RS_SPEC(1.0),A,NR,GEN,AT,1996,10272.00,
dataflow,ESTAT:HLTH_RS_SPEC(1.0),A,NR,GEN,AT,1997,10558.00,
dataflow,ESTAT:HLTH_RS_SPEC(1.0),A,NR,GEN,AT,1998,10867.00,
dataflow,ESTAT:HLTH_RS_SPEC(1.0),A,NR,GEN,AT,1999,10771.00,
dataflow,ESTAT:HLTH_RS_SPEC(1.0),A,NR,GEN,AT,2000,10939.00,
dataflow,ESTAT:HLTH_RS_SPEC(1.0),A,NR,GEN,AT,2001,11228.00,
dataflow,ESTAT:HLTH_RS_SPEC(1.0),A,NR,GEN,AT,2002,11335.00,
dataflow,ESTAT:HLTH_RS_SPEC(1.0),A,NR,GEN,AT,2003,11488.00,
dataflow,ESTAT:HLTH_RS_SPEC(1.0),A,NR,GEN,AT,2004,11757.00,
dataflow,ESTAT:HLTH_RS_SPEC(1.0),A,NR,GEN,AT,2005,12065.00,
dataflow,ESTAT:HLTH_RS_SPEC(1.0),A,NR,GEN,AT,2006,12488.00,
dataflow,ESTAT:HLTH_RS_SPEC(1.0),A,NR,GEN,AT,2007,12725.00,
dataflow,ESTAT:HLTH_RS_SPEC(1.0),A,NR,GEN,AT,2008,12735.00,
dataflow,ESTAT:HLTH_RS_SPEC(1.0),A,NR,GEN,AT,2009,12979.00,
dataflow,ESTAT:HLTH_RS_SPEC(1.0),A,NR,GEN,AT,2010,13219.00,
dataflow,ESTAT:HLTH_RS_SPEC(1.0),A,NR,GEN,AT,2011,13403.00,
dataflow,ESTAT:HLTH_RS_SPEC(1.0),A,NR,GEN,AT,2012,13657.00,
dataflow,ESTAT:HLTH_RS_SPEC(1.0),A,NR,GEN,AT,2013,13924.00,
dataflow,ESTAT:HLTH_RS_SPEC(1.0),A,NR,GEN,AT,2014,14130.00,
dataflow,ESTAT:HLTH_RS_SPEC(1.0),A,NR,GEN,AT,2015,14275.00,
dataflow,ESTAT:HLTH_RS_SPEC(1.0),A,NR,GEN,AT,2016,13834,b
dataflow,ESTAT:HLTH_RS_SPEC(1.0),A,NR,GEN,AT,2017,13745.00,
dataflow,ESTAT:HLTH_RS_SPEC(1.0),A,NR,GEN,AT,2019,13581.00,
dataflow,ESTAT:HLTH_RS_SPEC(1.0),A,NR,GEN,AT,2020,13280.00,
dataflow,ESTAT:HLTH_RS_SPEC(1.0),A,NR,GEN,AT,2021,13277.00,
dataflow,ESTAT:HLTH_RS_SPEC(1.0),A,NR,GEN,BE,2000,12261.00,
dataflow,ESTAT:HLTH_RS_SPEC(1.0),A,NR,GEN,BE,2001,12303.00,
dataflow,ESTAT:HLTH_RS_SPEC(1.0),A,NR,GEN,BE,2002,12346.00,
dataflow,ESTAT:HLTH_RS_SPEC(1.0),A,NR,GEN,BE,2003,12394.00,
dataflow,ESTAT:HLTH_RS_SPEC(1.0),A,NR,GEN,BE,2004,12412.00,
dataflow,ESTAT:HLTH_RS_SPEC(1.0),A,NR,GEN,BE,2005,12405.00,
dataflow,ESTAT:HLTH_RS_SPEC(1.0),A,NR,GEN,BE,2006,12415.00,
dataflow,ESTAT:HLTH_RS_SPEC(1.0),A,NR,GEN,BE,2007,12336.00,
dataflow,ESTAT:HLTH_RS_SPEC(1.0),A,NR,GEN,BE,2008,12273.00,
dataflow,ESTAT:HLTH_RS_SPEC(1.0),A,NR,GEN,BE,2009,12286.00,
dataflow,ESTAT:HLTH_RS_SPEC(1.0),A,NR,GEN,BE,2010,12228.00,
dataflow,ESTAT:HLTH_RS_SPEC(1.0),A,NR,GEN,BE,2011,12290.00,
dataflow,ESTAT:HLTH_RS_SPEC(1.0),A,NR,GEN,BE,2012,12363.00,
dataflow,ESTAT:HLTH_RS_SPEC(1.0),A,NR,GEN,BE,2013,12483.00,
dataflow,ESTAT:HLTH_RS_SPEC(1.0),A,NR,GEN,BE,2014,12560.00,
dataflow,ESTAT:HLTH_RS_SPEC(1.0),A,NR,GEN,BE,2015,12693.00,
dataflow,ESTAT:HLTH_RS_SPEC(1.0),A,NR,GEN,BE,2016,12929.00,
dataflow,ESTAT:HLTH_RS_SPEC(1.0),A,NR,GEN,BE,2017,12992.00,
dataflow,ESTAT:HLTH_RS_SPEC(1.0),A,NR,GEN,BE,2018,13178.00,
dataflow,ESTAT:HLTH_RS_SPEC(1.0),A,NR,GEN,BE,2019,13425.00,
dataflow,ESTAT:HLTH_RS_SPEC(1.0),A,NR,GEN,BE,2020,13697.00,
dataflow,ESTAT:HLTH_RS_SPEC(1.0),A,NR,GEN,BG,2002,5760.00,
dataflow,ESTAT:HLTH_RS_SPEC(1.0),A,NR,GEN,BG,2003,5561.00,
dataflow,ESTAT:HLTH_RS_SPEC(1.0),A,NR,GEN,BG,2004,5685.00,
dataflow,ESTAT:HLTH_RS_SPEC(1.0),A,NR,GEN,BG,2005,5631.00,
dataflow,ESTAT:HLTH_RS_SPEC(1.0),A,NR,GEN,BG,2006,5521.00,
dataflow,ESTAT:HLTH_RS_SPEC(1.0),A,NR,GEN,BG,2007,5426.00,
dataflow,ESTAT:HLTH_RS_SPEC(1.0),A,NR,GEN,BG,2008,5043.00,
dataflow,ESTAT:HLTH_RS_SPEC(1.0),A,NR,GEN,BG,2009,5198.00,
dataflow,ESTAT:HLTH_RS_SPEC(1.0),A,NR,GEN,BG,2010,4961,b
dataflow,ESTAT:HLTH_RS_SPEC(1.0),A,NR,GEN,BG,2011,4905.00,
dataflow,ESTAT:HLTH_RS_SPEC(1.0),A,NR,GEN,BG,2012,4789.00,
dataflow,ESTAT:HLTH_RS_SPEC(1.0),A,NR,GEN,BG,2013,4743.00,
dataflow,ESTAT:HLTH_RS_SPEC(1.0),A,NR,GEN,BG,2014,4703.00,
dataflow,ESTAT:HLTH_RS_SPEC(1.0),A,NR,GEN,BG,2015,4512.00,
dataflow,ESTAT:HLTH_RS_SPEC(1.0),A,NR,GEN,BG,2016,4610.00,
dataflow,ESTAT:HLTH_RS_SPEC(1.0),A,NR,GEN,BG,2017,4396.00,
dataflow,ESTAT:HLTH_RS_SPEC(1.0),A,NR,GEN,BG,2018,4322.00,
dataflow,ESTAT:HLTH_RS_SPEC(1.0),A,NR,GEN,BG,2019,4255.00,
dataflow,ESTAT:HLTH_RS_SPEC(1.0),A,NR,GEN,BG,2020,4174.00,
dataflow,ESTAT:HLTH_RS_SPEC(1.0),A,NR,GEN,CH,1985,1887.00,
dataflow,ESTAT:HLTH_RS_SPEC(1.0),A,NR,GEN,CH,1986,1996.00,
dataflow,ESTAT:HLTH_RS_SPEC(1.0),A,NR,GEN,CH,1987,2090.00,
dataflow,ESTAT:HLTH_RS_SPEC(1.0),A,NR,GEN,CH,1988,2163.00,
dataflow,ESTAT:HLTH_RS_SPEC(1.0),A,NR,GEN,CH,1989,2393.00,
dataflow,ESTAT:HLTH_RS_SPEC(1.0),A,NR,GEN,CH,1990,2438.00,
dataflow,ESTAT:HLTH_RS_SPEC(1.0),A,NR,GEN,CH,1991,2490.00,
dataflow,ESTAT:HLTH_RS_SPEC(1.0),A,NR,GEN,CH,1992,2538.00,
dataflow,ESTAT:HLTH_RS_SPEC(1.0),A,NR,GEN,CH,1993,2572.00,
dataflow,ESTAT:HLTH_RS_SPEC(1.0),A,NR,GEN,CH,1994,2583.00,
dataflow,ESTAT:HLTH_RS_SPEC(1.0),A,NR,GEN,CH,1995,2595.00,
dataflow,ESTAT:HLTH_RS_SPEC(1.0),A,NR,GEN,CH,1996,2626.00,
dataflow,ESTAT:HLTH_RS_SPEC(1.0),A,NR,GEN,CH,1997,2669.00,
dataflow,ESTAT:HLTH_RS_SPEC(1.0),A,NR,GEN,CH,1998,2698.00,
dataflow,ESTAT:HLTH_RS_SPEC(1.0),A,NR,GEN,CH,1999,2740.00,
dataflow,ESTAT:HLTH_RS_SPEC(1.0),A,NR,GEN,CH,2000,2812.00,
dataflow,ESTAT:HLTH_RS_SPEC(1.0),A,NR,GEN,CH,2001,2863.00,
dataflow,ESTAT:HLTH_RS_SPEC(1.0),A,NR,GEN,CH,2002,3262.00,
dataflow,ESTAT:HLTH_RS_SPEC(1.0),A,NR,GEN,CH,2003,3745.00,
dataflow,ESTAT:HLTH_RS_SPEC(1.0),A,NR,GEN,CH,2004,3884.00,
dataflow,ESTAT:HLTH_RS_SPEC(1.0),A,NR,GEN,CH,2005,3842.00,
dataflow,ESTAT:HLTH_RS_SPEC(1.0),A,NR,GEN,CH,2006,3920.00,
dataflow,ESTAT:HLTH_RS_SPEC(1.0),A,NR,GEN,CH,2007,4005.00,
dataflow,ESTAT:HLTH_RS_SPEC(1.0),A,NR,GEN,CH,2008,4581,b
dataflow,ESTAT:HLTH_RS_SPEC(1.0),A,NR,GEN,CH,2009,4683.00,
dataflow,ESTAT:HLTH_RS_SPEC(1.0),A,NR,GEN,CH,2010,4748.00,
dataflow,ESTAT:HLTH_RS_SPEC(1.0),A,NR,GEN,CH,2011,8356,b
dataflow,ESTAT:HLTH_RS_SPEC(1.0),A,NR,GEN,CH,2012,8618.00,
dataflow,ESTAT:HLTH_RS_SPEC(1.0),A,NR,GEN,CH,2013,8986.00,
dataflow,ESTAT:HLTH_RS_SPEC(1.0),A,NR,GEN,CH,2014,9225.00,
dataflow,ESTAT:HLTH_RS_SPEC(1.0),A,NR,GEN,CH,2015,9570.00,
dataflow,ESTAT:HLTH_RS_SPEC(1.0),A,NR,GEN,CH,2016,9601.00,
dataflow,ESTAT:HLTH_RS_SPEC(1.0),A,NR,GEN,CH,2017,9628.00,
dataflow,ESTAT:HLTH_RS_SPEC(1.0),A,NR,GEN,CH,2018,9683.00,
dataflow,ESTAT:HLTH_RS_SPEC(1.0),A,NR,GEN,CH,2019,9724.00,
dataflow,ESTAT:HLTH_RS_SPEC(1.0),A,NR,GEN,CH,2020,9848.00,
dataflow,ESTAT:HLTH_RS_SPEC(1.0),A,NR,GEN,CH,2021,9964.00,
