STRUCTURE,STRUCTURE_ID,freq,unit,med_spec,indic_ed,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_RS_WKMG2(1.0),A,NR,NRS,TNGO_IF,AT,2013,900.00,
dataflow,ESTAT:HLTH_RS_WKMG2(1.0),A,NR,NRS,TNGO_IF,AT,2014,992.00,
dataflow,ESTAT:HLTH_RS_WKMG2(1.0),A,NR,NRS,TNGO_IF,AT,2015,983.00,
dataflow,ESTAT:HLTH_RS_WKMG2(1.0),A,NR,NRS,TNGO_IF,AT,2016,839.00,
dataflow,ESTAT:HLTH_RS_WKMG2(1.0),A,NR,NRS,TNGO_IF,AT,2017,655.00,
dataflow,ESTAT:HLTH_RS_WKMG2(1.0),A,NR,NRS,TNGO_IF,AT,2018,624.00,
dataflow,ESTAT:HLTH_RS_WKMG2(1.0),A,NR,NRS,TNGO_IF,AT,2019,661.00,
dataflow,ESTAT:HLTH_RS_WKMG2(1.0),A,NR,NRS,TNGO_IF,AT,2020,615.00,
dataflow,ESTAT:HLTH_RS_WKMG2(1.0),A,NR,NRS,TNGO_IF,AT,2021,616.00,
dataflow,ESTAT:HLTH_RS_WKMG2(1.0),A,NR,NRS,TNGO_IF,BE,2000,98.00,
dataflow,ESTAT:HLTH_RS_WKMG2(1.0),A,NR,NRS,TNGO_IF,BE,2001,90.00,
dataflow,ESTAT:HLTH_RS_WKMG2(1.0),A,NR,NRS,TNGO_IF,BE,2002,73.00,
dataflow,ESTAT:HLTH_RS_WKMG2(1.0),A,NR,NRS,TNGO_IF,BE,2003,80.00,
dataflow,ESTAT:HLTH_RS_WKMG2(1.0),A,NR,NRS,TNGO_IF,BE,2004,101.00,
dataflow,ESTAT:HLTH_RS_WKMG2(1.0),A,NR,NRS,TNGO_IF,BE,2005,121.00,
dataflow,ESTAT:HLTH_RS_WKMG2(1.0),A,NR,NRS,TNGO_IF,BE,2006,148.00,
dataflow,ESTAT:HLTH_RS_WKMG2(1.0),A,NR,NRS,TNGO_IF,BE,2007,218.00,
dataflow,ESTAT:HLTH_RS_WKMG2(1.0),A,NR,NRS,TNGO_IF,BE,2008,265.00,
dataflow,ESTAT:HLTH_RS_WKMG2(1.0),A,NR,NRS,TNGO_IF,BE,2009,300.00,
