STRUCTURE,STRUCTURE_ID,freq,unit,indic_he,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,AT,2004,27.1,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,AT,2005,27.0,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,AT,2006,27.8,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,AT,2007,27.8,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,AT,2008,28.4,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,AT,2009,28.3,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,AT,2010,27.7,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,AT,2011,28.1,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,AT,2012,28.6,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,AT,2013,28.4,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,AT,2014,28.7,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,AT,2015,28.9,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,AT,2016,29.6,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,AT,2017,29.3,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,AT,2018,29.7,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,AT,2019,29.8,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,AT,2020,29.8,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,AT,2021,29.8,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,BE,2004,27.6,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,BE,2005,27.9,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,BE,2006,28.2,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,BE,2007,28.5,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,BE,2008,28.6,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,BE,2009,28.6,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,BE,2010,28.4,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,BE,2011,28.2,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,BE,2012,28.6,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,BE,2013,28.7,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,BE,2014,29.2,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,BE,2015,28.3,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,BE,2016,29.1,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,BE,2017,29.6,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,BE,2018,29.4,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,BE,2019,30.0,b
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,BE,2020,29.5,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,BE,2021,30.2,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,BG,2006,17.5,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,BG,2007,18.8,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,BG,2008,20.4,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,BG,2009,21.2,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,BG,2010,21.9,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,BG,2011,22.3,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,BG,2012,22.6,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,BG,2013,23.5,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,BG,2014,22.9,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,BG,2015,23.1,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,BG,2016,23.9,b
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,BG,2017,24.0,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,BG,2018,24.5,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,BG,2019,25.2,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,BG,2020,24.3,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,BG,2021,23.2,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,CH,2007,32.8,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,CH,2008,33.9,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,CH,2009,33.6,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,CH,2010,33.8,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,CH,2011,34.0,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,CH,2012,33.9,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,CH,2013,33.6,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,CH,2014,33.7,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,CH,2015,33.6,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,CH,2016,34.4,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,CH,2017,34.2,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,CH,2018,34.4,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,CH,2019,34.7,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,CH,2020,34.3,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,CH,2021,34.7,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,CY,2005,22.5,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,CY,2006,23.0,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,CY,2007,23.4,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,CY,2008,25.4,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,CY,2009,25.2,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,CY,2010,26.0,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,CY,2011,25.7,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,CY,2012,27.2,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,CY,2013,27.3,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,CY,2014,28.9,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,CY,2015,29.1,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,CY,2016,30.9,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,CY,2017,30.5,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,CY,2018,29.8,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,CY,2019,29.6,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,CY,2020,29.3,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,CY,2021,29.3,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,CZ,2005,22.2,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,CZ,2006,22.2,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,CZ,2007,23.0,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,CZ,2008,22.8,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,CZ,2009,23.0,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,CZ,2010,23.4,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,CZ,2011,23.9,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,CZ,2012,24.0,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,CZ,2013,24.3,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,CZ,2014,25.4,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,CZ,2015,25.6,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,CZ,2016,25.8,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,CZ,2017,26.3,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,CZ,2018,26.8,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,CZ,2019,27.2,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,CZ,2020,27.0,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,CZ,2021,26.3,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,DE,2005,26.8,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,DE,2006,27.3,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,DE,2007,27.4,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,DE,2008,27.8,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,DE,2009,28.1,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,DE,2010,28.5,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,DE,2011,28.9,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,DE,2012,28.5,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,DE,2013,29.0,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,DE,2014,29.9,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,DE,2015,29.4,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,DE,2016,29.4,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,DE,2017,29.3,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,DE,2018,29.4,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,DE,2019,29.6,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,DE,2020,28.0,b
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,DE,2021,27.6,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,DK,2004,27.2,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,DK,2005,28.0,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,DK,2006,27.7,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,DK,2007,27.6,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,DK,2008,28.4,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,DK,2009,28.4,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,DK,2010,28.7,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,DK,2011,29.0,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,DK,2012,29.2,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,DK,2013,29.5,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,DK,2014,30.2,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,DK,2015,30.0,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,DK,2016,29.7,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,DK,2017,30.2,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,DK,2018,30.0,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,DK,2019,30.0,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,DK,2020,30.5,b
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,DK,2021,29.6,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,EE,2004,20.4,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,EE,2005,19.8,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,EE,2006,20.8,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,EE,2007,20.9,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,EE,2008,21.7,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,EE,2009,23.2,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,EE,2010,22.8,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,EE,2011,22.7,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,EE,2012,22.4,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,EE,2013,22.5,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,EE,2014,23.8,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,EE,2015,24.1,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,EE,2016,25.1,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,EE,2017,24.9,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,EE,2018,24.8,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,EE,2019,25.8,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,EE,2020,27.0,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,EE,2021,25.9,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,EL,2004,25.9,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,EL,2005,26.7,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,EL,2006,26.4,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,EL,2007,26.7,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,EL,2008,26.7,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,EL,2009,26.4,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,EL,2010,26.9,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,EL,2011,27.5,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,EL,2012,26.9,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,EL,2013,26.6,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,EL,2014,26.9,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,EL,2015,27.1,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,EL,2016,27.2,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,EL,2017,27.2,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,EL,2018,28.2,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,EL,2019,30.4,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,EL,2020,30.2,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,EL,2021,30.0,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,ES,2004,24.0,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,ES,2005,24.0,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,ES,2006,25.0,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,ES,2007,25.3,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,ES,2008,28.1,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,ES,2009,28.2,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,ES,2010,28.9,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,ES,2011,29.7,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,ES,2012,29.1,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,ES,2013,29.3,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,ES,2014,29.5,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,ES,2015,30.0,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,ES,2016,30.9,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,ES,2017,31.5,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,ES,2018,30.7,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,ES,2019,31.3,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,ES,2020,30.8,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,ES,2021,30.7,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,EU27_2007,2005,25.2,e
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,EU27_2007,2006,25.7,e
