STRUCTURE,STRUCTURE_ID,freq,sex,age,c_birth,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HSW_AC13(1.0),A,F,Y15-64,EU27_2020_FOR,PC_EMP_PREEMP_M12,AT,2007,,u
dataflow,ESTAT:HSW_AC13(1.0),A,F,Y15-64,EU27_2020_FOR,PC_EMP_PREEMP_M12,AT,2013,,u
dataflow,ESTAT:HSW_AC13(1.0),A,F,Y15-64,EU27_2020_FOR,PC_EMP_PREEMP_M12,AT,2020,,u
dataflow,ESTAT:HSW_AC13(1.0),A,F,Y15-64,EU27_2020_FOR,PC_EMP_PREEMP_M12,BE,2007,,du
dataflow,ESTAT:HSW_AC13(1.0),A,F,Y15-64,EU27_2020_FOR,PC_EMP_PREEMP_M12,BE,2013,,u
dataflow,ESTAT:HSW_AC13(1.0),A,F,Y15-64,EU27_2020_FOR,PC_EMP_PREEMP_M12,BE,2020,1.8,u
dataflow,ESTAT:HSW_AC13(1.0),A,F,Y15-64,EU27_2020_FOR,PC_EMP_PREEMP_M12,BG,2007,,c
dataflow,ESTAT:HSW_AC13(1.0),A,F,Y15-64,EU27_2020_FOR,PC_EMP_PREEMP_M12,BG,2013,,c
dataflow,ESTAT:HSW_AC13(1.0),A,F,Y15-64,EU27_2020_FOR,PC_EMP_PREEMP_M12,BG,2020,,u
dataflow,ESTAT:HSW_AC13(1.0),A,F,Y15-64,EU27_2020_FOR,PC_EMP_PREEMP_M12,CH,2013,2.0,
dataflow,ESTAT:HSW_AC13(1.0),A,F,Y15-64,EU27_2020_FOR,PC_EMP_PREEMP_M12,CH,2020,2.8,
dataflow,ESTAT:HSW_AC13(1.0),A,F,Y15-64,EU27_2020_FOR,PC_EMP_PREEMP_M12,CY,2007,,u
dataflow,ESTAT:HSW_AC13(1.0),A,F,Y15-64,EU27_2020_FOR,PC_EMP_PREEMP_M12,CY,2013,,u
dataflow,ESTAT:HSW_AC13(1.0),A,F,Y15-64,EU27_2020_FOR,PC_EMP_PREEMP_M12,CY,2020,,u
dataflow,ESTAT:HSW_AC13(1.0),A,F,Y15-64,EU27_2020_FOR,PC_EMP_PREEMP_M12,CZ,2007,,du
dataflow,ESTAT:HSW_AC13(1.0),A,F,Y15-64,EU27_2020_FOR,PC_EMP_PREEMP_M12,CZ,2013,,u
dataflow,ESTAT:HSW_AC13(1.0),A,F,Y15-64,EU27_2020_FOR,PC_EMP_PREEMP_M12,CZ,2020,,u
dataflow,ESTAT:HSW_AC13(1.0),A,F,Y15-64,EU27_2020_FOR,PC_EMP_PREEMP_M12,DE,2020,,u
dataflow,ESTAT:HSW_AC13(1.0),A,F,Y15-64,EU27_2020_FOR,PC_EMP_PREEMP_M12,DK,2007,,du
dataflow,ESTAT:HSW_AC13(1.0),A,F,Y15-64,EU27_2020_FOR,PC_EMP_PREEMP_M12,DK,2013,,u
dataflow,ESTAT:HSW_AC13(1.0),A,F,Y15-64,EU27_2020_FOR,PC_EMP_PREEMP_M12,DK,2020,,u
