STRUCTURE,STRUCTURE_ID,freq,sex,age,nace_r1,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HSW_AC5A(1.0),A,F,Y15-34,A_B,PC_EMP_PREEMP_M12,AT,2007,,u
dataflow,ESTAT:HSW_AC5A(1.0),A,F,Y15-34,A_B,PC_EMP_PREEMP_M12,BE,2007,,u
dataflow,ESTAT:HSW_AC5A(1.0),A,F,Y15-34,A_B,PC_EMP_PREEMP_M12,BG,2007,,u
dataflow,ESTAT:HSW_AC5A(1.0),A,F,Y15-34,A_B,PC_EMP_PREEMP_M12,CY,2007,,c
dataflow,ESTAT:HSW_AC5A(1.0),A,F,Y15-34,A_B,PC_EMP_PREEMP_M12,CZ,2007,11.5,du
dataflow,ESTAT:HSW_AC5A(1.0),A,F,Y15-34,A_B,PC_EMP_PREEMP_M12,DE,2007,,du
dataflow,ESTAT:HSW_AC5A(1.0),A,F,Y15-34,A_B,PC_EMP_PREEMP_M12,DK,2007,,u
dataflow,ESTAT:HSW_AC5A(1.0),A,F,Y15-34,A_B,PC_EMP_PREEMP_M12,EA19,2007,,du
dataflow,ESTAT:HSW_AC5A(1.0),A,F,Y15-34,A_B,PC_EMP_PREEMP_M12,EE,2007,,du
dataflow,ESTAT:HSW_AC5A(1.0),A,F,Y15-34,A_B,PC_EMP_PREEMP_M12,EL,2007,,u
dataflow,ESTAT:HSW_AC5A(1.0),A,F,Y15-34,A_B,PC_EMP_PREEMP_M12,ES,2007,,du
dataflow,ESTAT:HSW_AC5A(1.0),A,F,Y15-34,A_B,PC_EMP_PREEMP_M12,EU27_2020,2007,,du
dataflow,ESTAT:HSW_AC5A(1.0),A,F,Y15-34,A_B,PC_EMP_PREEMP_M12,EU28,2007,,du
dataflow,ESTAT:HSW_AC5A(1.0),A,F,Y15-34,A_B,PC_EMP_PREEMP_M12,FI,2007,,u
dataflow,ESTAT:HSW_AC5A(1.0),A,F,Y15-34,A_B,PC_EMP_PREEMP_M12,FR,2007,,du
dataflow,ESTAT:HSW_AC5A(1.0),A,F,Y15-34,A_B,PC_EMP_PREEMP_M12,HR,2007,,u
dataflow,ESTAT:HSW_AC5A(1.0),A,F,Y15-34,A_B,PC_EMP_PREEMP_M12,HU,2007,,du
dataflow,ESTAT:HSW_AC5A(1.0),A,F,Y15-34,A_B,PC_EMP_PREEMP_M12,IE,2007,,u
dataflow,ESTAT:HSW_AC5A(1.0),A,F,Y15-34,A_B,PC_EMP_PREEMP_M12,IS,2007,,u
