STRUCTURE,STRUCTURE_ID,freq,sex,age,nace_r2,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HSW_AC6B(1.0),A,F,Y15-34,A,PC_EMP_PREEMP_M12,AT,2013,,u
dataflow,ESTAT:HSW_AC6B(1.0),A,F,Y15-34,A,PC_EMP_PREEMP_M12,AT,2020,,u
dataflow,ESTAT:HSW_AC6B(1.0),A,F,Y15-34,A,PC_EMP_PREEMP_M12,BE,2013,,u
dataflow,ESTAT:HSW_AC6B(1.0),A,F,Y15-34,A,PC_EMP_PREEMP_M12,BE,2020,,u
dataflow,ESTAT:HSW_AC6B(1.0),A,F,Y15-34,A,PC_EMP_PREEMP_M12,BG,2013,,u
dataflow,ESTAT:HSW_AC6B(1.0),A,F,Y15-34,A,PC_EMP_PREEMP_M12,BG,2020,,u
dataflow,ESTAT:HSW_AC6B(1.0),A,F,Y15-34,A,PC_EMP_PREEMP_M12,CH,2013,9.2,u
dataflow,ESTAT:HSW_AC6B(1.0),A,F,Y15-34,A,PC_EMP_PREEMP_M12,CH,2020,17.2,u
dataflow,ESTAT:HSW_AC6B(1.0),A,F,Y15-34,A,PC_EMP_PREEMP_M12,CY,2013,,c
dataflow,ESTAT:HSW_AC6B(1.0),A,F,Y15-34,A,PC_EMP_PREEMP_M12,CY,2020,,c
dataflow,ESTAT:HSW_AC6B(1.0),A,F,Y15-34,A,PC_EMP_PREEMP_M12,CZ,2013,,u
dataflow,ESTAT:HSW_AC6B(1.0),A,F,Y15-34,A,PC_EMP_PREEMP_M12,CZ,2020,,u
dataflow,ESTAT:HSW_AC6B(1.0),A,F,Y15-34,A,PC_EMP_PREEMP_M12,DE,2020,,u
dataflow,ESTAT:HSW_AC6B(1.0),A,F,Y15-34,A,PC_EMP_PREEMP_M12,DK,2013,,u
dataflow,ESTAT:HSW_AC6B(1.0),A,F,Y15-34,A,PC_EMP_PREEMP_M12,DK,2020,,u
dataflow,ESTAT:HSW_AC6B(1.0),A,F,Y15-34,A,PC_EMP_PREEMP_M12,EA19,2020,,u
dataflow,ESTAT:HSW_AC6B(1.0),A,F,Y15-34,A,PC_EMP_PREEMP_M12,EE,2013,,u
dataflow,ESTAT:HSW_AC6B(1.0),A,F,Y15-34,A,PC_EMP_PREEMP_M12,EE,2020,,u
dataflow,ESTAT:HSW_AC6B(1.0),A,F,Y15-34,A,PC_EMP_PREEMP_M12,EL,2013,,u
dataflow,ESTAT:HSW_AC6B(1.0),A,F,Y15-34,A,PC_EMP_PREEMP_M12,EL,2020,,u
dataflow,ESTAT:HSW_AC6B(1.0),A,F,Y15-34,A,PC_EMP_PREEMP_M12,ES,2013,,u
dataflow,ESTAT:HSW_AC6B(1.0),A,F,Y15-34,A,PC_EMP_PREEMP_M12,ES,2020,,u
dataflow,ESTAT:HSW_AC6B(1.0),A,F,Y15-34,A,PC_EMP_PREEMP_M12,EU27_2020,2020,,u
dataflow,ESTAT:HSW_AC6B(1.0),A,F,Y15-34,A,PC_EMP_PREEMP_M12,FI,2013,,u
dataflow,ESTAT:HSW_AC6B(1.0),A,F,Y15-34,A,PC_EMP_PREEMP_M12,FI,2020,,u
dataflow,ESTAT:HSW_AC6B(1.0),A,F,Y15-34,A,PC_EMP_PREEMP_M12,FR,2013,,u
dataflow,ESTAT:HSW_AC6B(1.0),A,F,Y15-34,A,PC_EMP_PREEMP_M12,FR,2020,,u
dataflow,ESTAT:HSW_AC6B(1.0),A,F,Y15-34,A,PC_EMP_PREEMP_M12,HR,2013,,u
dataflow,ESTAT:HSW_AC6B(1.0),A,F,Y15-34,A,PC_EMP_PREEMP_M12,HR,2020,,u
dataflow,ESTAT:HSW_AC6B(1.0),A,F,Y15-34,A,PC_EMP_PREEMP_M12,HU,2013,,u
dataflow,ESTAT:HSW_AC6B(1.0),A,F,Y15-34,A,PC_EMP_PREEMP_M12,HU,2020,,u
dataflow,ESTAT:HSW_AC6B(1.0),A,F,Y15-34,A,PC_EMP_PREEMP_M12,IE,2013,,u
dataflow,ESTAT:HSW_AC6B(1.0),A,F,Y15-34,A,PC_EMP_PREEMP_M12,IE,2020,,u
dataflow,ESTAT:HSW_AC6B(1.0),A,F,Y15-34,A,PC_EMP_PREEMP_M12,IS,2020,,u
dataflow,ESTAT:HSW_AC6B(1.0),A,F,Y15-34,A,PC_EMP_PREEMP_M12,IT,2013,,u
dataflow,ESTAT:HSW_AC6B(1.0),A,F,Y15-34,A,PC_EMP_PREEMP_M12,IT,2020,,u
dataflow,ESTAT:HSW_AC6B(1.0),A,F,Y15-34,A,PC_EMP_PREEMP_M12,LT,2013,,u
dataflow,ESTAT:HSW_AC6B(1.0),A,F,Y15-34,A,PC_EMP_PREEMP_M12,LT,2020,,u
dataflow,ESTAT:HSW_AC6B(1.0),A,F,Y15-34,A,PC_EMP_PREEMP_M12,LU,2013,,u
dataflow,ESTAT:HSW_AC6B(1.0),A,F,Y15-34,A,PC_EMP_PREEMP_M12,LU,2020,,c
dataflow,ESTAT:HSW_AC6B(1.0),A,F,Y15-34,A,PC_EMP_PREEMP_M12,LV,2013,,u
dataflow,ESTAT:HSW_AC6B(1.0),A,F,Y15-34,A,PC_EMP_PREEMP_M12,LV,2020,,u
dataflow,ESTAT:HSW_AC6B(1.0),A,F,Y15-34,A,PC_EMP_PREEMP_M12,MT,2020,,c
dataflow,ESTAT:HSW_AC6B(1.0),A,F,Y15-34,A,PC_EMP_PREEMP_M12,NL,2020,,u
dataflow,ESTAT:HSW_AC6B(1.0),A,F,Y15-34,A,PC_EMP_PREEMP_M12,NO,2013,,u
dataflow,ESTAT:HSW_AC6B(1.0),A,F,Y15-34,A,PC_EMP_PREEMP_M12,NO,2020,,u
dataflow,ESTAT:HSW_AC6B(1.0),A,F,Y15-34,A,PC_EMP_PREEMP_M12,PL,2013,,u
dataflow,ESTAT:HSW_AC6B(1.0),A,F,Y15-34,A,PC_EMP_PREEMP_M12,PL,2020,,u
dataflow,ESTAT:HSW_AC6B(1.0),A,F,Y15-34,A,PC_EMP_PREEMP_M12,PT,2013,,u
dataflow,ESTAT:HSW_AC6B(1.0),A,F,Y15-34,A,PC_EMP_PREEMP_M12,PT,2020,,u
dataflow,ESTAT:HSW_AC6B(1.0),A,F,Y15-34,A,PC_EMP_PREEMP_M12,RO,2013,,u
dataflow,ESTAT:HSW_AC6B(1.0),A,F,Y15-34,A,PC_EMP_PREEMP_M12,RO,2020,,u
dataflow,ESTAT:HSW_AC6B(1.0),A,F,Y15-34,A,PC_EMP_PREEMP_M12,SE,2013,,u
dataflow,ESTAT:HSW_AC6B(1.0),A,F,Y15-34,A,PC_EMP_PREEMP_M12,SE,2020,,u
dataflow,ESTAT:HSW_AC6B(1.0),A,F,Y15-34,A,PC_EMP_PREEMP_M12,SI,2013,,u
dataflow,ESTAT:HSW_AC6B(1.0),A,F,Y15-34,A,PC_EMP_PREEMP_M12,SI,2020,,u
dataflow,ESTAT:HSW_AC6B(1.0),A,F,Y15-34,A,PC_EMP_PREEMP_M12,SK,2013,,u
dataflow,ESTAT:HSW_AC6B(1.0),A,F,Y15-34,A,PC_EMP_PREEMP_M12,SK,2020,,u
dataflow,ESTAT:HSW_AC6B(1.0),A,F,Y15-34,A,PC_EMP_PREEMP_M12,TR,2013,1.0,
dataflow,ESTAT:HSW_AC6B(1.0),A,F,Y15-34,A,PC_EMP_PREEMP_M12,UK,2013,,u
dataflow,ESTAT:HSW_AC6B(1.0),A,F,Y15-34,A,PC_PER_ACC,AT,2013,,u
dataflow,ESTAT:HSW_AC6B(1.0),A,F,Y15-34,A,PC_PER_ACC,CH,2013,,c
dataflow,ESTAT:HSW_AC6B(1.0),A,F,Y15-34,A,PC_PER_ACC,CH,2020,,c
dataflow,ESTAT:HSW_AC6B(1.0),A,F,Y15-34,A,PC_PER_ACC,CZ,2013,,c
dataflow,ESTAT:HSW_AC6B(1.0),A,F,Y15-34,A,PC_PER_ACC,CZ,2020,,c
dataflow,ESTAT:HSW_AC6B(1.0),A,F,Y15-34,A,PC_PER_ACC,DK,2020,,c
