STRUCTURE,STRUCTURE_ID,freq,unit,severity,age,sex,nace_r1,modinj,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HSW_AW_CO1(1.0),A,NR,D_GE4,TOTAL,F,TOTAL,CMI10,EU_V,2005,24572,
dataflow,ESTAT:HSW_AW_CO1(1.0),A,NR,D_GE4,TOTAL,F,TOTAL,CMI20,EU_V,2005,546,
dataflow,ESTAT:HSW_AW_CO1(1.0),A,NR,D_GE4,TOTAL,F,TOTAL,CMI30,EU_V,2005,227913,
dataflow,ESTAT:HSW_AW_CO1(1.0),A,NR,D_GE4,TOTAL,F,TOTAL,CMI40,EU_V,2005,94030,
dataflow,ESTAT:HSW_AW_CO1(1.0),A,NR,D_GE4,TOTAL,F,TOTAL,CMI50,EU_V,2005,118043,
dataflow,ESTAT:HSW_AW_CO1(1.0),A,NR,D_GE4,TOTAL,F,TOTAL,CMI60,EU_V,2005,38900,
dataflow,ESTAT:HSW_AW_CO1(1.0),A,NR,D_GE4,TOTAL,F,TOTAL,CMI70,EU_V,2005,173130,
dataflow,ESTAT:HSW_AW_CO1(1.0),A,NR,D_GE4,TOTAL,F,TOTAL,CMI80,EU_V,2005,29791,
dataflow,ESTAT:HSW_AW_CO1(1.0),A,NR,D_GE4,TOTAL,F,TOTAL,CMI90,EU_V,2005,24401,
dataflow,ESTAT:HSW_AW_CO1(1.0),A,NR,D_GE4,TOTAL,F,TOTAL,TOTAL,EU_V,2005,731326,
dataflow,ESTAT:HSW_AW_CO1(1.0),A,NR,D_GE4,TOTAL,M,TOTAL,CMI10,EU_V,2005,79269,
dataflow,ESTAT:HSW_AW_CO1(1.0),A,NR,D_GE4,TOTAL,M,TOTAL,CMI20,EU_V,2005,2987,
dataflow,ESTAT:HSW_AW_CO1(1.0),A,NR,D_GE4,TOTAL,M,TOTAL,CMI30,EU_V,2005,598727,
dataflow,ESTAT:HSW_AW_CO1(1.0),A,NR,D_GE4,TOTAL,M,TOTAL,CMI40,EU_V,2005,471369,
dataflow,ESTAT:HSW_AW_CO1(1.0),A,NR,D_GE4,TOTAL,M,TOTAL,CMI50,EU_V,2005,500962,
dataflow,ESTAT:HSW_AW_CO1(1.0),A,NR,D_GE4,TOTAL,M,TOTAL,CMI60,EU_V,2005,171896,
dataflow,ESTAT:HSW_AW_CO1(1.0),A,NR,D_GE4,TOTAL,M,TOTAL,CMI70,EU_V,2005,466147,
dataflow,ESTAT:HSW_AW_CO1(1.0),A,NR,D_GE4,TOTAL,M,TOTAL,CMI80,EU_V,2005,47127,
dataflow,ESTAT:HSW_AW_CO1(1.0),A,NR,D_GE4,TOTAL,M,TOTAL,CMI90,EU_V,2005,67528,
dataflow,ESTAT:HSW_AW_CO1(1.0),A,NR,D_GE4,TOTAL,M,TOTAL,TOTAL,EU_V,2005,2406007,
dataflow,ESTAT:HSW_AW_CO1(1.0),A,NR,D_GE4,TOTAL,T,A,CMI10,EU_V,2005,3616,
dataflow,ESTAT:HSW_AW_CO1(1.0),A,NR,D_GE4,TOTAL,T,A,CMI20,EU_V,2005,119,
dataflow,ESTAT:HSW_AW_CO1(1.0),A,NR,D_GE4,TOTAL,T,A,CMI30,EU_V,2005,49200,
dataflow,ESTAT:HSW_AW_CO1(1.0),A,NR,D_GE4,TOTAL,T,A,CMI40,EU_V,2005,21085,
dataflow,ESTAT:HSW_AW_CO1(1.0),A,NR,D_GE4,TOTAL,T,A,CMI50,EU_V,2005,33905,
dataflow,ESTAT:HSW_AW_CO1(1.0),A,NR,D_GE4,TOTAL,T,A,CMI60,EU_V,2005,13725,
dataflow,ESTAT:HSW_AW_CO1(1.0),A,NR,D_GE4,TOTAL,T,A,CMI70,EU_V,2005,24409,
dataflow,ESTAT:HSW_AW_CO1(1.0),A,NR,D_GE4,TOTAL,T,A,CMI80,EU_V,2005,19075,
dataflow,ESTAT:HSW_AW_CO1(1.0),A,NR,D_GE4,TOTAL,T,A,CMI90,EU_V,2005,27538,
dataflow,ESTAT:HSW_AW_CO1(1.0),A,NR,D_GE4,TOTAL,T,A,TOTAL,EU_V,2005,192673,
dataflow,ESTAT:HSW_AW_CO1(1.0),A,NR,D_GE4,TOTAL,T,B,CMI10,EU_V,2005,64,
dataflow,ESTAT:HSW_AW_CO1(1.0),A,NR,D_GE4,TOTAL,T,B,CMI20,EU_V,2005,17,
dataflow,ESTAT:HSW_AW_CO1(1.0),A,NR,D_GE4,TOTAL,T,B,CMI30,EU_V,2005,1042,
dataflow,ESTAT:HSW_AW_CO1(1.0),A,NR,D_GE4,TOTAL,T,B,CMI40,EU_V,2005,1012,
dataflow,ESTAT:HSW_AW_CO1(1.0),A,NR,D_GE4,TOTAL,T,B,CMI50,EU_V,2005,606,
dataflow,ESTAT:HSW_AW_CO1(1.0),A,NR,D_GE4,TOTAL,T,B,CMI60,EU_V,2005,243,
dataflow,ESTAT:HSW_AW_CO1(1.0),A,NR,D_GE4,TOTAL,T,B,CMI70,EU_V,2005,1202,
dataflow,ESTAT:HSW_AW_CO1(1.0),A,NR,D_GE4,TOTAL,T,B,CMI80,EU_V,2005,95,
dataflow,ESTAT:HSW_AW_CO1(1.0),A,NR,D_GE4,TOTAL,T,B,CMI90,EU_V,2005,420,
dataflow,ESTAT:HSW_AW_CO1(1.0),A,NR,D_GE4,TOTAL,T,B,TOTAL,EU_V,2005,4704,
dataflow,ESTAT:HSW_AW_CO1(1.0),A,NR,D_GE4,TOTAL,T,C,CMI10,EU_V,2005,466,
dataflow,ESTAT:HSW_AW_CO1(1.0),A,NR,D_GE4,TOTAL,T,C,CMI20,EU_V,2005,45,
dataflow,ESTAT:HSW_AW_CO1(1.0),A,NR,D_GE4,TOTAL,T,C,CMI30,EU_V,2005,5087,
dataflow,ESTAT:HSW_AW_CO1(1.0),A,NR,D_GE4,TOTAL,T,C,CMI40,EU_V,2005,6577,
dataflow,ESTAT:HSW_AW_CO1(1.0),A,NR,D_GE4,TOTAL,T,C,CMI50,EU_V,2005,3213,
dataflow,ESTAT:HSW_AW_CO1(1.0),A,NR,D_GE4,TOTAL,T,C,CMI60,EU_V,2005,1628,
dataflow,ESTAT:HSW_AW_CO1(1.0),A,NR,D_GE4,TOTAL,T,C,CMI70,EU_V,2005,4123,
dataflow,ESTAT:HSW_AW_CO1(1.0),A,NR,D_GE4,TOTAL,T,C,CMI80,EU_V,2005,84,
