STRUCTURE,STRUCTURE_ID,freq,unit,severity,age,sex,nace_r1,deviatn,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HSW_AW_DE3(1.0),A,PC,D_GE4,TOTAL,F,TOTAL,DEV_1,EU_V,2005,0.4,
dataflow,ESTAT:HSW_AW_DE3(1.0),A,PC,D_GE4,TOTAL,F,TOTAL,DEV_2,EU_V,2005,1.9,
dataflow,ESTAT:HSW_AW_DE3(1.0),A,PC,D_GE4,TOTAL,F,TOTAL,DEV_3,EU_V,2005,6.3,
dataflow,ESTAT:HSW_AW_DE3(1.0),A,PC,D_GE4,TOTAL,F,TOTAL,DEV_4,EU_V,2005,19.9,
dataflow,ESTAT:HSW_AW_DE3(1.0),A,PC,D_GE4,TOTAL,F,TOTAL,DEV_5,EU_V,2005,29.1,
dataflow,ESTAT:HSW_AW_DE3(1.0),A,PC,D_GE4,TOTAL,F,TOTAL,DEV_6,EU_V,2005,14.9,
dataflow,ESTAT:HSW_AW_DE3(1.0),A,PC,D_GE4,TOTAL,F,TOTAL,DEV_7,EU_V,2005,21.4,
dataflow,ESTAT:HSW_AW_DE3(1.0),A,PC,D_GE4,TOTAL,F,TOTAL,DEV_8,EU_V,2005,4.2,
dataflow,ESTAT:HSW_AW_DE3(1.0),A,PC,D_GE4,TOTAL,F,TOTAL,DEV_9,EU_V,2005,1.8,
dataflow,ESTAT:HSW_AW_DE3(1.0),A,PC,D_GE4,TOTAL,F,TOTAL,TOTAL,EU_V,2005,100.0,
dataflow,ESTAT:HSW_AW_DE3(1.0),A,PC,D_GE4,TOTAL,M,TOTAL,DEV_1,EU_V,2005,0.7,
dataflow,ESTAT:HSW_AW_DE3(1.0),A,PC,D_GE4,TOTAL,M,TOTAL,DEV_2,EU_V,2005,2.2,
dataflow,ESTAT:HSW_AW_DE3(1.0),A,PC,D_GE4,TOTAL,M,TOTAL,DEV_3,EU_V,2005,10.4,
dataflow,ESTAT:HSW_AW_DE3(1.0),A,PC,D_GE4,TOTAL,M,TOTAL,DEV_4,EU_V,2005,27.5,
dataflow,ESTAT:HSW_AW_DE3(1.0),A,PC,D_GE4,TOTAL,M,TOTAL,DEV_5,EU_V,2005,21.1,
dataflow,ESTAT:HSW_AW_DE3(1.0),A,PC,D_GE4,TOTAL,M,TOTAL,DEV_6,EU_V,2005,15.3,
dataflow,ESTAT:HSW_AW_DE3(1.0),A,PC,D_GE4,TOTAL,M,TOTAL,DEV_7,EU_V,2005,19.1,
dataflow,ESTAT:HSW_AW_DE3(1.0),A,PC,D_GE4,TOTAL,M,TOTAL,DEV_8,EU_V,2005,2.0,
dataflow,ESTAT:HSW_AW_DE3(1.0),A,PC,D_GE4,TOTAL,M,TOTAL,DEV_9,EU_V,2005,1.8,
dataflow,ESTAT:HSW_AW_DE3(1.0),A,PC,D_GE4,TOTAL,M,TOTAL,TOTAL,EU_V,2005,100.0,
dataflow,ESTAT:HSW_AW_DE3(1.0),A,PC,D_GE4,TOTAL,T,A,DEV_1,EU_V,2005,0.4,
dataflow,ESTAT:HSW_AW_DE3(1.0),A,PC,D_GE4,TOTAL,T,A,DEV_2,EU_V,2005,1.4,
dataflow,ESTAT:HSW_AW_DE3(1.0),A,PC,D_GE4,TOTAL,T,A,DEV_3,EU_V,2005,9.8,
dataflow,ESTAT:HSW_AW_DE3(1.0),A,PC,D_GE4,TOTAL,T,A,DEV_4,EU_V,2005,23.7,
dataflow,ESTAT:HSW_AW_DE3(1.0),A,PC,D_GE4,TOTAL,T,A,DEV_5,EU_V,2005,30.9,
dataflow,ESTAT:HSW_AW_DE3(1.0),A,PC,D_GE4,TOTAL,T,A,DEV_6,EU_V,2005,13.3,
dataflow,ESTAT:HSW_AW_DE3(1.0),A,PC,D_GE4,TOTAL,T,A,DEV_7,EU_V,2005,14.1,
dataflow,ESTAT:HSW_AW_DE3(1.0),A,PC,D_GE4,TOTAL,T,A,DEV_8,EU_V,2005,4.5,
dataflow,ESTAT:HSW_AW_DE3(1.0),A,PC,D_GE4,TOTAL,T,A,DEV_9,EU_V,2005,1.9,
dataflow,ESTAT:HSW_AW_DE3(1.0),A,PC,D_GE4,TOTAL,T,A,TOTAL,EU_V,2005,100.0,
dataflow,ESTAT:HSW_AW_DE3(1.0),A,PC,D_GE4,TOTAL,T,B,DEV_1,EU_V,2005,0.4,
dataflow,ESTAT:HSW_AW_DE3(1.0),A,PC,D_GE4,TOTAL,T,B,DEV_2,EU_V,2005,1.1,
dataflow,ESTAT:HSW_AW_DE3(1.0),A,PC,D_GE4,TOTAL,T,B,DEV_3,EU_V,2005,8.2,
dataflow,ESTAT:HSW_AW_DE3(1.0),A,PC,D_GE4,TOTAL,T,B,DEV_4,EU_V,2005,14.7,
dataflow,ESTAT:HSW_AW_DE3(1.0),A,PC,D_GE4,TOTAL,T,B,DEV_5,EU_V,2005,27.8,
dataflow,ESTAT:HSW_AW_DE3(1.0),A,PC,D_GE4,TOTAL,T,B,DEV_6,EU_V,2005,11.9,
dataflow,ESTAT:HSW_AW_DE3(1.0),A,PC,D_GE4,TOTAL,T,B,DEV_7,EU_V,2005,24.3,
dataflow,ESTAT:HSW_AW_DE3(1.0),A,PC,D_GE4,TOTAL,T,B,DEV_8,EU_V,2005,1.8,
dataflow,ESTAT:HSW_AW_DE3(1.0),A,PC,D_GE4,TOTAL,T,B,DEV_9,EU_V,2005,9.7,
dataflow,ESTAT:HSW_AW_DE3(1.0),A,PC,D_GE4,TOTAL,T,B,TOTAL,EU_V,2005,100.0,
dataflow,ESTAT:HSW_AW_DE3(1.0),A,PC,D_GE4,TOTAL,T,C,DEV_1,EU_V,2005,0.9,
dataflow,ESTAT:HSW_AW_DE3(1.0),A,PC,D_GE4,TOTAL,T,C,DEV_2,EU_V,2005,3.0,
dataflow,ESTAT:HSW_AW_DE3(1.0),A,PC,D_GE4,TOTAL,T,C,DEV_3,EU_V,2005,23.2,
dataflow,ESTAT:HSW_AW_DE3(1.0),A,PC,D_GE4,TOTAL,T,C,DEV_4,EU_V,2005,21.3,
dataflow,ESTAT:HSW_AW_DE3(1.0),A,PC,D_GE4,TOTAL,T,C,DEV_5,EU_V,2005,22.5,
dataflow,ESTAT:HSW_AW_DE3(1.0),A,PC,D_GE4,TOTAL,T,C,DEV_6,EU_V,2005,9.5,
dataflow,ESTAT:HSW_AW_DE3(1.0),A,PC,D_GE4,TOTAL,T,C,DEV_7,EU_V,2005,16.9,
dataflow,ESTAT:HSW_AW_DE3(1.0),A,PC,D_GE4,TOTAL,T,C,DEV_8,EU_V,2005,0.5,
dataflow,ESTAT:HSW_AW_DE3(1.0),A,PC,D_GE4,TOTAL,T,C,DEV_9,EU_V,2005,2.1,
dataflow,ESTAT:HSW_AW_DE3(1.0),A,PC,D_GE4,TOTAL,T,C,TOTAL,EU_V,2005,100.0,
dataflow,ESTAT:HSW_AW_DE3(1.0),A,PC,D_GE4,TOTAL,T,D,DEV_1,EU_V,2005,0.7,
dataflow,ESTAT:HSW_AW_DE3(1.0),A,PC,D_GE4,TOTAL,T,D,DEV_2,EU_V,2005,2.7,
dataflow,ESTAT:HSW_AW_DE3(1.0),A,PC,D_GE4,TOTAL,T,D,DEV_3,EU_V,2005,10.5,
dataflow,ESTAT:HSW_AW_DE3(1.0),A,PC,D_GE4,TOTAL,T,D,DEV_4,EU_V,2005,34.8,
dataflow,ESTAT:HSW_AW_DE3(1.0),A,PC,D_GE4,TOTAL,T,D,DEV_5,EU_V,2005,15.9,
dataflow,ESTAT:HSW_AW_DE3(1.0),A,PC,D_GE4,TOTAL,T,D,DEV_6,EU_V,2005,15.7,
dataflow,ESTAT:HSW_AW_DE3(1.0),A,PC,D_GE4,TOTAL,T,D,DEV_7,EU_V,2005,17.3,
dataflow,ESTAT:HSW_AW_DE3(1.0),A,PC,D_GE4,TOTAL,T,D,DEV_8,EU_V,2005,0.7,
dataflow,ESTAT:HSW_AW_DE3(1.0),A,PC,D_GE4,TOTAL,T,D,DEV_9,EU_V,2005,1.7,
dataflow,ESTAT:HSW_AW_DE3(1.0),A,PC,D_GE4,TOTAL,T,D,TOTAL,EU_V,2005,100.0,
dataflow,ESTAT:HSW_AW_DE3(1.0),A,PC,D_GE4,TOTAL,T,E,DEV_1,EU_V,2005,2.1,
dataflow,ESTAT:HSW_AW_DE3(1.0),A,PC,D_GE4,TOTAL,T,E,DEV_2,EU_V,2005,1.8,
dataflow,ESTAT:HSW_AW_DE3(1.0),A,PC,D_GE4,TOTAL,T,E,DEV_3,EU_V,2005,8.9,
dataflow,ESTAT:HSW_AW_DE3(1.0),A,PC,D_GE4,TOTAL,T,E,DEV_4,EU_V,2005,22.1,
dataflow,ESTAT:HSW_AW_DE3(1.0),A,PC,D_GE4,TOTAL,T,E,DEV_5,EU_V,2005,25.6,
dataflow,ESTAT:HSW_AW_DE3(1.0),A,PC,D_GE4,TOTAL,T,E,DEV_6,EU_V,2005,14.4,
dataflow,ESTAT:HSW_AW_DE3(1.0),A,PC,D_GE4,TOTAL,T,E,DEV_7,EU_V,2005,21.3,
dataflow,ESTAT:HSW_AW_DE3(1.0),A,PC,D_GE4,TOTAL,T,E,DEV_8,EU_V,2005,2.1,
dataflow,ESTAT:HSW_AW_DE3(1.0),A,PC,D_GE4,TOTAL,T,E,DEV_9,EU_V,2005,1.6,
dataflow,ESTAT:HSW_AW_DE3(1.0),A,PC,D_GE4,TOTAL,T,E,TOTAL,EU_V,2005,100.0,
dataflow,ESTAT:HSW_AW_DE3(1.0),A,PC,D_GE4,TOTAL,T,F,DEV_1,EU_V,2005,0.7,
dataflow,ESTAT:HSW_AW_DE3(1.0),A,PC,D_GE4,TOTAL,T,F,DEV_2,EU_V,2005,2.0,
dataflow,ESTAT:HSW_AW_DE3(1.0),A,PC,D_GE4,TOTAL,T,F,DEV_3,EU_V,2005,11.5,
dataflow,ESTAT:HSW_AW_DE3(1.0),A,PC,D_GE4,TOTAL,T,F,DEV_4,EU_V,2005,23.8,
dataflow,ESTAT:HSW_AW_DE3(1.0),A,PC,D_GE4,TOTAL,T,F,DEV_5,EU_V,2005,25.0,
dataflow,ESTAT:HSW_AW_DE3(1.0),A,PC,D_GE4,TOTAL,T,F,DEV_6,EU_V,2005,14.8,
dataflow,ESTAT:HSW_AW_DE3(1.0),A,PC,D_GE4,TOTAL,T,F,DEV_7,EU_V,2005,19.7,
dataflow,ESTAT:HSW_AW_DE3(1.0),A,PC,D_GE4,TOTAL,T,F,DEV_8,EU_V,2005,0.6,
dataflow,ESTAT:HSW_AW_DE3(1.0),A,PC,D_GE4,TOTAL,T,F,DEV_9,EU_V,2005,1.8,
dataflow,ESTAT:HSW_AW_DE3(1.0),A,PC,D_GE4,TOTAL,T,F,TOTAL,EU_V,2005,100.0,
dataflow,ESTAT:HSW_AW_DE3(1.0),A,PC,D_GE4,TOTAL,T,G,DEV_1,EU_V,2005,0.6,
dataflow,ESTAT:HSW_AW_DE3(1.0),A,PC,D_GE4,TOTAL,T,G,DEV_2,EU_V,2005,1.3,
dataflow,ESTAT:HSW_AW_DE3(1.0),A,PC,D_GE4,TOTAL,T,G,DEV_3,EU_V,2005,9.1,
dataflow,ESTAT:HSW_AW_DE3(1.0),A,PC,D_GE4,TOTAL,T,G,DEV_4,EU_V,2005,26.9,
dataflow,ESTAT:HSW_AW_DE3(1.0),A,PC,D_GE4,TOTAL,T,G,DEV_5,EU_V,2005,20.4,
dataflow,ESTAT:HSW_AW_DE3(1.0),A,PC,D_GE4,TOTAL,T,G,DEV_6,EU_V,2005,16.2,
dataflow,ESTAT:HSW_AW_DE3(1.0),A,PC,D_GE4,TOTAL,T,G,DEV_7,EU_V,2005,22.2,
dataflow,ESTAT:HSW_AW_DE3(1.0),A,PC,D_GE4,TOTAL,T,G,DEV_8,EU_V,2005,1.6,
dataflow,ESTAT:HSW_AW_DE3(1.0),A,PC,D_GE4,TOTAL,T,G,DEV_9,EU_V,2005,1.7,
dataflow,ESTAT:HSW_AW_DE3(1.0),A,PC,D_GE4,TOTAL,T,G,TOTAL,EU_V,2005,100.0,
dataflow,ESTAT:HSW_AW_DE3(1.0),A,PC,D_GE4,TOTAL,T,H,DEV_1,EU_V,2005,0.7,
dataflow,ESTAT:HSW_AW_DE3(1.0),A,PC,D_GE4,TOTAL,T,H,DEV_2,EU_V,2005,4.8,
dataflow,ESTAT:HSW_AW_DE3(1.0),A,PC,D_GE4,TOTAL,T,H,DEV_3,EU_V,2005,10.1,
dataflow,ESTAT:HSW_AW_DE3(1.0),A,PC,D_GE4,TOTAL,T,H,DEV_4,EU_V,2005,23.4,
dataflow,ESTAT:HSW_AW_DE3(1.0),A,PC,D_GE4,TOTAL,T,H,DEV_5,EU_V,2005,26.2,
dataflow,ESTAT:HSW_AW_DE3(1.0),A,PC,D_GE4,TOTAL,T,H,DEV_6,EU_V,2005,16.5,
dataflow,ESTAT:HSW_AW_DE3(1.0),A,PC,D_GE4,TOTAL,T,H,DEV_7,EU_V,2005,14.8,
dataflow,ESTAT:HSW_AW_DE3(1.0),A,PC,D_GE4,TOTAL,T,H,DEV_8,EU_V,2005,1.9,
dataflow,ESTAT:HSW_AW_DE3(1.0),A,PC,D_GE4,TOTAL,T,H,DEV_9,EU_V,2005,1.6,
dataflow,ESTAT:HSW_AW_DE3(1.0),A,PC,D_GE4,TOTAL,T,H,TOTAL,EU_V,2005,100.0,
dataflow,ESTAT:HSW_AW_DE3(1.0),A,PC,D_GE4,TOTAL,T,I,DEV_1,EU_V,2005,0.4,
dataflow,ESTAT:HSW_AW_DE3(1.0),A,PC,D_GE4,TOTAL,T,I,DEV_2,EU_V,2005,1.3,
dataflow,ESTAT:HSW_AW_DE3(1.0),A,PC,D_GE4,TOTAL,T,I,DEV_3,EU_V,2005,7.7,
dataflow,ESTAT:HSW_AW_DE3(1.0),A,PC,D_GE4,TOTAL,T,I,DEV_4,EU_V,2005,23.7,
dataflow,ESTAT:HSW_AW_DE3(1.0),A,PC,D_GE4,TOTAL,T,I,DEV_5,EU_V,2005,26.4,
dataflow,ESTAT:HSW_AW_DE3(1.0),A,PC,D_GE4,TOTAL,T,I,DEV_6,EU_V,2005,14.0,
dataflow,ESTAT:HSW_AW_DE3(1.0),A,PC,D_GE4,TOTAL,T,I,DEV_7,EU_V,2005,21.1,
dataflow,ESTAT:HSW_AW_DE3(1.0),A,PC,D_GE4,TOTAL,T,I,DEV_8,EU_V,2005,3.8,
dataflow,ESTAT:HSW_AW_DE3(1.0),A,PC,D_GE4,TOTAL,T,I,DEV_9,EU_V,2005,1.6,
dataflow,ESTAT:HSW_AW_DE3(1.0),A,PC,D_GE4,TOTAL,T,I,TOTAL,EU_V,2005,100.0,
dataflow,ESTAT:HSW_AW_DE3(1.0),A,PC,D_GE4,TOTAL,T,J,DEV_1,EU_V,2005,0.7,
dataflow,ESTAT:HSW_AW_DE3(1.0),A,PC,D_GE4,TOTAL,T,J,DEV_2,EU_V,2005,0.8,
dataflow,ESTAT:HSW_AW_DE3(1.0),A,PC,D_GE4,TOTAL,T,J,DEV_3,EU_V,2005,3.9,
dataflow,ESTAT:HSW_AW_DE3(1.0),A,PC,D_GE4,TOTAL,T,J,DEV_4,EU_V,2005,15.4,
dataflow,ESTAT:HSW_AW_DE3(1.0),A,PC,D_GE4,TOTAL,T,J,DEV_5,EU_V,2005,34.7,
dataflow,ESTAT:HSW_AW_DE3(1.0),A,PC,D_GE4,TOTAL,T,J,DEV_6,EU_V,2005,15.7,
dataflow,ESTAT:HSW_AW_DE3(1.0),A,PC,D_GE4,TOTAL,T,J,DEV_7,EU_V,2005,15.8,
dataflow,ESTAT:HSW_AW_DE3(1.0),A,PC,D_GE4,TOTAL,T,J,DEV_8,EU_V,2005,11.1,
dataflow,ESTAT:HSW_AW_DE3(1.0),A,PC,D_GE4,TOTAL,T,J,DEV_9,EU_V,2005,1.9,
dataflow,ESTAT:HSW_AW_DE3(1.0),A,PC,D_GE4,TOTAL,T,J,TOTAL,EU_V,2005,100.0,
dataflow,ESTAT:HSW_AW_DE3(1.0),A,PC,D_GE4,TOTAL,T,K,DEV_1,EU_V,2005,0.7,
dataflow,ESTAT:HSW_AW_DE3(1.0),A,PC,D_GE4,TOTAL,T,K,DEV_2,EU_V,2005,1.9,
dataflow,ESTAT:HSW_AW_DE3(1.0),A,PC,D_GE4,TOTAL,T,K,DEV_3,EU_V,2005,9.3,
dataflow,ESTAT:HSW_AW_DE3(1.0),A,PC,D_GE4,TOTAL,T,K,DEV_4,EU_V,2005,22.4,
dataflow,ESTAT:HSW_AW_DE3(1.0),A,PC,D_GE4,TOTAL,T,K,DEV_5,EU_V,2005,27.6,
dataflow,ESTAT:HSW_AW_DE3(1.0),A,PC,D_GE4,TOTAL,T,K,DEV_6,EU_V,2005,15.7,
dataflow,ESTAT:HSW_AW_DE3(1.0),A,PC,D_GE4,TOTAL,T,K,DEV_7,EU_V,2005,18.0,
dataflow,ESTAT:HSW_AW_DE3(1.0),A,PC,D_GE4,TOTAL,T,K,DEV_8,EU_V,2005,2.8,
dataflow,ESTAT:HSW_AW_DE3(1.0),A,PC,D_GE4,TOTAL,T,K,DEV_9,EU_V,2005,1.6,
dataflow,ESTAT:HSW_AW_DE3(1.0),A,PC,D_GE4,TOTAL,T,K,TOTAL,EU_V,2005,100.0,
dataflow,ESTAT:HSW_AW_DE3(1.0),A,PC,D_GE4,TOTAL,T,L,DEV_1,EU_V,2005,0.5,
dataflow,ESTAT:HSW_AW_DE3(1.0),A,PC,D_GE4,TOTAL,T,L,DEV_2,EU_V,2005,1.1,
dataflow,ESTAT:HSW_AW_DE3(1.0),A,PC,D_GE4,TOTAL,T,L,DEV_3,EU_V,2005,5.8,
dataflow,ESTAT:HSW_AW_DE3(1.0),A,PC,D_GE4,TOTAL,T,L,DEV_4,EU_V,2005,15.1,
dataflow,ESTAT:HSW_AW_DE3(1.0),A,PC,D_GE4,TOTAL,T,L,DEV_5,EU_V,2005,29.3,
dataflow,ESTAT:HSW_AW_DE3(1.0),A,PC,D_GE4,TOTAL,T,L,DEV_6,EU_V,2005,13.0,
dataflow,ESTAT:HSW_AW_DE3(1.0),A,PC,D_GE4,TOTAL,T,L,DEV_7,EU_V,2005,25.3,
dataflow,ESTAT:HSW_AW_DE3(1.0),A,PC,D_GE4,TOTAL,T,L,DEV_8,EU_V,2005,7.4,
dataflow,ESTAT:HSW_AW_DE3(1.0),A,PC,D_GE4,TOTAL,T,L,DEV_9,EU_V,2005,2.5,
dataflow,ESTAT:HSW_AW_DE3(1.0),A,PC,D_GE4,TOTAL,T,L,TOTAL,EU_V,2005,100.0,
dataflow,ESTAT:HSW_AW_DE3(1.0),A,PC,D_GE4,TOTAL,T,M,DEV_1,EU_V,2005,0.6,
dataflow,ESTAT:HSW_AW_DE3(1.0),A,PC,D_GE4,TOTAL,T,M,DEV_2,EU_V,2005,1.5,
dataflow,ESTAT:HSW_AW_DE3(1.0),A,PC,D_GE4,TOTAL,T,M,DEV_3,EU_V,2005,5.8,
dataflow,ESTAT:HSW_AW_DE3(1.0),A,PC,D_GE4,TOTAL,T,M,DEV_4,EU_V,2005,15.3,
dataflow,ESTAT:HSW_AW_DE3(1.0),A,PC,D_GE4,TOTAL,T,M,DEV_5,EU_V,2005,32.5,
dataflow,ESTAT:HSW_AW_DE3(1.0),A,PC,D_GE4,TOTAL,T,M,DEV_6,EU_V,2005,15.3,
dataflow,ESTAT:HSW_AW_DE3(1.0),A,PC,D_GE4,TOTAL,T,M,DEV_7,EU_V,2005,20.8,
dataflow,ESTAT:HSW_AW_DE3(1.0),A,PC,D_GE4,TOTAL,T,M,DEV_8,EU_V,2005,6.5,
dataflow,ESTAT:HSW_AW_DE3(1.0),A,PC,D_GE4,TOTAL,T,M,DEV_9,EU_V,2005,1.8,
dataflow,ESTAT:HSW_AW_DE3(1.0),A,PC,D_GE4,TOTAL,T,M,TOTAL,EU_V,2005,100.0,
dataflow,ESTAT:HSW_AW_DE3(1.0),A,PC,D_GE4,TOTAL,T,N,DEV_1,EU_V,2005,0.3,
dataflow,ESTAT:HSW_AW_DE3(1.0),A,PC,D_GE4,TOTAL,T,N,DEV_2,EU_V,2005,2.0,
