STRUCTURE,STRUCTURE_ID,freq,unit,severity,age,nace_r1,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HSW_AW_FIMS(1.0),A,RT,FAT,TOTAL,A_D-H_J_K,AT,1994,5.3,
dataflow,ESTAT:HSW_AW_FIMS(1.0),A,RT,FAT,TOTAL,A_D-H_J_K,AT,1995,6.7,
dataflow,ESTAT:HSW_AW_FIMS(1.0),A,RT,FAT,TOTAL,A_D-H_J_K,AT,1996,6,
dataflow,ESTAT:HSW_AW_FIMS(1.0),A,RT,FAT,TOTAL,A_D-H_J_K,AT,1997,5.3,
dataflow,ESTAT:HSW_AW_FIMS(1.0),A,RT,FAT,TOTAL,A_D-H_J_K,AT,1998,5.1,
dataflow,ESTAT:HSW_AW_FIMS(1.0),A,RT,FAT,TOTAL,A_D-H_J_K,AT,1999,5.1,
dataflow,ESTAT:HSW_AW_FIMS(1.0),A,RT,FAT,TOTAL,A_D-H_J_K,AT,2000,5.1,
dataflow,ESTAT:HSW_AW_FIMS(1.0),A,RT,FAT,TOTAL,A_D-H_J_K,AT,2001,4.8,
dataflow,ESTAT:HSW_AW_FIMS(1.0),A,RT,FAT,TOTAL,A_D-H_J_K,AT,2002,5.1,
dataflow,ESTAT:HSW_AW_FIMS(1.0),A,RT,FAT,TOTAL,A_D-H_J_K,AT,2003,4.8,
dataflow,ESTAT:HSW_AW_FIMS(1.0),A,RT,FAT,TOTAL,A_D-H_J_K,AT,2004,5.4,
dataflow,ESTAT:HSW_AW_FIMS(1.0),A,RT,FAT,TOTAL,A_D-H_J_K,AT,2005,4.8,
dataflow,ESTAT:HSW_AW_FIMS(1.0),A,RT,FAT,TOTAL,A_D-H_J_K,AT,2006,4.2,
dataflow,ESTAT:HSW_AW_FIMS(1.0),A,RT,FAT,TOTAL,A_D-H_J_K,AT,2007,3.8,
dataflow,ESTAT:HSW_AW_FIMS(1.0),A,RT,FAT,TOTAL,A_D-H_J_K,BE,1994,6,
dataflow,ESTAT:HSW_AW_FIMS(1.0),A,RT,FAT,TOTAL,A_D-H_J_K,BE,1995,5.9,
dataflow,ESTAT:HSW_AW_FIMS(1.0),A,RT,FAT,TOTAL,A_D-H_J_K,BE,1996,5.5,
dataflow,ESTAT:HSW_AW_FIMS(1.0),A,RT,FAT,TOTAL,A_D-H_J_K,BE,1997,3.1,
dataflow,ESTAT:HSW_AW_FIMS(1.0),A,RT,FAT,TOTAL,A_D-H_J_K,BE,1998,3.1,
dataflow,ESTAT:HSW_AW_FIMS(1.0),A,RT,FAT,TOTAL,A_D-H_J_K,BE,1999,3.3,
dataflow,ESTAT:HSW_AW_FIMS(1.0),A,RT,FAT,TOTAL,A_D-H_J_K,BE,2000,3.1,
dataflow,ESTAT:HSW_AW_FIMS(1.0),A,RT,FAT,TOTAL,A_D-H_J_K,BE,2001,3.8,
dataflow,ESTAT:HSW_AW_FIMS(1.0),A,RT,FAT,TOTAL,A_D-H_J_K,BE,2002,2.6,
dataflow,ESTAT:HSW_AW_FIMS(1.0),A,RT,FAT,TOTAL,A_D-H_J_K,BE,2003,2.4,
dataflow,ESTAT:HSW_AW_FIMS(1.0),A,RT,FAT,TOTAL,A_D-H_J_K,BE,2004,2.9,
dataflow,ESTAT:HSW_AW_FIMS(1.0),A,RT,FAT,TOTAL,A_D-H_J_K,BE,2005,2.6,
dataflow,ESTAT:HSW_AW_FIMS(1.0),A,RT,FAT,TOTAL,A_D-H_J_K,BE,2006,2.6,
dataflow,ESTAT:HSW_AW_FIMS(1.0),A,RT,FAT,TOTAL,A_D-H_J_K,BE,2007,2.5,
dataflow,ESTAT:HSW_AW_FIMS(1.0),A,RT,FAT,TOTAL,A_D-H_J_K,BG,2005,3.6,
dataflow,ESTAT:HSW_AW_FIMS(1.0),A,RT,FAT,TOTAL,A_D-H_J_K,CH,2004,4.1,
dataflow,ESTAT:HSW_AW_FIMS(1.0),A,RT,FAT,TOTAL,A_D-H_J_K,CH,2005,2.5,
dataflow,ESTAT:HSW_AW_FIMS(1.0),A,RT,FAT,TOTAL,A_D-H_J_K,CH,2006,3,
dataflow,ESTAT:HSW_AW_FIMS(1.0),A,RT,FAT,TOTAL,A_D-H_J_K,CH,2007,3.3,
dataflow,ESTAT:HSW_AW_FIMS(1.0),A,RT,FAT,TOTAL,A_D-H_J_K,CY,2005,4.9,
dataflow,ESTAT:HSW_AW_FIMS(1.0),A,RT,FAT,TOTAL,A_D-H_J_K,CY,2007,3.3,
dataflow,ESTAT:HSW_AW_FIMS(1.0),A,RT,FAT,TOTAL,A_D-H_J_K,CZ,2005,2.5,
dataflow,ESTAT:HSW_AW_FIMS(1.0),A,RT,FAT,TOTAL,A_D-H_J_K,CZ,2007,1,
