STRUCTURE,STRUCTURE_ID,freq,unit,severity,sizeclas,nace_r1,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HSW_AW_INASZ(1.0),A,RT,D_GE4,0,A,EU15_NO,2002,1918,
dataflow,ESTAT:HSW_AW_INASZ(1.0),A,RT,D_GE4,0,A,EU15_NO,2003,,p
dataflow,ESTAT:HSW_AW_INASZ(1.0),A,RT,D_GE4,0,A,EU15_NO,2004,,p
dataflow,ESTAT:HSW_AW_INASZ(1.0),A,RT,D_GE4,0,A_D-K,EU15_NO,1996,3557,
dataflow,ESTAT:HSW_AW_INASZ(1.0),A,RT,D_GE4,0,A_D-K,EU15_NO,1997,2741,
dataflow,ESTAT:HSW_AW_INASZ(1.0),A,RT,D_GE4,0,A_D-K,EU15_NO,1998,2578,
dataflow,ESTAT:HSW_AW_INASZ(1.0),A,RT,D_GE4,0,A_D-K,EU15_NO,1999,2309,
dataflow,ESTAT:HSW_AW_INASZ(1.0),A,RT,D_GE4,0,A_D-K,EU15_NO,2000,1541,b
dataflow,ESTAT:HSW_AW_INASZ(1.0),A,RT,D_GE4,0,A_D-K,EU15_NO,2001,3505,
dataflow,ESTAT:HSW_AW_INASZ(1.0),A,RT,D_GE4,0,A_D-K,EU15_NO,2002,2677,
dataflow,ESTAT:HSW_AW_INASZ(1.0),A,RT,D_GE4,0,A_D-K,EU15_NO,2003,1581,
dataflow,ESTAT:HSW_AW_INASZ(1.0),A,RT,D_GE4,0,A_D-K,EU15_NO,2004,806,
dataflow,ESTAT:HSW_AW_INASZ(1.0),A,RT,D_GE4,0,A_D-K,EU15_NO,2005,716,
dataflow,ESTAT:HSW_AW_INASZ(1.0),A,RT,D_GE4,0,A_D-K,EU15_NO,2006,712,
dataflow,ESTAT:HSW_AW_INASZ(1.0),A,RT,D_GE4,0,A_D-K,EU15_NO,2007,601,
dataflow,ESTAT:HSW_AW_INASZ(1.0),A,RT,D_GE4,0,D,EU15_NO,1996,10522,
dataflow,ESTAT:HSW_AW_INASZ(1.0),A,RT,D_GE4,0,D,EU15_NO,1997,7665,
