STRUCTURE,STRUCTURE_ID,freq,unit,severity,age,sex,nace_r1,matagent,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HSW_AW_MAA1(1.0),A,NR,D_GE4,TOTAL,F,TOTAL,MAT_0100,EU_V,2005,62140,
dataflow,ESTAT:HSW_AW_MAA1(1.0),A,NR,D_GE4,TOTAL,F,TOTAL,MAT_0200,EU_V,2005,25794,
dataflow,ESTAT:HSW_AW_MAA1(1.0),A,NR,D_GE4,TOTAL,F,TOTAL,MAT_0300,EU_V,2005,334,
dataflow,ESTAT:HSW_AW_MAA1(1.0),A,NR,D_GE4,TOTAL,F,TOTAL,MAT_0400,EU_V,2005,1926,
dataflow,ESTAT:HSW_AW_MAA1(1.0),A,NR,D_GE4,TOTAL,F,TOTAL,MAT_0500,EU_V,2005,1092,
dataflow,ESTAT:HSW_AW_MAA1(1.0),A,NR,D_GE4,TOTAL,F,TOTAL,MAT_0600,EU_V,2005,27550,
dataflow,ESTAT:HSW_AW_MAA1(1.0),A,NR,D_GE4,TOTAL,F,TOTAL,MAT_0700,EU_V,2005,5662,
dataflow,ESTAT:HSW_AW_MAA1(1.0),A,NR,D_GE4,TOTAL,F,TOTAL,MAT_0800,EU_V,2005,2287,
dataflow,ESTAT:HSW_AW_MAA1(1.0),A,NR,D_GE4,TOTAL,F,TOTAL,MAT_0900,EU_V,2005,3462,
dataflow,ESTAT:HSW_AW_MAA1(1.0),A,NR,D_GE4,TOTAL,F,TOTAL,MAT_1000,EU_V,2005,18065,
dataflow,ESTAT:HSW_AW_MAA1(1.0),A,NR,D_GE4,TOTAL,F,TOTAL,MAT_1100,EU_V,2005,26650,
dataflow,ESTAT:HSW_AW_MAA1(1.0),A,NR,D_GE4,TOTAL,F,TOTAL,MAT_1200,EU_V,2005,20928,
dataflow,ESTAT:HSW_AW_MAA1(1.0),A,NR,D_GE4,TOTAL,F,TOTAL,MAT_1300,EU_V,2005,1146,
dataflow,ESTAT:HSW_AW_MAA1(1.0),A,NR,D_GE4,TOTAL,F,TOTAL,MAT_1400,EU_V,2005,54202,
dataflow,ESTAT:HSW_AW_MAA1(1.0),A,NR,D_GE4,TOTAL,F,TOTAL,MAT_1500,EU_V,2005,2845,
dataflow,ESTAT:HSW_AW_MAA1(1.0),A,NR,D_GE4,TOTAL,F,TOTAL,MAT_1600,EU_V,2005,444,
dataflow,ESTAT:HSW_AW_MAA1(1.0),A,NR,D_GE4,TOTAL,F,TOTAL,MAT_1700,EU_V,2005,19073,
dataflow,ESTAT:HSW_AW_MAA1(1.0),A,NR,D_GE4,TOTAL,F,TOTAL,MAT_1800,EU_V,2005,21782,
dataflow,ESTAT:HSW_AW_MAA1(1.0),A,NR,D_GE4,TOTAL,F,TOTAL,MAT_1900,EU_V,2005,1206,
dataflow,ESTAT:HSW_AW_MAA1(1.0),A,NR,D_GE4,TOTAL,F,TOTAL,MAT_2000,EU_V,2005,918,
dataflow,ESTAT:HSW_AW_MAA1(1.0),A,NR,D_GE4,TOTAL,F,TOTAL,MAT_9900,EU_V,2005,8713,
dataflow,ESTAT:HSW_AW_MAA1(1.0),A,NR,D_GE4,TOTAL,F,TOTAL,TOTAL,EU_V,2005,306223,
dataflow,ESTAT:HSW_AW_MAA1(1.0),A,NR,D_GE4,TOTAL,M,TOTAL,MAT_0100,EU_V,2005,165607,
dataflow,ESTAT:HSW_AW_MAA1(1.0),A,NR,D_GE4,TOTAL,M,TOTAL,MAT_0200,EU_V,2005,89447,
dataflow,ESTAT:HSW_AW_MAA1(1.0),A,NR,D_GE4,TOTAL,M,TOTAL,MAT_0300,EU_V,2005,5345,
dataflow,ESTAT:HSW_AW_MAA1(1.0),A,NR,D_GE4,TOTAL,M,TOTAL,MAT_0400,EU_V,2005,14097,
dataflow,ESTAT:HSW_AW_MAA1(1.0),A,NR,D_GE4,TOTAL,M,TOTAL,MAT_0500,EU_V,2005,12549,
dataflow,ESTAT:HSW_AW_MAA1(1.0),A,NR,D_GE4,TOTAL,M,TOTAL,MAT_0600,EU_V,2005,114204,
dataflow,ESTAT:HSW_AW_MAA1(1.0),A,NR,D_GE4,TOTAL,M,TOTAL,MAT_0700,EU_V,2005,35974,
dataflow,ESTAT:HSW_AW_MAA1(1.0),A,NR,D_GE4,TOTAL,M,TOTAL,MAT_0800,EU_V,2005,13119,
