STRUCTURE,STRUCTURE_ID,freq,unit,severity,age,sex,nace_r1,matagent,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HSW_AW_MAC2(1.0),A,RT,D_GE4,TOTAL,F,TOTAL,MAT_0100,EU_V,2005,210.4,
dataflow,ESTAT:HSW_AW_MAC2(1.0),A,RT,D_GE4,TOTAL,F,TOTAL,MAT_0200,EU_V,2005,66.1,
dataflow,ESTAT:HSW_AW_MAC2(1.0),A,RT,D_GE4,TOTAL,F,TOTAL,MAT_0300,EU_V,2005,1.1,
dataflow,ESTAT:HSW_AW_MAC2(1.0),A,RT,D_GE4,TOTAL,F,TOTAL,MAT_0400,EU_V,2005,4.6,
dataflow,ESTAT:HSW_AW_MAC2(1.0),A,RT,D_GE4,TOTAL,F,TOTAL,MAT_0500,EU_V,2005,4.1,
dataflow,ESTAT:HSW_AW_MAC2(1.0),A,RT,D_GE4,TOTAL,F,TOTAL,MAT_0600,EU_V,2005,54.3,
dataflow,ESTAT:HSW_AW_MAC2(1.0),A,RT,D_GE4,TOTAL,F,TOTAL,MAT_0700,EU_V,2005,11.4,
dataflow,ESTAT:HSW_AW_MAC2(1.0),A,RT,D_GE4,TOTAL,F,TOTAL,MAT_0800,EU_V,2005,9.4,
dataflow,ESTAT:HSW_AW_MAC2(1.0),A,RT,D_GE4,TOTAL,F,TOTAL,MAT_0900,EU_V,2005,6.4,
dataflow,ESTAT:HSW_AW_MAC2(1.0),A,RT,D_GE4,TOTAL,F,TOTAL,MAT_1000,EU_V,2005,41.2,
dataflow,ESTAT:HSW_AW_MAC2(1.0),A,RT,D_GE4,TOTAL,F,TOTAL,MAT_1100,EU_V,2005,89.0,
dataflow,ESTAT:HSW_AW_MAC2(1.0),A,RT,D_GE4,TOTAL,F,TOTAL,MAT_1200,EU_V,2005,40.0,
dataflow,ESTAT:HSW_AW_MAC2(1.0),A,RT,D_GE4,TOTAL,F,TOTAL,MAT_1300,EU_V,2005,2.4,
dataflow,ESTAT:HSW_AW_MAC2(1.0),A,RT,D_GE4,TOTAL,F,TOTAL,MAT_1400,EU_V,2005,136.5,
