STRUCTURE,STRUCTURE_ID,freq,unit,severity,age,sex,nace_r1,matagent,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HSW_AW_MAD3(1.0),A,PC,D_GE4,TOTAL,F,TOTAL,MAT_0100,EU_V,2005,24.8,
dataflow,ESTAT:HSW_AW_MAD3(1.0),A,PC,D_GE4,TOTAL,F,TOTAL,MAT_0200,EU_V,2005,10.1,
dataflow,ESTAT:HSW_AW_MAD3(1.0),A,PC,D_GE4,TOTAL,F,TOTAL,MAT_0300,EU_V,2005,0.2,
dataflow,ESTAT:HSW_AW_MAD3(1.0),A,PC,D_GE4,TOTAL,F,TOTAL,MAT_0400,EU_V,2005,0.4,
dataflow,ESTAT:HSW_AW_MAD3(1.0),A,PC,D_GE4,TOTAL,F,TOTAL,MAT_0500,EU_V,2005,0.4,
dataflow,ESTAT:HSW_AW_MAD3(1.0),A,PC,D_GE4,TOTAL,F,TOTAL,MAT_0600,EU_V,2005,8.7,
dataflow,ESTAT:HSW_AW_MAD3(1.0),A,PC,D_GE4,TOTAL,F,TOTAL,MAT_0700,EU_V,2005,1.3,
dataflow,ESTAT:HSW_AW_MAD3(1.0),A,PC,D_GE4,TOTAL,F,TOTAL,MAT_0800,EU_V,2005,0.5,
dataflow,ESTAT:HSW_AW_MAD3(1.0),A,PC,D_GE4,TOTAL,F,TOTAL,MAT_0900,EU_V,2005,0.7,
dataflow,ESTAT:HSW_AW_MAD3(1.0),A,PC,D_GE4,TOTAL,F,TOTAL,MAT_1000,EU_V,2005,5.2,
dataflow,ESTAT:HSW_AW_MAD3(1.0),A,PC,D_GE4,TOTAL,F,TOTAL,MAT_1100,EU_V,2005,8.6,
dataflow,ESTAT:HSW_AW_MAD3(1.0),A,PC,D_GE4,TOTAL,F,TOTAL,MAT_1200,EU_V,2005,5.7,
dataflow,ESTAT:HSW_AW_MAD3(1.0),A,PC,D_GE4,TOTAL,F,TOTAL,MAT_1300,EU_V,2005,0.3,
dataflow,ESTAT:HSW_AW_MAD3(1.0),A,PC,D_GE4,TOTAL,F,TOTAL,MAT_1400,EU_V,2005,13.0,
dataflow,ESTAT:HSW_AW_MAD3(1.0),A,PC,D_GE4,TOTAL,F,TOTAL,MAT_1500,EU_V,2005,2.0,
dataflow,ESTAT:HSW_AW_MAD3(1.0),A,PC,D_GE4,TOTAL,F,TOTAL,MAT_1600,EU_V,2005,0.2,
dataflow,ESTAT:HSW_AW_MAD3(1.0),A,PC,D_GE4,TOTAL,F,TOTAL,MAT_1700,EU_V,2005,6.5,
dataflow,ESTAT:HSW_AW_MAD3(1.0),A,PC,D_GE4,TOTAL,F,TOTAL,MAT_1800,EU_V,2005,8.6,
dataflow,ESTAT:HSW_AW_MAD3(1.0),A,PC,D_GE4,TOTAL,F,TOTAL,MAT_1900,EU_V,2005,0.4,
dataflow,ESTAT:HSW_AW_MAD3(1.0),A,PC,D_GE4,TOTAL,F,TOTAL,MAT_2000,EU_V,2005,0.6,
dataflow,ESTAT:HSW_AW_MAD3(1.0),A,PC,D_GE4,TOTAL,F,TOTAL,MAT_9900,EU_V,2005,2.0,
