STRUCTURE,STRUCTURE_ID,freq,unit,severity,injury,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HSW_AW_NINSV(1.0),A,NR,D14-20,INJ010,EU15_NO,1997,141117,
dataflow,ESTAT:HSW_AW_NINSV(1.0),A,NR,D14-20,INJ010,EU15_NO,1998,139132,
dataflow,ESTAT:HSW_AW_NINSV(1.0),A,NR,D14-20,INJ010,EU15_NO,1999,137533,
dataflow,ESTAT:HSW_AW_NINSV(1.0),A,NR,D14-20,INJ010,EU15_NO,2000,93181,
dataflow,ESTAT:HSW_AW_NINSV(1.0),A,NR,D14-20,INJ010,EU15_NO,2001,89612,
dataflow,ESTAT:HSW_AW_NINSV(1.0),A,NR,D14-20,INJ010,EU15_NO,2002,73115,
dataflow,ESTAT:HSW_AW_NINSV(1.0),A,NR,D14-20,INJ010,EU15_NO,2003,75020,
dataflow,ESTAT:HSW_AW_NINSV(1.0),A,NR,D14-20,INJ010,EU15_NO,2004,77658,
dataflow,ESTAT:HSW_AW_NINSV(1.0),A,NR,D14-20,INJ010,EU15_NO,2005,74462,
dataflow,ESTAT:HSW_AW_NINSV(1.0),A,NR,D14-20,INJ010,EU15_NO,2006,70195,
dataflow,ESTAT:HSW_AW_NINSV(1.0),A,NR,D14-20,INJ010,EU15_NO,2007,62167,p
dataflow,ESTAT:HSW_AW_NINSV(1.0),A,NR,D14-20,INJ011,EU15_NO,1997,5637,
dataflow,ESTAT:HSW_AW_NINSV(1.0),A,NR,D14-20,INJ011,EU15_NO,1998,6119,
dataflow,ESTAT:HSW_AW_NINSV(1.0),A,NR,D14-20,INJ011,EU15_NO,1999,5703,
dataflow,ESTAT:HSW_AW_NINSV(1.0),A,NR,D14-20,INJ011,EU15_NO,2000,29697,
dataflow,ESTAT:HSW_AW_NINSV(1.0),A,NR,D14-20,INJ011,EU15_NO,2001,28772,
dataflow,ESTAT:HSW_AW_NINSV(1.0),A,NR,D14-20,INJ011,EU15_NO,2002,29392,
dataflow,ESTAT:HSW_AW_NINSV(1.0),A,NR,D14-20,INJ011,EU15_NO,2003,34650,
dataflow,ESTAT:HSW_AW_NINSV(1.0),A,NR,D14-20,INJ011,EU15_NO,2004,36598,
dataflow,ESTAT:HSW_AW_NINSV(1.0),A,NR,D14-20,INJ011,EU15_NO,2005,41423,
