STRUCTURE,STRUCTURE_ID,freq,unit,severity,age,nace_r1,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HSW_AW_NNAAG(1.0),A,NR,D_GE4,TOTAL,A,AT,1995,13337,
dataflow,ESTAT:HSW_AW_NNAAG(1.0),A,NR,D_GE4,TOTAL,A,AT,1996,22333,
dataflow,ESTAT:HSW_AW_NNAAG(1.0),A,NR,D_GE4,TOTAL,A,AT,1997,31340,
dataflow,ESTAT:HSW_AW_NNAAG(1.0),A,NR,D_GE4,TOTAL,A,AT,1998,27840,
dataflow,ESTAT:HSW_AW_NNAAG(1.0),A,NR,D_GE4,TOTAL,A,AT,1999,26743,
dataflow,ESTAT:HSW_AW_NNAAG(1.0),A,NR,D_GE4,TOTAL,A,AT,2000,24773,
dataflow,ESTAT:HSW_AW_NNAAG(1.0),A,NR,D_GE4,TOTAL,A,AT,2001,19928,
dataflow,ESTAT:HSW_AW_NNAAG(1.0),A,NR,D_GE4,TOTAL,A,AT,2002,21087,
dataflow,ESTAT:HSW_AW_NNAAG(1.0),A,NR,D_GE4,TOTAL,A,AT,2003,20250,
dataflow,ESTAT:HSW_AW_NNAAG(1.0),A,NR,D_GE4,TOTAL,A,AT,2004,18666,
dataflow,ESTAT:HSW_AW_NNAAG(1.0),A,NR,D_GE4,TOTAL,A,AT,2005,18115,
dataflow,ESTAT:HSW_AW_NNAAG(1.0),A,NR,D_GE4,TOTAL,A,AT,2006,17336,
dataflow,ESTAT:HSW_AW_NNAAG(1.0),A,NR,D_GE4,TOTAL,A,AT,2007,13927,
dataflow,ESTAT:HSW_AW_NNAAG(1.0),A,NR,D_GE4,TOTAL,A,BE,1995,1213,
dataflow,ESTAT:HSW_AW_NNAAG(1.0),A,NR,D_GE4,TOTAL,A,BE,1996,1175,
dataflow,ESTAT:HSW_AW_NNAAG(1.0),A,NR,D_GE4,TOTAL,A,BE,1997,1204,
dataflow,ESTAT:HSW_AW_NNAAG(1.0),A,NR,D_GE4,TOTAL,A,BE,1998,1250,
dataflow,ESTAT:HSW_AW_NNAAG(1.0),A,NR,D_GE4,TOTAL,A,BE,1999,1251,
dataflow,ESTAT:HSW_AW_NNAAG(1.0),A,NR,D_GE4,TOTAL,A,BE,2000,1053,
dataflow,ESTAT:HSW_AW_NNAAG(1.0),A,NR,D_GE4,TOTAL,A,BE,2001,1085,
dataflow,ESTAT:HSW_AW_NNAAG(1.0),A,NR,D_GE4,TOTAL,A,BE,2002,997,
dataflow,ESTAT:HSW_AW_NNAAG(1.0),A,NR,D_GE4,TOTAL,A,BE,2003,990,
dataflow,ESTAT:HSW_AW_NNAAG(1.0),A,NR,D_GE4,TOTAL,A,BE,2004,927,
dataflow,ESTAT:HSW_AW_NNAAG(1.0),A,NR,D_GE4,TOTAL,A,BE,2005,850,
dataflow,ESTAT:HSW_AW_NNAAG(1.0),A,NR,D_GE4,TOTAL,A,BE,2006,814,
dataflow,ESTAT:HSW_AW_NNAAG(1.0),A,NR,D_GE4,TOTAL,A,BE,2007,874,
dataflow,ESTAT:HSW_AW_NNAAG(1.0),A,NR,D_GE4,TOTAL,A,CH,2004,2588,
dataflow,ESTAT:HSW_AW_NNAAG(1.0),A,NR,D_GE4,TOTAL,A,CH,2005,2653,
dataflow,ESTAT:HSW_AW_NNAAG(1.0),A,NR,D_GE4,TOTAL,A,CH,2006,2374,
dataflow,ESTAT:HSW_AW_NNAAG(1.0),A,NR,D_GE4,TOTAL,A,CH,2007,2334,
dataflow,ESTAT:HSW_AW_NNAAG(1.0),A,NR,D_GE4,TOTAL,A,DE,1995,128026,
dataflow,ESTAT:HSW_AW_NNAAG(1.0),A,NR,D_GE4,TOTAL,A,DE,1996,121699,
dataflow,ESTAT:HSW_AW_NNAAG(1.0),A,NR,D_GE4,TOTAL,A,DE,1997,111542,
dataflow,ESTAT:HSW_AW_NNAAG(1.0),A,NR,D_GE4,TOTAL,A,DE,1998,116103,
dataflow,ESTAT:HSW_AW_NNAAG(1.0),A,NR,D_GE4,TOTAL,A,DE,1999,141911,
dataflow,ESTAT:HSW_AW_NNAAG(1.0),A,NR,D_GE4,TOTAL,A,DE,2000,137317,
dataflow,ESTAT:HSW_AW_NNAAG(1.0),A,NR,D_GE4,TOTAL,A,DE,2001,125166,
dataflow,ESTAT:HSW_AW_NNAAG(1.0),A,NR,D_GE4,TOTAL,A,DE,2002,116462,
dataflow,ESTAT:HSW_AW_NNAAG(1.0),A,NR,D_GE4,TOTAL,A,DE,2003,105502,
dataflow,ESTAT:HSW_AW_NNAAG(1.0),A,NR,D_GE4,TOTAL,A,DE,2004,99013,
dataflow,ESTAT:HSW_AW_NNAAG(1.0),A,NR,D_GE4,TOTAL,A,DE,2005,74115,
dataflow,ESTAT:HSW_AW_NNAAG(1.0),A,NR,D_GE4,TOTAL,A,DE,2006,73922,
dataflow,ESTAT:HSW_AW_NNAAG(1.0),A,NR,D_GE4,TOTAL,A,DE,2007,71909,
dataflow,ESTAT:HSW_AW_NNAAG(1.0),A,NR,D_GE4,TOTAL,A,DK,1995,2860,
dataflow,ESTAT:HSW_AW_NNAAG(1.0),A,NR,D_GE4,TOTAL,A,DK,1996,3124,
dataflow,ESTAT:HSW_AW_NNAAG(1.0),A,NR,D_GE4,TOTAL,A,DK,1997,1133,
dataflow,ESTAT:HSW_AW_NNAAG(1.0),A,NR,D_GE4,TOTAL,A,DK,1998,1133,
dataflow,ESTAT:HSW_AW_NNAAG(1.0),A,NR,D_GE4,TOTAL,A,DK,1999,1780,
dataflow,ESTAT:HSW_AW_NNAAG(1.0),A,NR,D_GE4,TOTAL,A,DK,2000,1469,
dataflow,ESTAT:HSW_AW_NNAAG(1.0),A,NR,D_GE4,TOTAL,A,DK,2001,1340,
dataflow,ESTAT:HSW_AW_NNAAG(1.0),A,NR,D_GE4,TOTAL,A,DK,2002,1324,
dataflow,ESTAT:HSW_AW_NNAAG(1.0),A,NR,D_GE4,TOTAL,A,DK,2003,1063,
dataflow,ESTAT:HSW_AW_NNAAG(1.0),A,NR,D_GE4,TOTAL,A,DK,2004,1322,
dataflow,ESTAT:HSW_AW_NNAAG(1.0),A,NR,D_GE4,TOTAL,A,DK,2005,1354,
dataflow,ESTAT:HSW_AW_NNAAG(1.0),A,NR,D_GE4,TOTAL,A,DK,2006,1218,
dataflow,ESTAT:HSW_AW_NNAAG(1.0),A,NR,D_GE4,TOTAL,A,DK,2007,1258,
dataflow,ESTAT:HSW_AW_NNAAG(1.0),A,NR,D_GE4,TOTAL,A,EL,1995,650,
dataflow,ESTAT:HSW_AW_NNAAG(1.0),A,NR,D_GE4,TOTAL,A,EL,1996,939,
dataflow,ESTAT:HSW_AW_NNAAG(1.0),A,NR,D_GE4,TOTAL,A,EL,1997,1007,
dataflow,ESTAT:HSW_AW_NNAAG(1.0),A,NR,D_GE4,TOTAL,A,EL,1998,806,
dataflow,ESTAT:HSW_AW_NNAAG(1.0),A,NR,D_GE4,TOTAL,A,EL,1999,591,
dataflow,ESTAT:HSW_AW_NNAAG(1.0),A,NR,D_GE4,TOTAL,A,EL,2000,573,
dataflow,ESTAT:HSW_AW_NNAAG(1.0),A,NR,D_GE4,TOTAL,A,EL,2001,512,
dataflow,ESTAT:HSW_AW_NNAAG(1.0),A,NR,D_GE4,TOTAL,A,EL,2002,497,
dataflow,ESTAT:HSW_AW_NNAAG(1.0),A,NR,D_GE4,TOTAL,A,EL,2003,395,
dataflow,ESTAT:HSW_AW_NNAAG(1.0),A,NR,D_GE4,TOTAL,A,EL,2004,500,
dataflow,ESTAT:HSW_AW_NNAAG(1.0),A,NR,D_GE4,TOTAL,A,EL,2005,424,
dataflow,ESTAT:HSW_AW_NNAAG(1.0),A,NR,D_GE4,TOTAL,A,EL,2006,402,
dataflow,ESTAT:HSW_AW_NNAAG(1.0),A,NR,D_GE4,TOTAL,A,EL,2007,307,
dataflow,ESTAT:HSW_AW_NNAAG(1.0),A,NR,D_GE4,TOTAL,A,ES,1995,30937,
dataflow,ESTAT:HSW_AW_NNAAG(1.0),A,NR,D_GE4,TOTAL,A,ES,1996,31046,
dataflow,ESTAT:HSW_AW_NNAAG(1.0),A,NR,D_GE4,TOTAL,A,ES,1997,34909,
dataflow,ESTAT:HSW_AW_NNAAG(1.0),A,NR,D_GE4,TOTAL,A,ES,1998,39988,
dataflow,ESTAT:HSW_AW_NNAAG(1.0),A,NR,D_GE4,TOTAL,A,ES,1999,37712,
dataflow,ESTAT:HSW_AW_NNAAG(1.0),A,NR,D_GE4,TOTAL,A,ES,2000,32665,
dataflow,ESTAT:HSW_AW_NNAAG(1.0),A,NR,D_GE4,TOTAL,A,ES,2001,29641,
dataflow,ESTAT:HSW_AW_NNAAG(1.0),A,NR,D_GE4,TOTAL,A,ES,2002,28921,
dataflow,ESTAT:HSW_AW_NNAAG(1.0),A,NR,D_GE4,TOTAL,A,ES,2003,28545,
dataflow,ESTAT:HSW_AW_NNAAG(1.0),A,NR,D_GE4,TOTAL,A,ES,2004,28050,
dataflow,ESTAT:HSW_AW_NNAAG(1.0),A,NR,D_GE4,TOTAL,A,ES,2005,27695,
dataflow,ESTAT:HSW_AW_NNAAG(1.0),A,NR,D_GE4,TOTAL,A,ES,2006,26364,
dataflow,ESTAT:HSW_AW_NNAAG(1.0),A,NR,D_GE4,TOTAL,A,ES,2007,26767,
dataflow,ESTAT:HSW_AW_NNAAG(1.0),A,NR,D_GE4,TOTAL,A,FI,1995,1235,
dataflow,ESTAT:HSW_AW_NNAAG(1.0),A,NR,D_GE4,TOTAL,A,FI,1996,1088,
dataflow,ESTAT:HSW_AW_NNAAG(1.0),A,NR,D_GE4,TOTAL,A,FI,1997,1067,
dataflow,ESTAT:HSW_AW_NNAAG(1.0),A,NR,D_GE4,TOTAL,A,FI,1998,1121,
dataflow,ESTAT:HSW_AW_NNAAG(1.0),A,NR,D_GE4,TOTAL,A,FI,1999,1111,
dataflow,ESTAT:HSW_AW_NNAAG(1.0),A,NR,D_GE4,TOTAL,A,FI,2000,976,
dataflow,ESTAT:HSW_AW_NNAAG(1.0),A,NR,D_GE4,TOTAL,A,FI,2001,6679,b
dataflow,ESTAT:HSW_AW_NNAAG(1.0),A,NR,D_GE4,TOTAL,A,FI,2002,6553,
dataflow,ESTAT:HSW_AW_NNAAG(1.0),A,NR,D_GE4,TOTAL,A,FI,2003,6156,
dataflow,ESTAT:HSW_AW_NNAAG(1.0),A,NR,D_GE4,TOTAL,A,FI,2004,5924,
dataflow,ESTAT:HSW_AW_NNAAG(1.0),A,NR,D_GE4,TOTAL,A,FI,2005,6597,
dataflow,ESTAT:HSW_AW_NNAAG(1.0),A,NR,D_GE4,TOTAL,A,FI,2006,6263,
