STRUCTURE,STRUCTURE_ID,freq,severity,nace_r1,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HSW_AW_NNASV(1.0),A,D14-20,A,NR,EU15_NO,1996,34452,
dataflow,ESTAT:HSW_AW_NNASV(1.0),A,D14-20,A,NR,EU15_NO,1997,35010,
dataflow,ESTAT:HSW_AW_NNASV(1.0),A,D14-20,A,NR,EU15_NO,1998,32244,
dataflow,ESTAT:HSW_AW_NNASV(1.0),A,D14-20,A,NR,EU15_NO,1999,29211,
dataflow,ESTAT:HSW_AW_NNASV(1.0),A,D14-20,A,NR,EU15_NO,2000,27747,
dataflow,ESTAT:HSW_AW_NNASV(1.0),A,D14-20,A,NR,EU15_NO,2001,25355,
dataflow,ESTAT:HSW_AW_NNASV(1.0),A,D14-20,A,NR,EU15_NO,2002,21405,
dataflow,ESTAT:HSW_AW_NNASV(1.0),A,D14-20,A,NR,EU15_NO,2003,20468,
dataflow,ESTAT:HSW_AW_NNASV(1.0),A,D14-20,A,NR,EU15_NO,2004,21268,
dataflow,ESTAT:HSW_AW_NNASV(1.0),A,D14-20,A,NR,EU15_NO,2005,21394,
dataflow,ESTAT:HSW_AW_NNASV(1.0),A,D14-20,A,NR,EU15_NO,2006,16239,
dataflow,ESTAT:HSW_AW_NNASV(1.0),A,D14-20,A,NR,EU15_NO,2007,19304,p
dataflow,ESTAT:HSW_AW_NNASV(1.0),A,D14-20,A_D-K,NR,EU15_NO,1996,338630,
dataflow,ESTAT:HSW_AW_NNASV(1.0),A,D14-20,A_D-K,NR,EU15_NO,1997,314167,
dataflow,ESTAT:HSW_AW_NNASV(1.0),A,D14-20,A_D-K,NR,EU15_NO,1998,323248,
dataflow,ESTAT:HSW_AW_NNASV(1.0),A,D14-20,A_D-K,NR,EU15_NO,1999,323814,
dataflow,ESTAT:HSW_AW_NNASV(1.0),A,D14-20,A_D-K,NR,EU15_NO,2000,343403,
dataflow,ESTAT:HSW_AW_NNASV(1.0),A,D14-20,A_D-K,NR,EU15_NO,2001,331664,
dataflow,ESTAT:HSW_AW_NNASV(1.0),A,D14-20,A_D-K,NR,EU15_NO,2002,320052,
dataflow,ESTAT:HSW_AW_NNASV(1.0),A,D14-20,A_D-K,NR,EU15_NO,2003,293771,
dataflow,ESTAT:HSW_AW_NNASV(1.0),A,D14-20,A_D-K,NR,EU15_NO,2004,307916,
dataflow,ESTAT:HSW_AW_NNASV(1.0),A,D14-20,A_D-K,NR,EU15_NO,2005,319422,
dataflow,ESTAT:HSW_AW_NNASV(1.0),A,D14-20,A_D-K,NR,EU15_NO,2006,321730,
dataflow,ESTAT:HSW_AW_NNASV(1.0),A,D14-20,A_D-K,NR,EU15_NO,2007,440043,p
