STRUCTURE,STRUCTURE_ID,freq,unit,severity,sex,nace_r1,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HSW_AW_NNASX(1.0),A,NR,D_GE4,F,A,AT,1993,4856,
dataflow,ESTAT:HSW_AW_NNASX(1.0),A,NR,D_GE4,F,A,AT,1994,3875,
dataflow,ESTAT:HSW_AW_NNASX(1.0),A,NR,D_GE4,F,A,AT,1995,3869,
dataflow,ESTAT:HSW_AW_NNASX(1.0),A,NR,D_GE4,F,A,AT,1996,6528,
dataflow,ESTAT:HSW_AW_NNASX(1.0),A,NR,D_GE4,F,A,AT,1997,9250,
dataflow,ESTAT:HSW_AW_NNASX(1.0),A,NR,D_GE4,F,A,AT,1998,8123,
dataflow,ESTAT:HSW_AW_NNASX(1.0),A,NR,D_GE4,F,A,AT,1999,7587,
dataflow,ESTAT:HSW_AW_NNASX(1.0),A,NR,D_GE4,F,A,AT,2000,7143,
dataflow,ESTAT:HSW_AW_NNASX(1.0),A,NR,D_GE4,F,A,AT,2001,6050,
dataflow,ESTAT:HSW_AW_NNASX(1.0),A,NR,D_GE4,F,A,AT,2002,6266,
dataflow,ESTAT:HSW_AW_NNASX(1.0),A,NR,D_GE4,F,A,AT,2003,5822,
dataflow,ESTAT:HSW_AW_NNASX(1.0),A,NR,D_GE4,F,A,AT,2004,5323,
dataflow,ESTAT:HSW_AW_NNASX(1.0),A,NR,D_GE4,F,A,AT,2005,5223,
dataflow,ESTAT:HSW_AW_NNASX(1.0),A,NR,D_GE4,F,A,AT,2006,4974,
dataflow,ESTAT:HSW_AW_NNASX(1.0),A,NR,D_GE4,F,A,AT,2007,3796,
dataflow,ESTAT:HSW_AW_NNASX(1.0),A,NR,D_GE4,F,A,BE,1993,168,
dataflow,ESTAT:HSW_AW_NNASX(1.0),A,NR,D_GE4,F,A,BE,1994,144,
dataflow,ESTAT:HSW_AW_NNASX(1.0),A,NR,D_GE4,F,A,BE,1995,192,
dataflow,ESTAT:HSW_AW_NNASX(1.0),A,NR,D_GE4,F,A,BE,1996,212,
dataflow,ESTAT:HSW_AW_NNASX(1.0),A,NR,D_GE4,F,A,BE,1997,198,
dataflow,ESTAT:HSW_AW_NNASX(1.0),A,NR,D_GE4,F,A,BE,1998,178,
dataflow,ESTAT:HSW_AW_NNASX(1.0),A,NR,D_GE4,F,A,BE,1999,217,
dataflow,ESTAT:HSW_AW_NNASX(1.0),A,NR,D_GE4,F,A,BE,2000,196,
dataflow,ESTAT:HSW_AW_NNASX(1.0),A,NR,D_GE4,F,A,BE,2001,156,
dataflow,ESTAT:HSW_AW_NNASX(1.0),A,NR,D_GE4,F,A,BE,2002,148,
dataflow,ESTAT:HSW_AW_NNASX(1.0),A,NR,D_GE4,F,A,BE,2003,139,
dataflow,ESTAT:HSW_AW_NNASX(1.0),A,NR,D_GE4,F,A,BE,2004,142,
dataflow,ESTAT:HSW_AW_NNASX(1.0),A,NR,D_GE4,F,A,BE,2005,117,
dataflow,ESTAT:HSW_AW_NNASX(1.0),A,NR,D_GE4,F,A,BE,2006,98,
