STRUCTURE,STRUCTURE_ID,freq,unit,severity,sizeclas,nace_r1,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HSW_AW_NNASZ(1.0),A,NR,D_GE4,0,A,EU15_NO,1996,6102,
dataflow,ESTAT:HSW_AW_NNASZ(1.0),A,NR,D_GE4,0,A,EU15_NO,1997,4003,
dataflow,ESTAT:HSW_AW_NNASZ(1.0),A,NR,D_GE4,0,A,EU15_NO,1998,4051,
dataflow,ESTAT:HSW_AW_NNASZ(1.0),A,NR,D_GE4,0,A,EU15_NO,1999,3869,
dataflow,ESTAT:HSW_AW_NNASZ(1.0),A,NR,D_GE4,0,A,EU15_NO,2000,3170,
dataflow,ESTAT:HSW_AW_NNASZ(1.0),A,NR,D_GE4,0,A,EU15_NO,2001,9471,
dataflow,ESTAT:HSW_AW_NNASZ(1.0),A,NR,D_GE4,0,A,EU15_NO,2002,8400,
dataflow,ESTAT:HSW_AW_NNASZ(1.0),A,NR,D_GE4,0,A,EU15_NO,2003,4753,
dataflow,ESTAT:HSW_AW_NNASZ(1.0),A,NR,D_GE4,0,A,EU15_NO,2004,3953,
dataflow,ESTAT:HSW_AW_NNASZ(1.0),A,NR,D_GE4,0,A,EU15_NO,2005,4069,
dataflow,ESTAT:HSW_AW_NNASZ(1.0),A,NR,D_GE4,0,A,EU15_NO,2006,3925,
dataflow,ESTAT:HSW_AW_NNASZ(1.0),A,NR,D_GE4,0,A,EU15_NO,2007,3863,p
dataflow,ESTAT:HSW_AW_NNASZ(1.0),A,NR,D_GE4,0,A_D-K,EU15_NO,1996,134137,
dataflow,ESTAT:HSW_AW_NNASZ(1.0),A,NR,D_GE4,0,A_D-K,EU15_NO,1997,106805,
dataflow,ESTAT:HSW_AW_NNASZ(1.0),A,NR,D_GE4,0,A_D-K,EU15_NO,1998,107129,
dataflow,ESTAT:HSW_AW_NNASZ(1.0),A,NR,D_GE4,0,A_D-K,EU15_NO,1999,101071,
