STRUCTURE,STRUCTURE_ID,freq,unit,severity,age,sex,nace_r1,physact,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HSW_AW_PA3(1.0),A,PC,D_GE4,TOTAL,F,TOTAL,PHA_1,EU_V,2005,5.0,
dataflow,ESTAT:HSW_AW_PA3(1.0),A,PC,D_GE4,TOTAL,F,TOTAL,PHA_2,EU_V,2005,10.0,
dataflow,ESTAT:HSW_AW_PA3(1.0),A,PC,D_GE4,TOTAL,F,TOTAL,PHA_3,EU_V,2005,6.2,
dataflow,ESTAT:HSW_AW_PA3(1.0),A,PC,D_GE4,TOTAL,F,TOTAL,PHA_4,EU_V,2005,25.9,
dataflow,ESTAT:HSW_AW_PA3(1.0),A,PC,D_GE4,TOTAL,F,TOTAL,PHA_5,EU_V,2005,12.9,
dataflow,ESTAT:HSW_AW_PA3(1.0),A,PC,D_GE4,TOTAL,F,TOTAL,PHA_6,EU_V,2005,35.8,
dataflow,ESTAT:HSW_AW_PA3(1.0),A,PC,D_GE4,TOTAL,F,TOTAL,PHA_7,EU_V,2005,2.1,
dataflow,ESTAT:HSW_AW_PA3(1.0),A,PC,D_GE4,TOTAL,F,TOTAL,PHA_9,EU_V,2005,2.1,
dataflow,ESTAT:HSW_AW_PA3(1.0),A,PC,D_GE4,TOTAL,F,TOTAL,TOTAL,EU_V,2005,100.0,
dataflow,ESTAT:HSW_AW_PA3(1.0),A,PC,D_GE4,TOTAL,M,TOTAL,PHA_1,EU_V,2005,7.6,
dataflow,ESTAT:HSW_AW_PA3(1.0),A,PC,D_GE4,TOTAL,M,TOTAL,PHA_2,EU_V,2005,17.2,
dataflow,ESTAT:HSW_AW_PA3(1.0),A,PC,D_GE4,TOTAL,M,TOTAL,PHA_3,EU_V,2005,7.7,
dataflow,ESTAT:HSW_AW_PA3(1.0),A,PC,D_GE4,TOTAL,M,TOTAL,PHA_4,EU_V,2005,26.4,
dataflow,ESTAT:HSW_AW_PA3(1.0),A,PC,D_GE4,TOTAL,M,TOTAL,PHA_5,EU_V,2005,13.7,
dataflow,ESTAT:HSW_AW_PA3(1.0),A,PC,D_GE4,TOTAL,M,TOTAL,PHA_6,EU_V,2005,24.7,
dataflow,ESTAT:HSW_AW_PA3(1.0),A,PC,D_GE4,TOTAL,M,TOTAL,PHA_7,EU_V,2005,1.4,
dataflow,ESTAT:HSW_AW_PA3(1.0),A,PC,D_GE4,TOTAL,M,TOTAL,PHA_9,EU_V,2005,1.4,
dataflow,ESTAT:HSW_AW_PA3(1.0),A,PC,D_GE4,TOTAL,M,TOTAL,TOTAL,EU_V,2005,100.0,
dataflow,ESTAT:HSW_AW_PA3(1.0),A,PC,D_GE4,TOTAL,T,A,PHA_1,EU_V,2005,4.9,
dataflow,ESTAT:HSW_AW_PA3(1.0),A,PC,D_GE4,TOTAL,T,A,PHA_2,EU_V,2005,18.7,
dataflow,ESTAT:HSW_AW_PA3(1.0),A,PC,D_GE4,TOTAL,T,A,PHA_3,EU_V,2005,5.3,
dataflow,ESTAT:HSW_AW_PA3(1.0),A,PC,D_GE4,TOTAL,T,A,PHA_4,EU_V,2005,27.4,
dataflow,ESTAT:HSW_AW_PA3(1.0),A,PC,D_GE4,TOTAL,T,A,PHA_5,EU_V,2005,10.0,
dataflow,ESTAT:HSW_AW_PA3(1.0),A,PC,D_GE4,TOTAL,T,A,PHA_6,EU_V,2005,30.3,
dataflow,ESTAT:HSW_AW_PA3(1.0),A,PC,D_GE4,TOTAL,T,A,PHA_7,EU_V,2005,1.7,
dataflow,ESTAT:HSW_AW_PA3(1.0),A,PC,D_GE4,TOTAL,T,A,PHA_9,EU_V,2005,1.7,
