STRUCTURE,STRUCTURE_ID,freq,unit,severity,age,sex,nace_r1,wrkenv,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HSW_AW_WE1(1.0),A,NR,D_GE4,TOTAL,F,TOTAL,TOTAL,EU_V,2005,580163,
dataflow,ESTAT:HSW_AW_WE1(1.0),A,NR,D_GE4,TOTAL,F,TOTAL,WEN_01,EU_V,2005,144855,
dataflow,ESTAT:HSW_AW_WE1(1.0),A,NR,D_GE4,TOTAL,F,TOTAL,WEN_02,EU_V,2005,7277,
dataflow,ESTAT:HSW_AW_WE1(1.0),A,NR,D_GE4,TOTAL,F,TOTAL,WEN_03,EU_V,2005,27008,
dataflow,ESTAT:HSW_AW_WE1(1.0),A,NR,D_GE4,TOTAL,F,TOTAL,WEN_04,EU_V,2005,208565,
dataflow,ESTAT:HSW_AW_WE1(1.0),A,NR,D_GE4,TOTAL,F,TOTAL,WEN_05,EU_V,2005,82557,
dataflow,ESTAT:HSW_AW_WE1(1.0),A,NR,D_GE4,TOTAL,F,TOTAL,WEN_06,EU_V,2005,77931,
dataflow,ESTAT:HSW_AW_WE1(1.0),A,NR,D_GE4,TOTAL,F,TOTAL,WEN_07,EU_V,2005,17804,
dataflow,ESTAT:HSW_AW_WE1(1.0),A,NR,D_GE4,TOTAL,F,TOTAL,WEN_08,EU_V,2005,7293,
dataflow,ESTAT:HSW_AW_WE1(1.0),A,NR,D_GE4,TOTAL,F,TOTAL,WEN_09,EU_V,2005,845,
dataflow,ESTAT:HSW_AW_WE1(1.0),A,NR,D_GE4,TOTAL,F,TOTAL,WEN_10,EU_V,2005,259,
dataflow,ESTAT:HSW_AW_WE1(1.0),A,NR,D_GE4,TOTAL,F,TOTAL,WEN_11,EU_V,2005,399,
dataflow,ESTAT:HSW_AW_WE1(1.0),A,NR,D_GE4,TOTAL,F,TOTAL,WEN_12,EU_V,2005,21,
dataflow,ESTAT:HSW_AW_WE1(1.0),A,NR,D_GE4,TOTAL,F,TOTAL,WEN_99,EU_V,2005,5351,
dataflow,ESTAT:HSW_AW_WE1(1.0),A,NR,D_GE4,TOTAL,M,TOTAL,TOTAL,EU_V,2005,2006288,
dataflow,ESTAT:HSW_AW_WE1(1.0),A,NR,D_GE4,TOTAL,M,TOTAL,WEN_01,EU_V,2005,942451,
dataflow,ESTAT:HSW_AW_WE1(1.0),A,NR,D_GE4,TOTAL,M,TOTAL,WEN_02,EU_V,2005,419827,
dataflow,ESTAT:HSW_AW_WE1(1.0),A,NR,D_GE4,TOTAL,M,TOTAL,WEN_03,EU_V,2005,91163,
dataflow,ESTAT:HSW_AW_WE1(1.0),A,NR,D_GE4,TOTAL,M,TOTAL,WEN_04,EU_V,2005,168121,
dataflow,ESTAT:HSW_AW_WE1(1.0),A,NR,D_GE4,TOTAL,M,TOTAL,WEN_05,EU_V,2005,28546,
dataflow,ESTAT:HSW_AW_WE1(1.0),A,NR,D_GE4,TOTAL,M,TOTAL,WEN_06,EU_V,2005,255442,
dataflow,ESTAT:HSW_AW_WE1(1.0),A,NR,D_GE4,TOTAL,M,TOTAL,WEN_07,EU_V,2005,37852,
dataflow,ESTAT:HSW_AW_WE1(1.0),A,NR,D_GE4,TOTAL,M,TOTAL,WEN_08,EU_V,2005,22897,
dataflow,ESTAT:HSW_AW_WE1(1.0),A,NR,D_GE4,TOTAL,M,TOTAL,WEN_09,EU_V,2005,4949,
dataflow,ESTAT:HSW_AW_WE1(1.0),A,NR,D_GE4,TOTAL,M,TOTAL,WEN_10,EU_V,2005,11417,
dataflow,ESTAT:HSW_AW_WE1(1.0),A,NR,D_GE4,TOTAL,M,TOTAL,WEN_11,EU_V,2005,8387,
dataflow,ESTAT:HSW_AW_WE1(1.0),A,NR,D_GE4,TOTAL,M,TOTAL,WEN_12,EU_V,2005,140,
dataflow,ESTAT:HSW_AW_WE1(1.0),A,NR,D_GE4,TOTAL,M,TOTAL,WEN_99,EU_V,2005,15097,
dataflow,ESTAT:HSW_AW_WE1(1.0),A,NR,D_GE4,TOTAL,T,A,TOTAL,EU_V,2005,126663,
dataflow,ESTAT:HSW_AW_WE1(1.0),A,NR,D_GE4,TOTAL,T,A,WEN_01,EU_V,2005,12031,
