STRUCTURE,STRUCTURE_ID,freq,unit,severity,age,sex,nace_r1,workproc,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HSW_AW_WP3(1.0),A,PC,D_GE4,TOTAL,F,TOTAL,OTH,EU_V,2005,3.2,
dataflow,ESTAT:HSW_AW_WP3(1.0),A,PC,D_GE4,TOTAL,F,TOTAL,TOTAL,EU_V,2005,100.0,
dataflow,ESTAT:HSW_AW_WP3(1.0),A,PC,D_GE4,TOTAL,F,TOTAL,WPR1,EU_V,2005,28.1,
dataflow,ESTAT:HSW_AW_WP3(1.0),A,PC,D_GE4,TOTAL,F,TOTAL,WPR2,EU_V,2005,1.2,
dataflow,ESTAT:HSW_AW_WP3(1.0),A,PC,D_GE4,TOTAL,F,TOTAL,WPR3,EU_V,2005,5.2,
dataflow,ESTAT:HSW_AW_WP3(1.0),A,PC,D_GE4,TOTAL,F,TOTAL,WPR4,EU_V,2005,32.7,
dataflow,ESTAT:HSW_AW_WP3(1.0),A,PC,D_GE4,TOTAL,F,TOTAL,WPR5,EU_V,2005,15.9,
dataflow,ESTAT:HSW_AW_WP3(1.0),A,PC,D_GE4,TOTAL,F,TOTAL,WPR6,EU_V,2005,13.7,
dataflow,ESTAT:HSW_AW_WP3(1.0),A,PC,D_GE4,TOTAL,M,TOTAL,OTH,EU_V,2005,2.4,
dataflow,ESTAT:HSW_AW_WP3(1.0),A,PC,D_GE4,TOTAL,M,TOTAL,TOTAL,EU_V,2005,100.0,
dataflow,ESTAT:HSW_AW_WP3(1.0),A,PC,D_GE4,TOTAL,M,TOTAL,WPR1,EU_V,2005,39.8,
dataflow,ESTAT:HSW_AW_WP3(1.0),A,PC,D_GE4,TOTAL,M,TOTAL,WPR2,EU_V,2005,16.7,
dataflow,ESTAT:HSW_AW_WP3(1.0),A,PC,D_GE4,TOTAL,M,TOTAL,WPR3,EU_V,2005,4.8,
dataflow,ESTAT:HSW_AW_WP3(1.0),A,PC,D_GE4,TOTAL,M,TOTAL,WPR4,EU_V,2005,7.8,
dataflow,ESTAT:HSW_AW_WP3(1.0),A,PC,D_GE4,TOTAL,M,TOTAL,WPR5,EU_V,2005,17.2,
dataflow,ESTAT:HSW_AW_WP3(1.0),A,PC,D_GE4,TOTAL,M,TOTAL,WPR6,EU_V,2005,11.5,
