STRUCTURE,STRUCTURE_ID,freq,unit,severity,age,sex,nace_r1,wrkstat,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HSW_AW_WS2(1.0),A,RT,D_GE4,TOTAL,F,TOTAL,TOTAL,EU_V,2005,1005.2,
dataflow,ESTAT:HSW_AW_WS2(1.0),A,RT,D_GE4,TOTAL,F,TOTAL,WST_1,EU_V,2005,922.4,
dataflow,ESTAT:HSW_AW_WS2(1.0),A,RT,D_GE4,TOTAL,F,TOTAL,WST_2,EU_V,2005,57.4,
dataflow,ESTAT:HSW_AW_WS2(1.0),A,RT,D_GE4,TOTAL,F,TOTAL,WST_9,EU_V,2005,25.5,
dataflow,ESTAT:HSW_AW_WS2(1.0),A,RT,D_GE4,TOTAL,M,TOTAL,TOTAL,EU_V,2005,2809.9,
dataflow,ESTAT:HSW_AW_WS2(1.0),A,RT,D_GE4,TOTAL,M,TOTAL,WST_1,EU_V,2005,2473.7,
dataflow,ESTAT:HSW_AW_WS2(1.0),A,RT,D_GE4,TOTAL,M,TOTAL,WST_2,EU_V,2005,181.2,
dataflow,ESTAT:HSW_AW_WS2(1.0),A,RT,D_GE4,TOTAL,M,TOTAL,WST_9,EU_V,2005,154.9,
dataflow,ESTAT:HSW_AW_WS2(1.0),A,RT,D_GE4,TOTAL,T,A,TOTAL,EU_V,2005,1150.4,
dataflow,ESTAT:HSW_AW_WS2(1.0),A,RT,D_GE4,TOTAL,T,A,WST_1,EU_V,2005,1062.3,
dataflow,ESTAT:HSW_AW_WS2(1.0),A,RT,D_GE4,TOTAL,T,A,WST_2,EU_V,2005,23.2,
dataflow,ESTAT:HSW_AW_WS2(1.0),A,RT,D_GE4,TOTAL,T,A,WST_9,EU_V,2005,64.9,
dataflow,ESTAT:HSW_AW_WS2(1.0),A,RT,D_GE4,TOTAL,T,B,TOTAL,EU_V,2005,4178.0,
dataflow,ESTAT:HSW_AW_WS2(1.0),A,RT,D_GE4,TOTAL,T,B,WST_1,EU_V,2005,4051.6,
dataflow,ESTAT:HSW_AW_WS2(1.0),A,RT,D_GE4,TOTAL,T,B,WST_2,EU_V,2005,49.5,
dataflow,ESTAT:HSW_AW_WS2(1.0),A,RT,D_GE4,TOTAL,T,B,WST_9,EU_V,2005,76.9,
dataflow,ESTAT:HSW_AW_WS2(1.0),A,RT,D_GE4,TOTAL,T,C,TOTAL,EU_V,2005,2806.6,
dataflow,ESTAT:HSW_AW_WS2(1.0),A,RT,D_GE4,TOTAL,T,C,WST_1,EU_V,2005,2697.0,
dataflow,ESTAT:HSW_AW_WS2(1.0),A,RT,D_GE4,TOTAL,T,C,WST_2,EU_V,2005,59.0,
dataflow,ESTAT:HSW_AW_WS2(1.0),A,RT,D_GE4,TOTAL,T,C,WST_9,EU_V,2005,50.7,
dataflow,ESTAT:HSW_AW_WS2(1.0),A,RT,D_GE4,TOTAL,T,D,TOTAL,EU_V,2005,2748.1,
dataflow,ESTAT:HSW_AW_WS2(1.0),A,RT,D_GE4,TOTAL,T,D,WST_1,EU_V,2005,2597.6,
dataflow,ESTAT:HSW_AW_WS2(1.0),A,RT,D_GE4,TOTAL,T,D,WST_2,EU_V,2005,75.9,
dataflow,ESTAT:HSW_AW_WS2(1.0),A,RT,D_GE4,TOTAL,T,D,WST_9,EU_V,2005,74.6,
dataflow,ESTAT:HSW_AW_WS2(1.0),A,RT,D_GE4,TOTAL,T,E,TOTAL,EU_V,2005,1048.6,
dataflow,ESTAT:HSW_AW_WS2(1.0),A,RT,D_GE4,TOTAL,T,E,WST_1,EU_V,2005,785.2,
dataflow,ESTAT:HSW_AW_WS2(1.0),A,RT,D_GE4,TOTAL,T,E,WST_2,EU_V,2005,168.3,
dataflow,ESTAT:HSW_AW_WS2(1.0),A,RT,D_GE4,TOTAL,T,E,WST_9,EU_V,2005,95.1,
dataflow,ESTAT:HSW_AW_WS2(1.0),A,RT,D_GE4,TOTAL,T,F,TOTAL,EU_V,2005,5260.0,
dataflow,ESTAT:HSW_AW_WS2(1.0),A,RT,D_GE4,TOTAL,T,F,WST_1,EU_V,2005,4474.5,
dataflow,ESTAT:HSW_AW_WS2(1.0),A,RT,D_GE4,TOTAL,T,F,WST_2,EU_V,2005,259.0,
dataflow,ESTAT:HSW_AW_WS2(1.0),A,RT,D_GE4,TOTAL,T,F,WST_9,EU_V,2005,526.5,
dataflow,ESTAT:HSW_AW_WS2(1.0),A,RT,D_GE4,TOTAL,T,G,TOTAL,EU_V,2005,1761.1,
dataflow,ESTAT:HSW_AW_WS2(1.0),A,RT,D_GE4,TOTAL,T,G,WST_1,EU_V,2005,1595.9,
dataflow,ESTAT:HSW_AW_WS2(1.0),A,RT,D_GE4,TOTAL,T,G,WST_2,EU_V,2005,117.7,
dataflow,ESTAT:HSW_AW_WS2(1.0),A,RT,D_GE4,TOTAL,T,G,WST_9,EU_V,2005,47.5,
dataflow,ESTAT:HSW_AW_WS2(1.0),A,RT,D_GE4,TOTAL,T,H,TOTAL,EU_V,2005,2273.1,
dataflow,ESTAT:HSW_AW_WS2(1.0),A,RT,D_GE4,TOTAL,T,H,WST_1,EU_V,2005,2145.3,
dataflow,ESTAT:HSW_AW_WS2(1.0),A,RT,D_GE4,TOTAL,T,H,WST_2,EU_V,2005,99.9,
dataflow,ESTAT:HSW_AW_WS2(1.0),A,RT,D_GE4,TOTAL,T,H,WST_9,EU_V,2005,27.9,
dataflow,ESTAT:HSW_AW_WS2(1.0),A,RT,D_GE4,TOTAL,T,I,TOTAL,EU_V,2005,2240.5,
dataflow,ESTAT:HSW_AW_WS2(1.0),A,RT,D_GE4,TOTAL,T,I,WST_1,EU_V,2005,1736.5,
dataflow,ESTAT:HSW_AW_WS2(1.0),A,RT,D_GE4,TOTAL,T,I,WST_2,EU_V,2005,393.1,
dataflow,ESTAT:HSW_AW_WS2(1.0),A,RT,D_GE4,TOTAL,T,I,WST_9,EU_V,2005,110.9,
dataflow,ESTAT:HSW_AW_WS2(1.0),A,RT,D_GE4,TOTAL,T,J,TOTAL,EU_V,2005,266.0,
dataflow,ESTAT:HSW_AW_WS2(1.0),A,RT,D_GE4,TOTAL,T,J,WST_1,EU_V,2005,194.3,
dataflow,ESTAT:HSW_AW_WS2(1.0),A,RT,D_GE4,TOTAL,T,J,WST_2,EU_V,2005,57.5,
dataflow,ESTAT:HSW_AW_WS2(1.0),A,RT,D_GE4,TOTAL,T,J,WST_9,EU_V,2005,14.3,
dataflow,ESTAT:HSW_AW_WS2(1.0),A,RT,D_GE4,TOTAL,T,K,TOTAL,EU_V,2005,1241.4,
dataflow,ESTAT:HSW_AW_WS2(1.0),A,RT,D_GE4,TOTAL,T,K,WST_1,EU_V,2005,1002.0,
dataflow,ESTAT:HSW_AW_WS2(1.0),A,RT,D_GE4,TOTAL,T,K,WST_2,EU_V,2005,172.5,
dataflow,ESTAT:HSW_AW_WS2(1.0),A,RT,D_GE4,TOTAL,T,K,WST_9,EU_V,2005,66.9,
dataflow,ESTAT:HSW_AW_WS2(1.0),A,RT,D_GE4,TOTAL,T,L,TOTAL,EU_V,2005,1256.3,
dataflow,ESTAT:HSW_AW_WS2(1.0),A,RT,D_GE4,TOTAL,T,L,WST_1,EU_V,2005,1022.7,
dataflow,ESTAT:HSW_AW_WS2(1.0),A,RT,D_GE4,TOTAL,T,L,WST_2,EU_V,2005,158.9,
dataflow,ESTAT:HSW_AW_WS2(1.0),A,RT,D_GE4,TOTAL,T,L,WST_9,EU_V,2005,74.7,
dataflow,ESTAT:HSW_AW_WS2(1.0),A,RT,D_GE4,TOTAL,T,M,TOTAL,EU_V,2005,389.1,
dataflow,ESTAT:HSW_AW_WS2(1.0),A,RT,D_GE4,TOTAL,T,M,WST_1,EU_V,2005,348.9,
dataflow,ESTAT:HSW_AW_WS2(1.0),A,RT,D_GE4,TOTAL,T,M,WST_2,EU_V,2005,25.9,
dataflow,ESTAT:HSW_AW_WS2(1.0),A,RT,D_GE4,TOTAL,T,M,WST_9,EU_V,2005,14.3,
dataflow,ESTAT:HSW_AW_WS2(1.0),A,RT,D_GE4,TOTAL,T,N,TOTAL,EU_V,2005,1131.3,
dataflow,ESTAT:HSW_AW_WS2(1.0),A,RT,D_GE4,TOTAL,T,N,WST_1,EU_V,2005,1027.2,
dataflow,ESTAT:HSW_AW_WS2(1.0),A,RT,D_GE4,TOTAL,T,N,WST_2,EU_V,2005,82.6,
dataflow,ESTAT:HSW_AW_WS2(1.0),A,RT,D_GE4,TOTAL,T,N,WST_9,EU_V,2005,21.5,
dataflow,ESTAT:HSW_AW_WS2(1.0),A,RT,D_GE4,TOTAL,T,O,TOTAL,EU_V,2005,1644.1,
dataflow,ESTAT:HSW_AW_WS2(1.0),A,RT,D_GE4,TOTAL,T,O,WST_1,EU_V,2005,1433.9,
dataflow,ESTAT:HSW_AW_WS2(1.0),A,RT,D_GE4,TOTAL,T,O,WST_2,EU_V,2005,142.3,
dataflow,ESTAT:HSW_AW_WS2(1.0),A,RT,D_GE4,TOTAL,T,O,WST_9,EU_V,2005,67.8,
dataflow,ESTAT:HSW_AW_WS2(1.0),A,RT,D_GE4,TOTAL,T,P,TOTAL,EU_V,2005,767.1,
dataflow,ESTAT:HSW_AW_WS2(1.0),A,RT,D_GE4,TOTAL,T,P,WST_1,EU_V,2005,699.3,
