STRUCTURE,STRUCTURE_ID,freq,sex,age,isced11,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HSW_EXP2(1.0),A,F,Y15-34,ED0-2,PC_EMP,AT,2007,38.8,d
dataflow,ESTAT:HSW_EXP2(1.0),A,F,Y15-34,ED0-2,PC_EMP,AT,2013,56.8,b
dataflow,ESTAT:HSW_EXP2(1.0),A,F,Y15-34,ED0-2,PC_EMP,AT,2020,77.5,b
dataflow,ESTAT:HSW_EXP2(1.0),A,F,Y15-34,ED0-2,PC_EMP,BE,2007,17.3,
dataflow,ESTAT:HSW_EXP2(1.0),A,F,Y15-34,ED0-2,PC_EMP,BE,2013,34.9,b
dataflow,ESTAT:HSW_EXP2(1.0),A,F,Y15-34,ED0-2,PC_EMP,BE,2020,61.2,b
dataflow,ESTAT:HSW_EXP2(1.0),A,F,Y15-34,ED0-2,PC_EMP,BG,2007,51.2,
dataflow,ESTAT:HSW_EXP2(1.0),A,F,Y15-34,ED0-2,PC_EMP,BG,2013,56.1,b
dataflow,ESTAT:HSW_EXP2(1.0),A,F,Y15-34,ED0-2,PC_EMP,BG,2020,75.5,b
dataflow,ESTAT:HSW_EXP2(1.0),A,F,Y15-34,ED0-2,PC_EMP,CH,2013,66.4,b
dataflow,ESTAT:HSW_EXP2(1.0),A,F,Y15-34,ED0-2,PC_EMP,CH,2020,82.6,b
dataflow,ESTAT:HSW_EXP2(1.0),A,F,Y15-34,ED0-2,PC_EMP,CY,2007,40.9,
dataflow,ESTAT:HSW_EXP2(1.0),A,F,Y15-34,ED0-2,PC_EMP,CY,2013,42.3,b
dataflow,ESTAT:HSW_EXP2(1.0),A,F,Y15-34,ED0-2,PC_EMP,CY,2020,52.9,b
dataflow,ESTAT:HSW_EXP2(1.0),A,F,Y15-34,ED0-2,PC_EMP,CZ,2007,23.7,
dataflow,ESTAT:HSW_EXP2(1.0),A,F,Y15-34,ED0-2,PC_EMP,CZ,2013,40.9,b
dataflow,ESTAT:HSW_EXP2(1.0),A,F,Y15-34,ED0-2,PC_EMP,CZ,2020,59.4,b
dataflow,ESTAT:HSW_EXP2(1.0),A,F,Y15-34,ED0-2,PC_EMP,DE,2007,6.3,u
dataflow,ESTAT:HSW_EXP2(1.0),A,F,Y15-34,ED0-2,PC_EMP,DE,2013,14.9,b
dataflow,ESTAT:HSW_EXP2(1.0),A,F,Y15-34,ED0-2,PC_EMP,DE,2020,26.9,bu
dataflow,ESTAT:HSW_EXP2(1.0),A,F,Y15-34,ED0-2,PC_EMP,DK,2007,23.5,
dataflow,ESTAT:HSW_EXP2(1.0),A,F,Y15-34,ED0-2,PC_EMP,DK,2013,14.7,b
dataflow,ESTAT:HSW_EXP2(1.0),A,F,Y15-34,ED0-2,PC_EMP,DK,2020,39.9,b
dataflow,ESTAT:HSW_EXP2(1.0),A,F,Y15-34,ED0-2,PC_EMP,EA19,2007,33.8,du
dataflow,ESTAT:HSW_EXP2(1.0),A,F,Y15-34,ED0-2,PC_EMP,EA19,2013,46.4,b
dataflow,ESTAT:HSW_EXP2(1.0),A,F,Y15-34,ED0-2,PC_EMP,EA19,2020,52.7,bu
dataflow,ESTAT:HSW_EXP2(1.0),A,F,Y15-34,ED0-2,PC_EMP,EE,2007,44.8,
dataflow,ESTAT:HSW_EXP2(1.0),A,F,Y15-34,ED0-2,PC_EMP,EE,2013,75.6,bu
dataflow,ESTAT:HSW_EXP2(1.0),A,F,Y15-34,ED0-2,PC_EMP,EE,2020,64.4,bu
dataflow,ESTAT:HSW_EXP2(1.0),A,F,Y15-34,ED0-2,PC_EMP,EL,2007,47.0,d
dataflow,ESTAT:HSW_EXP2(1.0),A,F,Y15-34,ED0-2,PC_EMP,EL,2013,58.6,b
dataflow,ESTAT:HSW_EXP2(1.0),A,F,Y15-34,ED0-2,PC_EMP,EL,2020,88.5,bu
dataflow,ESTAT:HSW_EXP2(1.0),A,F,Y15-34,ED0-2,PC_EMP,ES,2007,38.3,d
dataflow,ESTAT:HSW_EXP2(1.0),A,F,Y15-34,ED0-2,PC_EMP,ES,2013,48.1,b
dataflow,ESTAT:HSW_EXP2(1.0),A,F,Y15-34,ED0-2,PC_EMP,ES,2020,70.7,b
dataflow,ESTAT:HSW_EXP2(1.0),A,F,Y15-34,ED0-2,PC_EMP,EU27_2020,2007,34.3,d
dataflow,ESTAT:HSW_EXP2(1.0),A,F,Y15-34,ED0-2,PC_EMP,EU27_2020,2013,45.7,b
dataflow,ESTAT:HSW_EXP2(1.0),A,F,Y15-34,ED0-2,PC_EMP,EU27_2020,2020,54.4,bu
dataflow,ESTAT:HSW_EXP2(1.0),A,F,Y15-34,ED0-2,PC_EMP,EU28,2007,34.2,d
dataflow,ESTAT:HSW_EXP2(1.0),A,F,Y15-34,ED0-2,PC_EMP,EU28,2013,45.5,b
dataflow,ESTAT:HSW_EXP2(1.0),A,F,Y15-34,ED0-2,PC_EMP,FI,2007,37.0,
dataflow,ESTAT:HSW_EXP2(1.0),A,F,Y15-34,ED0-2,PC_EMP,FI,2013,51.5,b
dataflow,ESTAT:HSW_EXP2(1.0),A,F,Y15-34,ED0-2,PC_EMP,FI,2020,67.2,bu
dataflow,ESTAT:HSW_EXP2(1.0),A,F,Y15-34,ED0-2,PC_EMP,FR,2007,78.5,d
dataflow,ESTAT:HSW_EXP2(1.0),A,F,Y15-34,ED0-2,PC_EMP,FR,2013,86.0,bd
dataflow,ESTAT:HSW_EXP2(1.0),A,F,Y15-34,ED0-2,PC_EMP,FR,2020,77.5,b
dataflow,ESTAT:HSW_EXP2(1.0),A,F,Y15-34,ED0-2,PC_EMP,HR,2007,,u
dataflow,ESTAT:HSW_EXP2(1.0),A,F,Y15-34,ED0-2,PC_EMP,HR,2013,63.0,bu
dataflow,ESTAT:HSW_EXP2(1.0),A,F,Y15-34,ED0-2,PC_EMP,HR,2020,,bu
dataflow,ESTAT:HSW_EXP2(1.0),A,F,Y15-34,ED0-2,PC_EMP,HU,2007,33.8,
dataflow,ESTAT:HSW_EXP2(1.0),A,F,Y15-34,ED0-2,PC_EMP,HU,2013,58.6,b
dataflow,ESTAT:HSW_EXP2(1.0),A,F,Y15-34,ED0-2,PC_EMP,HU,2020,69.2,b
