STRUCTURE,STRUCTURE_ID,freq,factor,unit,sex,age,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HSW_EXP4(1.0),A,ACT_SVCONC,PC_EMP,F,Y15-34,AT,2013,23.2,b
dataflow,ESTAT:HSW_EXP4(1.0),A,ACT_SVCONC,PC_EMP,F,Y15-34,AT,2020,20.4,b
dataflow,ESTAT:HSW_EXP4(1.0),A,ACT_SVCONC,PC_EMP,F,Y15-34,BE,2013,14.2,b
dataflow,ESTAT:HSW_EXP4(1.0),A,ACT_SVCONC,PC_EMP,F,Y15-34,BE,2020,11.0,b
dataflow,ESTAT:HSW_EXP4(1.0),A,ACT_SVCONC,PC_EMP,F,Y15-34,BG,2013,11.4,b
dataflow,ESTAT:HSW_EXP4(1.0),A,ACT_SVCONC,PC_EMP,F,Y15-34,BG,2020,17.0,b
dataflow,ESTAT:HSW_EXP4(1.0),A,ACT_SVCONC,PC_EMP,F,Y15-34,CH,2013,18.5,b
dataflow,ESTAT:HSW_EXP4(1.0),A,ACT_SVCONC,PC_EMP,F,Y15-34,CH,2020,16.0,b
dataflow,ESTAT:HSW_EXP4(1.0),A,ACT_SVCONC,PC_EMP,F,Y15-34,CY,2013,16.0,b
dataflow,ESTAT:HSW_EXP4(1.0),A,ACT_SVCONC,PC_EMP,F,Y15-34,CY,2020,5.4,b
dataflow,ESTAT:HSW_EXP4(1.0),A,ACT_SVCONC,PC_EMP,F,Y15-34,CZ,2013,7.7,b
dataflow,ESTAT:HSW_EXP4(1.0),A,ACT_SVCONC,PC_EMP,F,Y15-34,CZ,2020,5.9,b
dataflow,ESTAT:HSW_EXP4(1.0),A,ACT_SVCONC,PC_EMP,F,Y15-34,DE,2013,1.7,b
dataflow,ESTAT:HSW_EXP4(1.0),A,ACT_SVCONC,PC_EMP,F,Y15-34,DE,2020,1.4,bu
dataflow,ESTAT:HSW_EXP4(1.0),A,ACT_SVCONC,PC_EMP,F,Y15-34,DK,2013,,bu
dataflow,ESTAT:HSW_EXP4(1.0),A,ACT_SVCONC,PC_EMP,F,Y15-34,DK,2020,0.9,bu
dataflow,ESTAT:HSW_EXP4(1.0),A,ACT_SVCONC,PC_EMP,F,Y15-34,EA19,2013,13.3,b
dataflow,ESTAT:HSW_EXP4(1.0),A,ACT_SVCONC,PC_EMP,F,Y15-34,EA19,2020,10.2,b
dataflow,ESTAT:HSW_EXP4(1.0),A,ACT_SVCONC,PC_EMP,F,Y15-34,EE,2013,34.4,b
dataflow,ESTAT:HSW_EXP4(1.0),A,ACT_SVCONC,PC_EMP,F,Y15-34,EE,2020,25.8,b
dataflow,ESTAT:HSW_EXP4(1.0),A,ACT_SVCONC,PC_EMP,F,Y15-34,EL,2013,12.6,b
dataflow,ESTAT:HSW_EXP4(1.0),A,ACT_SVCONC,PC_EMP,F,Y15-34,EL,2020,12.5,b
dataflow,ESTAT:HSW_EXP4(1.0),A,ACT_SVCONC,PC_EMP,F,Y15-34,ES,2013,10.1,b
dataflow,ESTAT:HSW_EXP4(1.0),A,ACT_SVCONC,PC_EMP,F,Y15-34,ES,2020,12.5,b
dataflow,ESTAT:HSW_EXP4(1.0),A,ACT_SVCONC,PC_EMP,F,Y15-34,EU27_2020,2013,12.3,b
dataflow,ESTAT:HSW_EXP4(1.0),A,ACT_SVCONC,PC_EMP,F,Y15-34,EU27_2020,2020,10.0,b
dataflow,ESTAT:HSW_EXP4(1.0),A,ACT_SVCONC,PC_EMP,F,Y15-34,EU28,2013,12.1,b
dataflow,ESTAT:HSW_EXP4(1.0),A,ACT_SVCONC,PC_EMP,F,Y15-34,FI,2013,5.5,b
dataflow,ESTAT:HSW_EXP4(1.0),A,ACT_SVCONC,PC_EMP,F,Y15-34,FI,2020,10.0,b
dataflow,ESTAT:HSW_EXP4(1.0),A,ACT_SVCONC,PC_EMP,F,Y15-34,FR,2013,19.3,bd
dataflow,ESTAT:HSW_EXP4(1.0),A,ACT_SVCONC,PC_EMP,F,Y15-34,FR,2020,13.8,b
dataflow,ESTAT:HSW_EXP4(1.0),A,ACT_SVCONC,PC_EMP,F,Y15-34,HR,2013,3.7,bu
dataflow,ESTAT:HSW_EXP4(1.0),A,ACT_SVCONC,PC_EMP,F,Y15-34,HR,2020,5.9,bu
