STRUCTURE,STRUCTURE_ID,freq,sex,age,nace_r2,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HSW_EXP6B(1.0),A,F,Y15-34,A,PC_EMP,AT,2013,82.3,bu
dataflow,ESTAT:HSW_EXP6B(1.0),A,F,Y15-34,A,PC_EMP,AT,2020,,bu
dataflow,ESTAT:HSW_EXP6B(1.0),A,F,Y15-34,A,PC_EMP,BE,2013,,bu
dataflow,ESTAT:HSW_EXP6B(1.0),A,F,Y15-34,A,PC_EMP,BE,2020,,bu
dataflow,ESTAT:HSW_EXP6B(1.0),A,F,Y15-34,A,PC_EMP,BG,2013,73.9,bu
dataflow,ESTAT:HSW_EXP6B(1.0),A,F,Y15-34,A,PC_EMP,BG,2020,80.1,bu
dataflow,ESTAT:HSW_EXP6B(1.0),A,F,Y15-34,A,PC_EMP,CH,2013,82.8,b
dataflow,ESTAT:HSW_EXP6B(1.0),A,F,Y15-34,A,PC_EMP,CH,2020,86.4,b
dataflow,ESTAT:HSW_EXP6B(1.0),A,F,Y15-34,A,PC_EMP,CY,2013,,bc
dataflow,ESTAT:HSW_EXP6B(1.0),A,F,Y15-34,A,PC_EMP,CY,2020,,bc
dataflow,ESTAT:HSW_EXP6B(1.0),A,F,Y15-34,A,PC_EMP,CZ,2013,43.4,bu
dataflow,ESTAT:HSW_EXP6B(1.0),A,F,Y15-34,A,PC_EMP,CZ,2020,60.9,bu
dataflow,ESTAT:HSW_EXP6B(1.0),A,F,Y15-34,A,PC_EMP,DE,2013,,bu
dataflow,ESTAT:HSW_EXP6B(1.0),A,F,Y15-34,A,PC_EMP,DE,2020,,bu
dataflow,ESTAT:HSW_EXP6B(1.0),A,F,Y15-34,A,PC_EMP,DK,2013,,bu
dataflow,ESTAT:HSW_EXP6B(1.0),A,F,Y15-34,A,PC_EMP,DK,2020,,bu
dataflow,ESTAT:HSW_EXP6B(1.0),A,F,Y15-34,A,PC_EMP,EA19,2013,70.0,b
dataflow,ESTAT:HSW_EXP6B(1.0),A,F,Y15-34,A,PC_EMP,EA19,2020,70.1,b
dataflow,ESTAT:HSW_EXP6B(1.0),A,F,Y15-34,A,PC_EMP,EE,2013,,bu
dataflow,ESTAT:HSW_EXP6B(1.0),A,F,Y15-34,A,PC_EMP,EE,2020,,bu
dataflow,ESTAT:HSW_EXP6B(1.0),A,F,Y15-34,A,PC_EMP,EL,2013,71.8,b
dataflow,ESTAT:HSW_EXP6B(1.0),A,F,Y15-34,A,PC_EMP,EL,2020,83.3,b
