STRUCTURE,STRUCTURE_ID,freq,sex,age,sizes,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HSW_EXP9(1.0),A,F,Y15-34,LARGE,PC_EMP,AT,2007,31.4,
dataflow,ESTAT:HSW_EXP9(1.0),A,F,Y15-34,LARGE,PC_EMP,AT,2013,41.2,
dataflow,ESTAT:HSW_EXP9(1.0),A,F,Y15-34,LARGE,PC_EMP,AT,2020,63.2,b
dataflow,ESTAT:HSW_EXP9(1.0),A,F,Y15-34,LARGE,PC_EMP,BE,2007,14.5,
dataflow,ESTAT:HSW_EXP9(1.0),A,F,Y15-34,LARGE,PC_EMP,BE,2013,36.4,b
dataflow,ESTAT:HSW_EXP9(1.0),A,F,Y15-34,LARGE,PC_EMP,BE,2020,59.5,bu
dataflow,ESTAT:HSW_EXP9(1.0),A,F,Y15-34,LARGE,PC_EMP,BG,2007,15.5,
dataflow,ESTAT:HSW_EXP9(1.0),A,F,Y15-34,LARGE,PC_EMP,BG,2013,15.5,u
dataflow,ESTAT:HSW_EXP9(1.0),A,F,Y15-34,LARGE,PC_EMP,BG,2020,43.2,b
dataflow,ESTAT:HSW_EXP9(1.0),A,F,Y15-34,LARGE,PC_EMP,CH,2013,42.1,
dataflow,ESTAT:HSW_EXP9(1.0),A,F,Y15-34,LARGE,PC_EMP,CH,2020,71.4,b
dataflow,ESTAT:HSW_EXP9(1.0),A,F,Y15-34,LARGE,PC_EMP,CY,2007,47.0,d
dataflow,ESTAT:HSW_EXP9(1.0),A,F,Y15-34,LARGE,PC_EMP,CY,2013,31.7,
dataflow,ESTAT:HSW_EXP9(1.0),A,F,Y15-34,LARGE,PC_EMP,CY,2020,54.1,b
dataflow,ESTAT:HSW_EXP9(1.0),A,F,Y15-34,LARGE,PC_EMP,CZ,2007,13.4,d
dataflow,ESTAT:HSW_EXP9(1.0),A,F,Y15-34,LARGE,PC_EMP,CZ,2013,18.4,
dataflow,ESTAT:HSW_EXP9(1.0),A,F,Y15-34,LARGE,PC_EMP,CZ,2020,29.7,b
dataflow,ESTAT:HSW_EXP9(1.0),A,F,Y15-34,LARGE,PC_EMP,DE,2007,14.1,u
dataflow,ESTAT:HSW_EXP9(1.0),A,F,Y15-34,LARGE,PC_EMP,DE,2013,18.7,
dataflow,ESTAT:HSW_EXP9(1.0),A,F,Y15-34,LARGE,PC_EMP,DE,2020,29.0,bu
dataflow,ESTAT:HSW_EXP9(1.0),A,F,Y15-34,LARGE,PC_EMP,DK,2007,20.7,
dataflow,ESTAT:HSW_EXP9(1.0),A,F,Y15-34,LARGE,PC_EMP,DK,2013,16.6,
dataflow,ESTAT:HSW_EXP9(1.0),A,F,Y15-34,LARGE,PC_EMP,DK,2020,45.6,b
dataflow,ESTAT:HSW_EXP9(1.0),A,F,Y15-34,LARGE,PC_EMP,EA19,2007,29.6,d
dataflow,ESTAT:HSW_EXP9(1.0),A,F,Y15-34,LARGE,PC_EMP,EA19,2013,36.0,
dataflow,ESTAT:HSW_EXP9(1.0),A,F,Y15-34,LARGE,PC_EMP,EA19,2020,46.8,bu
dataflow,ESTAT:HSW_EXP9(1.0),A,F,Y15-34,LARGE,PC_EMP,EE,2007,17.2,d
dataflow,ESTAT:HSW_EXP9(1.0),A,F,Y15-34,LARGE,PC_EMP,EE,2013,28.4,
dataflow,ESTAT:HSW_EXP9(1.0),A,F,Y15-34,LARGE,PC_EMP,EE,2020,41.8,b
dataflow,ESTAT:HSW_EXP9(1.0),A,F,Y15-34,LARGE,PC_EMP,EL,2007,15.0,
dataflow,ESTAT:HSW_EXP9(1.0),A,F,Y15-34,LARGE,PC_EMP,EL,2013,50.5,d
dataflow,ESTAT:HSW_EXP9(1.0),A,F,Y15-34,LARGE,PC_EMP,EL,2020,73.6,b
dataflow,ESTAT:HSW_EXP9(1.0),A,F,Y15-34,LARGE,PC_EMP,ES,2007,32.9,d
dataflow,ESTAT:HSW_EXP9(1.0),A,F,Y15-34,LARGE,PC_EMP,ES,2013,33.4,
dataflow,ESTAT:HSW_EXP9(1.0),A,F,Y15-34,LARGE,PC_EMP,ES,2020,54.9,b
dataflow,ESTAT:HSW_EXP9(1.0),A,F,Y15-34,LARGE,PC_EMP,EU27_2020,2007,28.2,d
dataflow,ESTAT:HSW_EXP9(1.0),A,F,Y15-34,LARGE,PC_EMP,EU27_2020,2013,33.0,
dataflow,ESTAT:HSW_EXP9(1.0),A,F,Y15-34,LARGE,PC_EMP,EU27_2020,2020,47.6,b
dataflow,ESTAT:HSW_EXP9(1.0),A,F,Y15-34,LARGE,PC_EMP,EU28,2007,30.5,d
dataflow,ESTAT:HSW_EXP9(1.0),A,F,Y15-34,LARGE,PC_EMP,EU28,2013,34.1,
dataflow,ESTAT:HSW_EXP9(1.0),A,F,Y15-34,LARGE,PC_EMP,FI,2007,41.4,
dataflow,ESTAT:HSW_EXP9(1.0),A,F,Y15-34,LARGE,PC_EMP,FI,2013,41.5,
dataflow,ESTAT:HSW_EXP9(1.0),A,F,Y15-34,LARGE,PC_EMP,FI,2020,63.3,b
dataflow,ESTAT:HSW_EXP9(1.0),A,F,Y15-34,LARGE,PC_EMP,FR,2007,55.9,d
dataflow,ESTAT:HSW_EXP9(1.0),A,F,Y15-34,LARGE,PC_EMP,FR,2013,65.1,d
dataflow,ESTAT:HSW_EXP9(1.0),A,F,Y15-34,LARGE,PC_EMP,FR,2020,60.8,b
dataflow,ESTAT:HSW_EXP9(1.0),A,F,Y15-34,LARGE,PC_EMP,HR,2007,13.2,u
dataflow,ESTAT:HSW_EXP9(1.0),A,F,Y15-34,LARGE,PC_EMP,HR,2013,19.8,u
dataflow,ESTAT:HSW_EXP9(1.0),A,F,Y15-34,LARGE,PC_EMP,HR,2020,51.3,bu
dataflow,ESTAT:HSW_EXP9(1.0),A,F,Y15-34,LARGE,PC_EMP,HU,2007,18.0,
dataflow,ESTAT:HSW_EXP9(1.0),A,F,Y15-34,LARGE,PC_EMP,HU,2013,29.9,
dataflow,ESTAT:HSW_EXP9(1.0),A,F,Y15-34,LARGE,PC_EMP,HU,2020,35.6,b
dataflow,ESTAT:HSW_EXP9(1.0),A,F,Y15-34,LARGE,PC_EMP,IE,2007,14.7,
dataflow,ESTAT:HSW_EXP9(1.0),A,F,Y15-34,LARGE,PC_EMP,IE,2013,28.4,
dataflow,ESTAT:HSW_EXP9(1.0),A,F,Y15-34,LARGE,PC_EMP,IE,2020,58.8,b
dataflow,ESTAT:HSW_EXP9(1.0),A,F,Y15-34,LARGE,PC_EMP,IS,2007,37.1,
dataflow,ESTAT:HSW_EXP9(1.0),A,F,Y15-34,LARGE,PC_EMP,IS,2020,75.5,b
dataflow,ESTAT:HSW_EXP9(1.0),A,F,Y15-34,LARGE,PC_EMP,IT,2007,19.7,d
dataflow,ESTAT:HSW_EXP9(1.0),A,F,Y15-34,LARGE,PC_EMP,IT,2013,34.7,
dataflow,ESTAT:HSW_EXP9(1.0),A,F,Y15-34,LARGE,PC_EMP,IT,2020,49.8,b
dataflow,ESTAT:HSW_EXP9(1.0),A,F,Y15-34,LARGE,PC_EMP,LT,2007,23.5,
dataflow,ESTAT:HSW_EXP9(1.0),A,F,Y15-34,LARGE,PC_EMP,LT,2013,20.4,
dataflow,ESTAT:HSW_EXP9(1.0),A,F,Y15-34,LARGE,PC_EMP,LT,2020,27.5,b
dataflow,ESTAT:HSW_EXP9(1.0),A,F,Y15-34,LARGE,PC_EMP,LU,2007,5.4,du
dataflow,ESTAT:HSW_EXP9(1.0),A,F,Y15-34,LARGE,PC_EMP,LU,2013,56.9,
dataflow,ESTAT:HSW_EXP9(1.0),A,F,Y15-34,LARGE,PC_EMP,LU,2020,79.0,b
dataflow,ESTAT:HSW_EXP9(1.0),A,F,Y15-34,LARGE,PC_EMP,LV,2007,,du
dataflow,ESTAT:HSW_EXP9(1.0),A,F,Y15-34,LARGE,PC_EMP,LV,2013,30.4,
dataflow,ESTAT:HSW_EXP9(1.0),A,F,Y15-34,LARGE,PC_EMP,LV,2020,48.1,b
