STRUCTURE,STRUCTURE_ID,freq,unit,age,nace_r1,diagnose,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HSW_HP_DINAG(1.0),A,RT,TOTAL,A,MUSC_SKE,DK,1999,5513,
dataflow,ESTAT:HSW_HP_DINAG(1.0),A,RT,TOTAL,A,MUSC_SKE,ES,1999,809,
dataflow,ESTAT:HSW_HP_DINAG(1.0),A,RT,TOTAL,A,MUSC_SKE,EU_V,1999,2895,
dataflow,ESTAT:HSW_HP_DINAG(1.0),A,RT,TOTAL,A,MUSC_SKE,HU,1999,819,
dataflow,ESTAT:HSW_HP_DINAG(1.0),A,RT,TOTAL,A,MUSC_SKE,IT,1999,2983,
dataflow,ESTAT:HSW_HP_DINAG(1.0),A,RT,TOTAL,A,MUSC_SKE,LU,1999,5905,
dataflow,ESTAT:HSW_HP_DINAG(1.0),A,RT,TOTAL,A,MUSC_SKE,SE,1999,4387,
dataflow,ESTAT:HSW_HP_DINAG(1.0),A,RT,TOTAL,A,MUSC_SKE,UK,1999,2038,
dataflow,ESTAT:HSW_HP_DINAG(1.0),A,RT,TOTAL,A,OTHER,DK,1999,2164,
dataflow,ESTAT:HSW_HP_DINAG(1.0),A,RT,TOTAL,A,OTHER,ES,1999,756,
dataflow,ESTAT:HSW_HP_DINAG(1.0),A,RT,TOTAL,A,OTHER,EU_V,1999,717,
dataflow,ESTAT:HSW_HP_DINAG(1.0),A,RT,TOTAL,A,OTHER,FI,1999,3918,
dataflow,ESTAT:HSW_HP_DINAG(1.0),A,RT,TOTAL,A,OTHER,HU,1999,844,
dataflow,ESTAT:HSW_HP_DINAG(1.0),A,RT,TOTAL,A,OTHER,IT,1999,306,
dataflow,ESTAT:HSW_HP_DINAG(1.0),A,RT,TOTAL,A,OTHER,UK,1999,722,
dataflow,ESTAT:HSW_HP_DINAG(1.0),A,RT,TOTAL,A,PULMONAR,EU_V,1999,375,
dataflow,ESTAT:HSW_HP_DINAG(1.0),A,RT,TOTAL,A,PULMONAR,HU,1999,159,
dataflow,ESTAT:HSW_HP_DINAG(1.0),A,RT,TOTAL,A,PULMONAR,IT,1999,494,
dataflow,ESTAT:HSW_HP_DINAG(1.0),A,RT,TOTAL,A,PULMONAR,PT,1999,310,
dataflow,ESTAT:HSW_HP_DINAG(1.0),A,RT,TOTAL,A,STRESS,DK,1999,278,
dataflow,ESTAT:HSW_HP_DINAG(1.0),A,RT,TOTAL,A,STRESS,ES,1999,524,
dataflow,ESTAT:HSW_HP_DINAG(1.0),A,RT,TOTAL,A,STRESS,EU_V,1999,486,
dataflow,ESTAT:HSW_HP_DINAG(1.0),A,RT,TOTAL,A,STRESS,FI,1999,1783,
