STRUCTURE,STRUCTURE_ID,freq,unit,sex,n_hprob,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HSW_HP_NUSE(1.0),A,PC,F,1,DE,1999,39.5,
dataflow,ESTAT:HSW_HP_NUSE(1.0),A,PC,F,1,DK,1999,52.6,
dataflow,ESTAT:HSW_HP_NUSE(1.0),A,PC,F,1,EL,1999,15.7,
dataflow,ESTAT:HSW_HP_NUSE(1.0),A,PC,F,1,ES,1999,35.7,
dataflow,ESTAT:HSW_HP_NUSE(1.0),A,PC,F,1,EU_V,1999,39.5,
dataflow,ESTAT:HSW_HP_NUSE(1.0),A,PC,F,1,FI,1999,48.6,
dataflow,ESTAT:HSW_HP_NUSE(1.0),A,PC,F,1,HU,1999,39.3,
dataflow,ESTAT:HSW_HP_NUSE(1.0),A,PC,F,1,IE,1999,33.6,
dataflow,ESTAT:HSW_HP_NUSE(1.0),A,PC,F,1,IT,1999,25.6,
dataflow,ESTAT:HSW_HP_NUSE(1.0),A,PC,F,1,LU,1999,31.9,
dataflow,ESTAT:HSW_HP_NUSE(1.0),A,PC,F,1,PT,1999,36.9,
dataflow,ESTAT:HSW_HP_NUSE(1.0),A,PC,F,1,SE,1999,52.0,
dataflow,ESTAT:HSW_HP_NUSE(1.0),A,PC,F,1,UK,1999,38.5,
dataflow,ESTAT:HSW_HP_NUSE(1.0),A,PC,F,2,DK,1999,2.3,
dataflow,ESTAT:HSW_HP_NUSE(1.0),A,PC,F,2,EL,1999,0.0,
dataflow,ESTAT:HSW_HP_NUSE(1.0),A,PC,F,2,ES,1999,1.2,
dataflow,ESTAT:HSW_HP_NUSE(1.0),A,PC,F,2,EU_V,1999,3.5,
dataflow,ESTAT:HSW_HP_NUSE(1.0),A,PC,F,2,FI,1999,6.8,
dataflow,ESTAT:HSW_HP_NUSE(1.0),A,PC,F,2,HU,1999,7.5,
dataflow,ESTAT:HSW_HP_NUSE(1.0),A,PC,F,2,IE,1999,1.5,
dataflow,ESTAT:HSW_HP_NUSE(1.0),A,PC,F,2,IT,1999,3.7,
dataflow,ESTAT:HSW_HP_NUSE(1.0),A,PC,F,2,LU,1999,4.1,
dataflow,ESTAT:HSW_HP_NUSE(1.0),A,PC,F,2,PT,1999,5.1,
dataflow,ESTAT:HSW_HP_NUSE(1.0),A,PC,F,2,SE,1999,6.4,
dataflow,ESTAT:HSW_HP_NUSE(1.0),A,PC,F,2,UK,1999,4.0,
dataflow,ESTAT:HSW_HP_NUSE(1.0),A,PC,F,3,DK,1999,0.9,
dataflow,ESTAT:HSW_HP_NUSE(1.0),A,PC,F,3,EL,1999,0.0,
dataflow,ESTAT:HSW_HP_NUSE(1.0),A,PC,F,3,ES,1999,0.5,
dataflow,ESTAT:HSW_HP_NUSE(1.0),A,PC,F,3,EU_V,1999,0.9,
dataflow,ESTAT:HSW_HP_NUSE(1.0),A,PC,F,3,FI,1999,1.1,
dataflow,ESTAT:HSW_HP_NUSE(1.0),A,PC,F,3,HU,1999,0.9,
dataflow,ESTAT:HSW_HP_NUSE(1.0),A,PC,F,3,IE,1999,0.7,
dataflow,ESTAT:HSW_HP_NUSE(1.0),A,PC,F,3,IT,1999,1.5,
dataflow,ESTAT:HSW_HP_NUSE(1.0),A,PC,F,3,LU,1999,0.4,
dataflow,ESTAT:HSW_HP_NUSE(1.0),A,PC,F,3,PT,1999,0.5,
dataflow,ESTAT:HSW_HP_NUSE(1.0),A,PC,F,3,SE,1999,0.9,
dataflow,ESTAT:HSW_HP_NUSE(1.0),A,PC,F,3,UK,1999,1.3,
dataflow,ESTAT:HSW_HP_NUSE(1.0),A,PC,F,4,DK,1999,0.3,
dataflow,ESTAT:HSW_HP_NUSE(1.0),A,PC,F,4,EL,1999,0.0,
dataflow,ESTAT:HSW_HP_NUSE(1.0),A,PC,F,4,ES,1999,0.1,
dataflow,ESTAT:HSW_HP_NUSE(1.0),A,PC,F,4,EU_V,1999,0.3,
dataflow,ESTAT:HSW_HP_NUSE(1.0),A,PC,F,4,FI,1999,0.2,
dataflow,ESTAT:HSW_HP_NUSE(1.0),A,PC,F,4,HU,1999,0.2,
dataflow,ESTAT:HSW_HP_NUSE(1.0),A,PC,F,4,IE,1999,0.1,
dataflow,ESTAT:HSW_HP_NUSE(1.0),A,PC,F,4,IT,1999,0.4,
dataflow,ESTAT:HSW_HP_NUSE(1.0),A,PC,F,4,LU,1999,0.3,
dataflow,ESTAT:HSW_HP_NUSE(1.0),A,PC,F,4,PT,1999,0.6,
