STRUCTURE,STRUCTURE_ID,freq,unit,l_serv,severity,emp_cont,nace_r1,diagnose,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HSW_HP_SVCLN(1.0),A,RT,TOTAL,D_GE14,LTD,A,MUSC_SKE,EU_V,1999,162,
dataflow,ESTAT:HSW_HP_SVCLN(1.0),A,RT,TOTAL,D_GE14,LTD,A,OTHER,EU_V,1999,48,
dataflow,ESTAT:HSW_HP_SVCLN(1.0),A,RT,TOTAL,D_GE14,LTD,A,PULMONAR,EU_V,1999,177,
dataflow,ESTAT:HSW_HP_SVCLN(1.0),A,RT,TOTAL,D_GE14,LTD,A,STRESS,EU_V,1999,36,
dataflow,ESTAT:HSW_HP_SVCLN(1.0),A,RT,TOTAL,D_GE14,LTD,A,TOTAL,EU_V,1999,105,
dataflow,ESTAT:HSW_HP_SVCLN(1.0),A,RT,TOTAL,D_GE14,LTD,B,TOTAL,EU_V,1999,587,
dataflow,ESTAT:HSW_HP_SVCLN(1.0),A,RT,TOTAL,D_GE14,LTD,C,MUSC_SKE,EU_V,1999,155,
dataflow,ESTAT:HSW_HP_SVCLN(1.0),A,RT,TOTAL,D_GE14,LTD,C,TOTAL,EU_V,1999,72,
dataflow,ESTAT:HSW_HP_SVCLN(1.0),A,RT,TOTAL,D_GE14,LTD,D,MUSC_SKE,EU_V,1999,36,
dataflow,ESTAT:HSW_HP_SVCLN(1.0),A,RT,TOTAL,D_GE14,LTD,D,OTHER,EU_V,1999,14,
dataflow,ESTAT:HSW_HP_SVCLN(1.0),A,RT,TOTAL,D_GE14,LTD,D,PULMONAR,EU_V,1999,115,
dataflow,ESTAT:HSW_HP_SVCLN(1.0),A,RT,TOTAL,D_GE14,LTD,D,STRESS,EU_V,1999,21,
dataflow,ESTAT:HSW_HP_SVCLN(1.0),A,RT,TOTAL,D_GE14,LTD,D,TOTAL,EU_V,1999,31,
dataflow,ESTAT:HSW_HP_SVCLN(1.0),A,RT,TOTAL,D_GE14,LTD,F,MUSC_SKE,EU_V,1999,76,
dataflow,ESTAT:HSW_HP_SVCLN(1.0),A,RT,TOTAL,D_GE14,LTD,F,OTHER,EU_V,1999,88,
dataflow,ESTAT:HSW_HP_SVCLN(1.0),A,RT,TOTAL,D_GE14,LTD,F,STRESS,EU_V,1999,32,
dataflow,ESTAT:HSW_HP_SVCLN(1.0),A,RT,TOTAL,D_GE14,LTD,F,TOTAL,EU_V,1999,64,
