STRUCTURE,STRUCTURE_ID,freq,unit,sex,isced97,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HSW_IJ_EDSE(1.0),A,RT,F,ED0-2,DE,1999,63,
dataflow,ESTAT:HSW_IJ_EDSE(1.0),A,RT,F,ED0-2,DK,1999,79,
dataflow,ESTAT:HSW_IJ_EDSE(1.0),A,RT,F,ED0-2,EL,1999,37,
dataflow,ESTAT:HSW_IJ_EDSE(1.0),A,RT,F,ED0-2,ES,1999,61,
dataflow,ESTAT:HSW_IJ_EDSE(1.0),A,RT,F,ED0-2,EU_V,1999,79,
dataflow,ESTAT:HSW_IJ_EDSE(1.0),A,RT,F,ED0-2,FI,1999,80,
dataflow,ESTAT:HSW_IJ_EDSE(1.0),A,RT,F,ED0-2,HU,1999,87,
dataflow,ESTAT:HSW_IJ_EDSE(1.0),A,RT,F,ED0-2,LU,1999,108,
dataflow,ESTAT:HSW_IJ_EDSE(1.0),A,RT,F,ED0-2,SE,1999,90,
dataflow,ESTAT:HSW_IJ_EDSE(1.0),A,RT,F,ED3,DE,1999,70,
dataflow,ESTAT:HSW_IJ_EDSE(1.0),A,RT,F,ED3,DK,1999,74,
dataflow,ESTAT:HSW_IJ_EDSE(1.0),A,RT,F,ED3,EL,1999,17,
dataflow,ESTAT:HSW_IJ_EDSE(1.0),A,RT,F,ED3,ES,1999,66,
dataflow,ESTAT:HSW_IJ_EDSE(1.0),A,RT,F,ED3,EU_V,1999,70,
dataflow,ESTAT:HSW_IJ_EDSE(1.0),A,RT,F,ED3,FI,1999,90,
dataflow,ESTAT:HSW_IJ_EDSE(1.0),A,RT,F,ED3,HU,1999,43,
dataflow,ESTAT:HSW_IJ_EDSE(1.0),A,RT,F,ED3,LU,1999,26,
dataflow,ESTAT:HSW_IJ_EDSE(1.0),A,RT,F,ED3,SE,1999,98,
dataflow,ESTAT:HSW_IJ_EDSE(1.0),A,RT,F,ED5_6,DE,1999,55,
dataflow,ESTAT:HSW_IJ_EDSE(1.0),A,RT,F,ED5_6,DK,1999,85,
dataflow,ESTAT:HSW_IJ_EDSE(1.0),A,RT,F,ED5_6,EL,1999,52,
dataflow,ESTAT:HSW_IJ_EDSE(1.0),A,RT,F,ED5_6,ES,1999,39,
dataflow,ESTAT:HSW_IJ_EDSE(1.0),A,RT,F,ED5_6,EU_V,1999,85,
dataflow,ESTAT:HSW_IJ_EDSE(1.0),A,RT,F,ED5_6,FI,1999,59,
dataflow,ESTAT:HSW_IJ_EDSE(1.0),A,RT,F,ED5_6,HU,1999,26,
dataflow,ESTAT:HSW_IJ_EDSE(1.0),A,RT,F,ED5_6,LU,1999,43,
dataflow,ESTAT:HSW_IJ_EDSE(1.0),A,RT,F,ED5_6,SE,1999,113,
dataflow,ESTAT:HSW_IJ_EDSE(1.0),A,RT,F,TOTAL,DE,1999,64,
dataflow,ESTAT:HSW_IJ_EDSE(1.0),A,RT,F,TOTAL,DK,1999,78,
dataflow,ESTAT:HSW_IJ_EDSE(1.0),A,RT,F,TOTAL,EL,1999,32,
dataflow,ESTAT:HSW_IJ_EDSE(1.0),A,RT,F,TOTAL,ES,1999,55,
dataflow,ESTAT:HSW_IJ_EDSE(1.0),A,RT,F,TOTAL,EU_V,1999,75,
dataflow,ESTAT:HSW_IJ_EDSE(1.0),A,RT,F,TOTAL,FI,1999,76,
dataflow,ESTAT:HSW_IJ_EDSE(1.0),A,RT,F,TOTAL,HU,1999,48,
dataflow,ESTAT:HSW_IJ_EDSE(1.0),A,RT,F,TOTAL,LU,1999,54,
dataflow,ESTAT:HSW_IJ_EDSE(1.0),A,RT,F,TOTAL,SE,1999,102,
dataflow,ESTAT:HSW_IJ_EDSE(1.0),A,RT,M,ED0-2,DE,1999,150,
dataflow,ESTAT:HSW_IJ_EDSE(1.0),A,RT,M,ED0-2,DK,1999,186,
dataflow,ESTAT:HSW_IJ_EDSE(1.0),A,RT,M,ED0-2,EL,1999,201,
dataflow,ESTAT:HSW_IJ_EDSE(1.0),A,RT,M,ED0-2,ES,1999,156,
dataflow,ESTAT:HSW_IJ_EDSE(1.0),A,RT,M,ED0-2,EU_V,1999,179,
dataflow,ESTAT:HSW_IJ_EDSE(1.0),A,RT,M,ED0-2,FI,1999,129,
dataflow,ESTAT:HSW_IJ_EDSE(1.0),A,RT,M,ED0-2,HU,1999,148,
dataflow,ESTAT:HSW_IJ_EDSE(1.0),A,RT,M,ED0-2,LU,1999,219,
dataflow,ESTAT:HSW_IJ_EDSE(1.0),A,RT,M,ED0-2,SE,1999,89,
dataflow,ESTAT:HSW_IJ_EDSE(1.0),A,RT,M,ED3,DE,1999,158,
dataflow,ESTAT:HSW_IJ_EDSE(1.0),A,RT,M,ED3,DK,1999,121,
dataflow,ESTAT:HSW_IJ_EDSE(1.0),A,RT,M,ED3,EL,1999,123,
dataflow,ESTAT:HSW_IJ_EDSE(1.0),A,RT,M,ED3,ES,1999,102,
dataflow,ESTAT:HSW_IJ_EDSE(1.0),A,RT,M,ED3,EU_V,1999,113,
dataflow,ESTAT:HSW_IJ_EDSE(1.0),A,RT,M,ED3,FI,1999,146,
dataflow,ESTAT:HSW_IJ_EDSE(1.0),A,RT,M,ED3,HU,1999,152,
dataflow,ESTAT:HSW_IJ_EDSE(1.0),A,RT,M,ED3,LU,1999,100,
dataflow,ESTAT:HSW_IJ_EDSE(1.0),A,RT,M,ED3,SE,1999,119,
dataflow,ESTAT:HSW_IJ_EDSE(1.0),A,RT,M,ED5_6,DE,1999,50,
dataflow,ESTAT:HSW_IJ_EDSE(1.0),A,RT,M,ED5_6,DK,1999,46,
dataflow,ESTAT:HSW_IJ_EDSE(1.0),A,RT,M,ED5_6,ES,1999,63,
dataflow,ESTAT:HSW_IJ_EDSE(1.0),A,RT,M,ED5_6,EU_V,1999,53,
dataflow,ESTAT:HSW_IJ_EDSE(1.0),A,RT,M,ED5_6,FI,1999,53,
dataflow,ESTAT:HSW_IJ_EDSE(1.0),A,RT,M,ED5_6,HU,1999,23,
dataflow,ESTAT:HSW_IJ_EDSE(1.0),A,RT,M,ED5_6,LU,1999,43,
dataflow,ESTAT:HSW_IJ_EDSE(1.0),A,RT,M,ED5_6,SE,1999,71,
dataflow,ESTAT:HSW_IJ_EDSE(1.0),A,RT,M,TOTAL,DE,1999,122,
dataflow,ESTAT:HSW_IJ_EDSE(1.0),A,RT,M,TOTAL,DK,1999,113,
dataflow,ESTAT:HSW_IJ_EDSE(1.0),A,RT,M,TOTAL,EL,1999,141,
dataflow,ESTAT:HSW_IJ_EDSE(1.0),A,RT,M,TOTAL,ES,1999,127,
dataflow,ESTAT:HSW_IJ_EDSE(1.0),A,RT,M,TOTAL,EU_V,1999,115,
