STRUCTURE,STRUCTURE_ID,freq,unit,sex,n_injury,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HSW_IJ_NUSE(1.0),A,PC,F,1,DE,1999,24.2,
dataflow,ESTAT:HSW_IJ_NUSE(1.0),A,PC,F,1,DK,1999,31.5,
dataflow,ESTAT:HSW_IJ_NUSE(1.0),A,PC,F,1,EL,1999,14.2,
dataflow,ESTAT:HSW_IJ_NUSE(1.0),A,PC,F,1,ES,1999,17.7,
dataflow,ESTAT:HSW_IJ_NUSE(1.0),A,PC,F,1,EU_V,1999,24.7,
dataflow,ESTAT:HSW_IJ_NUSE(1.0),A,PC,F,1,FI,1999,30.4,
dataflow,ESTAT:HSW_IJ_NUSE(1.0),A,PC,F,1,HU,1999,19.2,
dataflow,ESTAT:HSW_IJ_NUSE(1.0),A,PC,F,1,IE,1999,19.0,
dataflow,ESTAT:HSW_IJ_NUSE(1.0),A,PC,F,1,IT,1999,21.7,
dataflow,ESTAT:HSW_IJ_NUSE(1.0),A,PC,F,1,LU,1999,19.2,
dataflow,ESTAT:HSW_IJ_NUSE(1.0),A,PC,F,1,PT,1999,22.1,
dataflow,ESTAT:HSW_IJ_NUSE(1.0),A,PC,F,1,SE,1999,37.5,
dataflow,ESTAT:HSW_IJ_NUSE(1.0),A,PC,F,1,UK,1999,27.0,
dataflow,ESTAT:HSW_IJ_NUSE(1.0),A,PC,F,2,DK,1999,3.4,
dataflow,ESTAT:HSW_IJ_NUSE(1.0),A,PC,F,2,EL,1999,0.0,
dataflow,ESTAT:HSW_IJ_NUSE(1.0),A,PC,F,2,ES,1999,0.4,
dataflow,ESTAT:HSW_IJ_NUSE(1.0),A,PC,F,2,EU_V,1999,2.3,
dataflow,ESTAT:HSW_IJ_NUSE(1.0),A,PC,F,2,FI,1999,2.8,
dataflow,ESTAT:HSW_IJ_NUSE(1.0),A,PC,F,2,HU,1999,2.4,
dataflow,ESTAT:HSW_IJ_NUSE(1.0),A,PC,F,2,IE,1999,3.4,
dataflow,ESTAT:HSW_IJ_NUSE(1.0),A,PC,F,2,IT,1999,0.8,
dataflow,ESTAT:HSW_IJ_NUSE(1.0),A,PC,F,2,LU,1999,0.4,
dataflow,ESTAT:HSW_IJ_NUSE(1.0),A,PC,F,2,PT,1999,1.4,
dataflow,ESTAT:HSW_IJ_NUSE(1.0),A,PC,F,2,SE,1999,3.6,
dataflow,ESTAT:HSW_IJ_NUSE(1.0),A,PC,F,2,UK,1999,4.2,
dataflow,ESTAT:HSW_IJ_NUSE(1.0),A,PC,F,3,DK,1999,0.7,
dataflow,ESTAT:HSW_IJ_NUSE(1.0),A,PC,F,3,EL,1999,0.0,
dataflow,ESTAT:HSW_IJ_NUSE(1.0),A,PC,F,3,ES,1999,0.1,
dataflow,ESTAT:HSW_IJ_NUSE(1.0),A,PC,F,3,EU_V,1999,0.7,
dataflow,ESTAT:HSW_IJ_NUSE(1.0),A,PC,F,3,FI,1999,1.1,
dataflow,ESTAT:HSW_IJ_NUSE(1.0),A,PC,F,3,HU,1999,0.7,
dataflow,ESTAT:HSW_IJ_NUSE(1.0),A,PC,F,3,IE,1999,0.5,
dataflow,ESTAT:HSW_IJ_NUSE(1.0),A,PC,F,3,IT,1999,0.2,
dataflow,ESTAT:HSW_IJ_NUSE(1.0),A,PC,F,3,LU,1999,0.0,
dataflow,ESTAT:HSW_IJ_NUSE(1.0),A,PC,F,3,PT,1999,0.0,
