STRUCTURE,STRUCTURE_ID,freq,unit,l_serv,severity,nace_r1,emp_cont,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HSW_IJ_SVCLN(1.0),A,RT,TOTAL,D_GE14,A,LTD,EU_V,1999,88,
dataflow,ESTAT:HSW_IJ_SVCLN(1.0),A,RT,TOTAL,D_GE14,A,NLTD,EU_V,1999,173,
dataflow,ESTAT:HSW_IJ_SVCLN(1.0),A,RT,TOTAL,D_GE14,A,TNG_PROB,EU_V,1999,117,
dataflow,ESTAT:HSW_IJ_SVCLN(1.0),A,RT,TOTAL,D_GE14,A,TOTAL,EU_V,1999,144,
dataflow,ESTAT:HSW_IJ_SVCLN(1.0),A,RT,TOTAL,D_GE14,B,NLTD,EU_V,1999,181,
dataflow,ESTAT:HSW_IJ_SVCLN(1.0),A,RT,TOTAL,D_GE14,C,NLTD,EU_V,1999,152,
dataflow,ESTAT:HSW_IJ_SVCLN(1.0),A,RT,TOTAL,D_GE14,C,TOTAL,EU_V,1999,139,
dataflow,ESTAT:HSW_IJ_SVCLN(1.0),A,RT,TOTAL,D_GE14,D,LTD,EU_V,1999,119,
dataflow,ESTAT:HSW_IJ_SVCLN(1.0),A,RT,TOTAL,D_GE14,D,NLTD,EU_V,1999,128,
dataflow,ESTAT:HSW_IJ_SVCLN(1.0),A,RT,TOTAL,D_GE14,D,TNG_PROB,EU_V,1999,119,
dataflow,ESTAT:HSW_IJ_SVCLN(1.0),A,RT,TOTAL,D_GE14,D,TOTAL,EU_V,1999,127,
dataflow,ESTAT:HSW_IJ_SVCLN(1.0),A,RT,TOTAL,D_GE14,E,NLTD,EU_V,1999,77,
dataflow,ESTAT:HSW_IJ_SVCLN(1.0),A,RT,TOTAL,D_GE14,E,TOTAL,EU_V,1999,97,
dataflow,ESTAT:HSW_IJ_SVCLN(1.0),A,RT,TOTAL,D_GE14,F,LTD,EU_V,1999,243,
dataflow,ESTAT:HSW_IJ_SVCLN(1.0),A,RT,TOTAL,D_GE14,F,NLTD,EU_V,1999,175,
