STRUCTURE,STRUCTURE_ID,freq,unit,sex,severity,worktime,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HSW_IJ_SVHOS(1.0),A,RT,F,D_GE14,H10-19,EU_V,1999,103,
dataflow,ESTAT:HSW_IJ_SVHOS(1.0),A,RT,F,D_GE14,H20-29,EU_V,1999,73,
dataflow,ESTAT:HSW_IJ_SVHOS(1.0),A,RT,F,D_GE14,H30-39,EU_V,1999,63,
dataflow,ESTAT:HSW_IJ_SVHOS(1.0),A,RT,F,D_GE14,H40-49,EU_V,1999,78,
dataflow,ESTAT:HSW_IJ_SVHOS(1.0),A,RT,F,D_GE14,H_GE50,EU_V,1999,53,
dataflow,ESTAT:HSW_IJ_SVHOS(1.0),A,RT,F,D_GE14,TOTAL,EU_V,1999,75,
dataflow,ESTAT:HSW_IJ_SVHOS(1.0),A,RT,F,D_GE4,H10-19,EU_V,1999,93,
dataflow,ESTAT:HSW_IJ_SVHOS(1.0),A,RT,F,D_GE4,H20-29,EU_V,1999,76,
dataflow,ESTAT:HSW_IJ_SVHOS(1.0),A,RT,F,D_GE4,H30-39,EU_V,1999,69,
dataflow,ESTAT:HSW_IJ_SVHOS(1.0),A,RT,F,D_GE4,H40-49,EU_V,1999,69,
dataflow,ESTAT:HSW_IJ_SVHOS(1.0),A,RT,F,D_GE4,H_GE50,EU_V,1999,51,
dataflow,ESTAT:HSW_IJ_SVHOS(1.0),A,RT,F,D_GE4,TOTAL,EU_V,1999,71,
dataflow,ESTAT:HSW_IJ_SVHOS(1.0),A,RT,F,TOTAL,H1-9,EU_V,1999,238,
dataflow,ESTAT:HSW_IJ_SVHOS(1.0),A,RT,F,TOTAL,H10-19,EU_V,1999,126,
dataflow,ESTAT:HSW_IJ_SVHOS(1.0),A,RT,F,TOTAL,H20-29,EU_V,1999,85,
dataflow,ESTAT:HSW_IJ_SVHOS(1.0),A,RT,F,TOTAL,H30-39,EU_V,1999,70,
dataflow,ESTAT:HSW_IJ_SVHOS(1.0),A,RT,F,TOTAL,H40-49,EU_V,1999,83,
dataflow,ESTAT:HSW_IJ_SVHOS(1.0),A,RT,F,TOTAL,H_GE50,EU_V,1999,59,
dataflow,ESTAT:HSW_IJ_SVHOS(1.0),A,RT,F,TOTAL,TOTAL,EU_V,1999,83,
dataflow,ESTAT:HSW_IJ_SVHOS(1.0),A,RT,M,D_GE14,H10-19,EU_V,1999,116,
dataflow,ESTAT:HSW_IJ_SVHOS(1.0),A,RT,M,D_GE14,H20-29,EU_V,1999,159,
dataflow,ESTAT:HSW_IJ_SVHOS(1.0),A,RT,M,D_GE14,H30-39,EU_V,1999,106,
dataflow,ESTAT:HSW_IJ_SVHOS(1.0),A,RT,M,D_GE14,H40-49,EU_V,1999,133,
dataflow,ESTAT:HSW_IJ_SVHOS(1.0),A,RT,M,D_GE14,H_GE50,EU_V,1999,61,
dataflow,ESTAT:HSW_IJ_SVHOS(1.0),A,RT,M,D_GE14,TOTAL,EU_V,1999,120,
dataflow,ESTAT:HSW_IJ_SVHOS(1.0),A,RT,M,D_GE4,H10-19,EU_V,1999,132,
dataflow,ESTAT:HSW_IJ_SVHOS(1.0),A,RT,M,D_GE4,H20-29,EU_V,1999,132,
dataflow,ESTAT:HSW_IJ_SVHOS(1.0),A,RT,M,D_GE4,H30-39,EU_V,1999,100,
dataflow,ESTAT:HSW_IJ_SVHOS(1.0),A,RT,M,D_GE4,H40-49,EU_V,1999,140,
dataflow,ESTAT:HSW_IJ_SVHOS(1.0),A,RT,M,D_GE4,H_GE50,EU_V,1999,65,
dataflow,ESTAT:HSW_IJ_SVHOS(1.0),A,RT,M,D_GE4,TOTAL,EU_V,1999,123,
dataflow,ESTAT:HSW_IJ_SVHOS(1.0),A,RT,M,TOTAL,H1-9,EU_V,1999,331,
dataflow,ESTAT:HSW_IJ_SVHOS(1.0),A,RT,M,TOTAL,H10-19,EU_V,1999,184,
dataflow,ESTAT:HSW_IJ_SVHOS(1.0),A,RT,M,TOTAL,H20-29,EU_V,1999,136,
dataflow,ESTAT:HSW_IJ_SVHOS(1.0),A,RT,M,TOTAL,H30-39,EU_V,1999,83,
dataflow,ESTAT:HSW_IJ_SVHOS(1.0),A,RT,M,TOTAL,H40-49,EU_V,1999,133,
dataflow,ESTAT:HSW_IJ_SVHOS(1.0),A,RT,M,TOTAL,H_GE50,EU_V,1999,50,
dataflow,ESTAT:HSW_IJ_SVHOS(1.0),A,RT,M,TOTAL,TOTAL,EU_V,1999,113,
dataflow,ESTAT:HSW_IJ_SVHOS(1.0),A,RT,T,D_GE14,H10-19,EU_V,1999,105,
dataflow,ESTAT:HSW_IJ_SVHOS(1.0),A,RT,T,D_GE14,H20-29,EU_V,1999,85,
dataflow,ESTAT:HSW_IJ_SVHOS(1.0),A,RT,T,D_GE14,H30-39,EU_V,1999,86,
dataflow,ESTAT:HSW_IJ_SVHOS(1.0),A,RT,T,D_GE14,H40-49,EU_V,1999,112,
dataflow,ESTAT:HSW_IJ_SVHOS(1.0),A,RT,T,D_GE14,H_GE50,EU_V,1999,59,
dataflow,ESTAT:HSW_IJ_SVHOS(1.0),A,RT,T,D_GE14,TOTAL,EU_V,1999,100,
dataflow,ESTAT:HSW_IJ_SVHOS(1.0),A,RT,T,D_GE4,H10-19,EU_V,1999,99,
dataflow,ESTAT:HSW_IJ_SVHOS(1.0),A,RT,T,D_GE4,H20-29,EU_V,1999,84,
dataflow,ESTAT:HSW_IJ_SVHOS(1.0),A,RT,T,D_GE4,H30-39,EU_V,1999,86,
dataflow,ESTAT:HSW_IJ_SVHOS(1.0),A,RT,T,D_GE4,H40-49,EU_V,1999,112,
dataflow,ESTAT:HSW_IJ_SVHOS(1.0),A,RT,T,D_GE4,H_GE50,EU_V,1999,62,
dataflow,ESTAT:HSW_IJ_SVHOS(1.0),A,RT,T,D_GE4,TOTAL,EU_V,1999,100,
dataflow,ESTAT:HSW_IJ_SVHOS(1.0),A,RT,T,TOTAL,H1-9,EU_V,1999,260,
dataflow,ESTAT:HSW_IJ_SVHOS(1.0),A,RT,T,TOTAL,H10-19,EU_V,1999,135,
dataflow,ESTAT:HSW_IJ_SVHOS(1.0),A,RT,T,TOTAL,H20-29,EU_V,1999,92,
dataflow,ESTAT:HSW_IJ_SVHOS(1.0),A,RT,T,TOTAL,H30-39,EU_V,1999,77,
dataflow,ESTAT:HSW_IJ_SVHOS(1.0),A,RT,T,TOTAL,H40-49,EU_V,1999,114,
dataflow,ESTAT:HSW_IJ_SVHOS(1.0),A,RT,T,TOTAL,H_GE50,EU_V,1999,52,
dataflow,ESTAT:HSW_IJ_SVHOS(1.0),A,RT,T,TOTAL,TOTAL,EU_V,1999,100,
