STRUCTURE,STRUCTURE_ID,freq,unit,sex,nace_r2,severity,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HSW_MI08(1.0),A,NR,F,TOTAL,D_GE4,AT,2010,17386,
dataflow,ESTAT:HSW_MI08(1.0),A,NR,F,TOTAL,D_GE4,AT,2011,14780,
dataflow,ESTAT:HSW_MI08(1.0),A,NR,F,TOTAL,D_GE4,AT,2012,13996,
dataflow,ESTAT:HSW_MI08(1.0),A,NR,F,TOTAL,D_GE4,AT,2013,13371,
dataflow,ESTAT:HSW_MI08(1.0),A,NR,F,TOTAL,D_GE4,AT,2014,14066,
dataflow,ESTAT:HSW_MI08(1.0),A,NR,F,TOTAL,D_GE4,AT,2015,13351,
dataflow,ESTAT:HSW_MI08(1.0),A,NR,F,TOTAL,D_GE4,AT,2016,13699,
dataflow,ESTAT:HSW_MI08(1.0),A,NR,F,TOTAL,D_GE4,AT,2017,13614,
dataflow,ESTAT:HSW_MI08(1.0),A,NR,F,TOTAL,D_GE4,AT,2018,13836,
dataflow,ESTAT:HSW_MI08(1.0),A,NR,F,TOTAL,D_GE4,AT,2019,13443,
dataflow,ESTAT:HSW_MI08(1.0),A,NR,F,TOTAL,D_GE4,AT,2020,10918,b
dataflow,ESTAT:HSW_MI08(1.0),A,NR,F,TOTAL,D_GE4,AT,2021,11549,
dataflow,ESTAT:HSW_MI08(1.0),A,NR,F,TOTAL,D_GE4,BE,2010,17534,
dataflow,ESTAT:HSW_MI08(1.0),A,NR,F,TOTAL,D_GE4,BE,2011,16068,
dataflow,ESTAT:HSW_MI08(1.0),A,NR,F,TOTAL,D_GE4,BE,2012,14687,
dataflow,ESTAT:HSW_MI08(1.0),A,NR,F,TOTAL,D_GE4,BE,2013,14954,
dataflow,ESTAT:HSW_MI08(1.0),A,NR,F,TOTAL,D_GE4,BE,2014,18771,b
dataflow,ESTAT:HSW_MI08(1.0),A,NR,F,TOTAL,D_GE4,BE,2015,18525,
dataflow,ESTAT:HSW_MI08(1.0),A,NR,F,TOTAL,D_GE4,BE,2016,21599,
dataflow,ESTAT:HSW_MI08(1.0),A,NR,F,TOTAL,D_GE4,BE,2017,21822,
dataflow,ESTAT:HSW_MI08(1.0),A,NR,F,TOTAL,D_GE4,BE,2018,22472,
dataflow,ESTAT:HSW_MI08(1.0),A,NR,F,TOTAL,D_GE4,BE,2019,21232,
dataflow,ESTAT:HSW_MI08(1.0),A,NR,F,TOTAL,D_GE4,BE,2020,16850,b
dataflow,ESTAT:HSW_MI08(1.0),A,NR,F,TOTAL,D_GE4,BE,2021,18493,
dataflow,ESTAT:HSW_MI08(1.0),A,NR,F,TOTAL,D_GE4,BG,2010,702,
dataflow,ESTAT:HSW_MI08(1.0),A,NR,F,TOTAL,D_GE4,BG,2011,650,
dataflow,ESTAT:HSW_MI08(1.0),A,NR,F,TOTAL,D_GE4,BG,2012,680,
dataflow,ESTAT:HSW_MI08(1.0),A,NR,F,TOTAL,D_GE4,BG,2013,624,
dataflow,ESTAT:HSW_MI08(1.0),A,NR,F,TOTAL,D_GE4,BG,2014,646,
dataflow,ESTAT:HSW_MI08(1.0),A,NR,F,TOTAL,D_GE4,BG,2015,676,
dataflow,ESTAT:HSW_MI08(1.0),A,NR,F,TOTAL,D_GE4,BG,2016,706,
dataflow,ESTAT:HSW_MI08(1.0),A,NR,F,TOTAL,D_GE4,BG,2017,727,
dataflow,ESTAT:HSW_MI08(1.0),A,NR,F,TOTAL,D_GE4,BG,2018,725,
dataflow,ESTAT:HSW_MI08(1.0),A,NR,F,TOTAL,D_GE4,BG,2019,735,
dataflow,ESTAT:HSW_MI08(1.0),A,NR,F,TOTAL,D_GE4,BG,2020,559,b
dataflow,ESTAT:HSW_MI08(1.0),A,NR,F,TOTAL,D_GE4,BG,2021,615,
dataflow,ESTAT:HSW_MI08(1.0),A,NR,F,TOTAL,D_GE4,CH,2010,15927,
dataflow,ESTAT:HSW_MI08(1.0),A,NR,F,TOTAL,D_GE4,CH,2011,17251,
dataflow,ESTAT:HSW_MI08(1.0),A,NR,F,TOTAL,D_GE4,CH,2012,17496,
dataflow,ESTAT:HSW_MI08(1.0),A,NR,F,TOTAL,D_GE4,CH,2013,17979,
dataflow,ESTAT:HSW_MI08(1.0),A,NR,F,TOTAL,D_GE4,CH,2014,17854,
dataflow,ESTAT:HSW_MI08(1.0),A,NR,F,TOTAL,D_GE4,CH,2015,18223,
dataflow,ESTAT:HSW_MI08(1.0),A,NR,F,TOTAL,D_GE4,CH,2016,18967,
dataflow,ESTAT:HSW_MI08(1.0),A,NR,F,TOTAL,D_GE4,CH,2017,19553,
dataflow,ESTAT:HSW_MI08(1.0),A,NR,F,TOTAL,D_GE4,CH,2018,20187,
dataflow,ESTAT:HSW_MI08(1.0),A,NR,F,TOTAL,D_GE4,CH,2019,20872,
dataflow,ESTAT:HSW_MI08(1.0),A,NR,F,TOTAL,D_GE4,CH,2020,19314,b
dataflow,ESTAT:HSW_MI08(1.0),A,NR,F,TOTAL,D_GE4,CH,2021,20992,
dataflow,ESTAT:HSW_MI08(1.0),A,NR,F,TOTAL,D_GE4,CY,2010,521,
dataflow,ESTAT:HSW_MI08(1.0),A,NR,F,TOTAL,D_GE4,CY,2011,460,
dataflow,ESTAT:HSW_MI08(1.0),A,NR,F,TOTAL,D_GE4,CY,2012,461,
dataflow,ESTAT:HSW_MI08(1.0),A,NR,F,TOTAL,D_GE4,CY,2013,453,
dataflow,ESTAT:HSW_MI08(1.0),A,NR,F,TOTAL,D_GE4,CY,2014,468,
dataflow,ESTAT:HSW_MI08(1.0),A,NR,F,TOTAL,D_GE4,CY,2015,434,
dataflow,ESTAT:HSW_MI08(1.0),A,NR,F,TOTAL,D_GE4,CY,2016,526,
dataflow,ESTAT:HSW_MI08(1.0),A,NR,F,TOTAL,D_GE4,CY,2017,564,
dataflow,ESTAT:HSW_MI08(1.0),A,NR,F,TOTAL,D_GE4,CY,2018,560,
dataflow,ESTAT:HSW_MI08(1.0),A,NR,F,TOTAL,D_GE4,CY,2019,621,
dataflow,ESTAT:HSW_MI08(1.0),A,NR,F,TOTAL,D_GE4,CY,2020,331,b
dataflow,ESTAT:HSW_MI08(1.0),A,NR,F,TOTAL,D_GE4,CY,2021,347,
dataflow,ESTAT:HSW_MI08(1.0),A,NR,F,TOTAL,D_GE4,CZ,2010,18707,
dataflow,ESTAT:HSW_MI08(1.0),A,NR,F,TOTAL,D_GE4,CZ,2011,12166,
dataflow,ESTAT:HSW_MI08(1.0),A,NR,F,TOTAL,D_GE4,CZ,2012,11949,
dataflow,ESTAT:HSW_MI08(1.0),A,NR,F,TOTAL,D_GE4,CZ,2013,12018,
dataflow,ESTAT:HSW_MI08(1.0),A,NR,F,TOTAL,D_GE4,CZ,2014,12509,
dataflow,ESTAT:HSW_MI08(1.0),A,NR,F,TOTAL,D_GE4,CZ,2015,12933,
dataflow,ESTAT:HSW_MI08(1.0),A,NR,F,TOTAL,D_GE4,CZ,2016,13957,
dataflow,ESTAT:HSW_MI08(1.0),A,NR,F,TOTAL,D_GE4,CZ,2017,13952,
dataflow,ESTAT:HSW_MI08(1.0),A,NR,F,TOTAL,D_GE4,CZ,2018,14385,
