STRUCTURE,STRUCTURE_ID,freq,sex,age,frequenc,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HSW_PB13(1.0),A,F,Y15-34,NVR,PC_EMP_PREEMP,AT,2007,7.8,
dataflow,ESTAT:HSW_PB13(1.0),A,F,Y15-34,NVR,PC_EMP_PREEMP,AT,2013,8.8,
dataflow,ESTAT:HSW_PB13(1.0),A,F,Y15-34,NVR,PC_EMP_PREEMP,AT,2020,7.2,
dataflow,ESTAT:HSW_PB13(1.0),A,F,Y15-34,NVR,PC_EMP_PREEMP,BE,2007,6.9,d
dataflow,ESTAT:HSW_PB13(1.0),A,F,Y15-34,NVR,PC_EMP_PREEMP,BE,2013,4.3,
dataflow,ESTAT:HSW_PB13(1.0),A,F,Y15-34,NVR,PC_EMP_PREEMP,BE,2020,5.2,
dataflow,ESTAT:HSW_PB13(1.0),A,F,Y15-34,NVR,PC_EMP_PREEMP,BG,2007,2.4,u
dataflow,ESTAT:HSW_PB13(1.0),A,F,Y15-34,NVR,PC_EMP_PREEMP,BG,2013,,u
dataflow,ESTAT:HSW_PB13(1.0),A,F,Y15-34,NVR,PC_EMP_PREEMP,BG,2020,,u
dataflow,ESTAT:HSW_PB13(1.0),A,F,Y15-34,NVR,PC_EMP_PREEMP,CH,2013,10.1,
dataflow,ESTAT:HSW_PB13(1.0),A,F,Y15-34,NVR,PC_EMP_PREEMP,CH,2020,11.8,
dataflow,ESTAT:HSW_PB13(1.0),A,F,Y15-34,NVR,PC_EMP_PREEMP,CY,2007,3.5,
dataflow,ESTAT:HSW_PB13(1.0),A,F,Y15-34,NVR,PC_EMP_PREEMP,CY,2013,2.1,u
dataflow,ESTAT:HSW_PB13(1.0),A,F,Y15-34,NVR,PC_EMP_PREEMP,CY,2020,,u
dataflow,ESTAT:HSW_PB13(1.0),A,F,Y15-34,NVR,PC_EMP_PREEMP,CZ,2007,6.8,d
dataflow,ESTAT:HSW_PB13(1.0),A,F,Y15-34,NVR,PC_EMP_PREEMP,CZ,2013,2.2,
dataflow,ESTAT:HSW_PB13(1.0),A,F,Y15-34,NVR,PC_EMP_PREEMP,CZ,2020,2.5,
dataflow,ESTAT:HSW_PB13(1.0),A,F,Y15-34,NVR,PC_EMP_PREEMP,DE,2007,4.4,du
dataflow,ESTAT:HSW_PB13(1.0),A,F,Y15-34,NVR,PC_EMP_PREEMP,DE,2020,6.9,
dataflow,ESTAT:HSW_PB13(1.0),A,F,Y15-34,NVR,PC_EMP_PREEMP,DK,2007,11.4,
dataflow,ESTAT:HSW_PB13(1.0),A,F,Y15-34,NVR,PC_EMP_PREEMP,DK,2013,5.2,
dataflow,ESTAT:HSW_PB13(1.0),A,F,Y15-34,NVR,PC_EMP_PREEMP,DK,2020,6.4,
dataflow,ESTAT:HSW_PB13(1.0),A,F,Y15-34,NVR,PC_EMP_PREEMP,EA19,2007,12.3,d
dataflow,ESTAT:HSW_PB13(1.0),A,F,Y15-34,NVR,PC_EMP_PREEMP,EA19,2020,5.8,
dataflow,ESTAT:HSW_PB13(1.0),A,F,Y15-34,NVR,PC_EMP_PREEMP,EE,2007,4.4,
dataflow,ESTAT:HSW_PB13(1.0),A,F,Y15-34,NVR,PC_EMP_PREEMP,EE,2013,,u
dataflow,ESTAT:HSW_PB13(1.0),A,F,Y15-34,NVR,PC_EMP_PREEMP,EE,2020,,u
dataflow,ESTAT:HSW_PB13(1.0),A,F,Y15-34,NVR,PC_EMP_PREEMP,EL,2007,2.4,
dataflow,ESTAT:HSW_PB13(1.0),A,F,Y15-34,NVR,PC_EMP_PREEMP,EL,2013,2.9,
dataflow,ESTAT:HSW_PB13(1.0),A,F,Y15-34,NVR,PC_EMP_PREEMP,EL,2020,1.7,
dataflow,ESTAT:HSW_PB13(1.0),A,F,Y15-34,NVR,PC_EMP_PREEMP,ES,2007,3.7,d
dataflow,ESTAT:HSW_PB13(1.0),A,F,Y15-34,NVR,PC_EMP_PREEMP,ES,2013,3.1,
dataflow,ESTAT:HSW_PB13(1.0),A,F,Y15-34,NVR,PC_EMP_PREEMP,ES,2020,4.4,
dataflow,ESTAT:HSW_PB13(1.0),A,F,Y15-34,NVR,PC_EMP_PREEMP,EU27_2020,2007,10.9,d
dataflow,ESTAT:HSW_PB13(1.0),A,F,Y15-34,NVR,PC_EMP_PREEMP,EU27_2020,2020,7.3,
dataflow,ESTAT:HSW_PB13(1.0),A,F,Y15-34,NVR,PC_EMP_PREEMP,EU28,2007,10.9,d
dataflow,ESTAT:HSW_PB13(1.0),A,F,Y15-34,NVR,PC_EMP_PREEMP,FI,2007,20.2,
dataflow,ESTAT:HSW_PB13(1.0),A,F,Y15-34,NVR,PC_EMP_PREEMP,FI,2013,23.0,
dataflow,ESTAT:HSW_PB13(1.0),A,F,Y15-34,NVR,PC_EMP_PREEMP,FI,2020,24.8,
dataflow,ESTAT:HSW_PB13(1.0),A,F,Y15-34,NVR,PC_EMP_PREEMP,FR,2007,47.4,d
dataflow,ESTAT:HSW_PB13(1.0),A,F,Y15-34,NVR,PC_EMP_PREEMP,FR,2013,10.1,
dataflow,ESTAT:HSW_PB13(1.0),A,F,Y15-34,NVR,PC_EMP_PREEMP,FR,2020,6.6,
dataflow,ESTAT:HSW_PB13(1.0),A,F,Y15-34,NVR,PC_EMP_PREEMP,HR,2007,1.8,u
dataflow,ESTAT:HSW_PB13(1.0),A,F,Y15-34,NVR,PC_EMP_PREEMP,HR,2013,2.1,u
dataflow,ESTAT:HSW_PB13(1.0),A,F,Y15-34,NVR,PC_EMP_PREEMP,HR,2020,2.4,u
dataflow,ESTAT:HSW_PB13(1.0),A,F,Y15-34,NVR,PC_EMP_PREEMP,HU,2007,2.3,
dataflow,ESTAT:HSW_PB13(1.0),A,F,Y15-34,NVR,PC_EMP_PREEMP,HU,2013,0.8,u
dataflow,ESTAT:HSW_PB13(1.0),A,F,Y15-34,NVR,PC_EMP_PREEMP,HU,2020,0.8,u
dataflow,ESTAT:HSW_PB13(1.0),A,F,Y15-34,NVR,PC_EMP_PREEMP,IE,2007,1.4,
dataflow,ESTAT:HSW_PB13(1.0),A,F,Y15-34,NVR,PC_EMP_PREEMP,IE,2013,1.5,
dataflow,ESTAT:HSW_PB13(1.0),A,F,Y15-34,NVR,PC_EMP_PREEMP,IE,2020,,u
dataflow,ESTAT:HSW_PB13(1.0),A,F,Y15-34,NVR,PC_EMP_PREEMP,IS,2007,5.6,
dataflow,ESTAT:HSW_PB13(1.0),A,F,Y15-34,NVR,PC_EMP_PREEMP,IS,2020,5.2,
dataflow,ESTAT:HSW_PB13(1.0),A,F,Y15-34,NVR,PC_EMP_PREEMP,IT,2007,4.7,d
dataflow,ESTAT:HSW_PB13(1.0),A,F,Y15-34,NVR,PC_EMP_PREEMP,IT,2013,2.8,
dataflow,ESTAT:HSW_PB13(1.0),A,F,Y15-34,NVR,PC_EMP_PREEMP,IT,2020,2.9,
dataflow,ESTAT:HSW_PB13(1.0),A,F,Y15-34,NVR,PC_EMP_PREEMP,LT,2007,,du
dataflow,ESTAT:HSW_PB13(1.0),A,F,Y15-34,NVR,PC_EMP_PREEMP,LT,2013,,u
dataflow,ESTAT:HSW_PB13(1.0),A,F,Y15-34,NVR,PC_EMP_PREEMP,LT,2020,,u
dataflow,ESTAT:HSW_PB13(1.0),A,F,Y15-34,NVR,PC_EMP_PREEMP,LU,2007,,du
dataflow,ESTAT:HSW_PB13(1.0),A,F,Y15-34,NVR,PC_EMP_PREEMP,LU,2013,9.2,
dataflow,ESTAT:HSW_PB13(1.0),A,F,Y15-34,NVR,PC_EMP_PREEMP,LU,2020,10.8,
dataflow,ESTAT:HSW_PB13(1.0),A,F,Y15-34,NVR,PC_EMP_PREEMP,LV,2007,,u
dataflow,ESTAT:HSW_PB13(1.0),A,F,Y15-34,NVR,PC_EMP_PREEMP,LV,2013,,u
dataflow,ESTAT:HSW_PB13(1.0),A,F,Y15-34,NVR,PC_EMP_PREEMP,LV,2020,2.8,
dataflow,ESTAT:HSW_PB13(1.0),A,F,Y15-34,NVR,PC_EMP_PREEMP,MT,2007,,u
dataflow,ESTAT:HSW_PB13(1.0),A,F,Y15-34,NVR,PC_EMP_PREEMP,MT,2013,,u
dataflow,ESTAT:HSW_PB13(1.0),A,F,Y15-34,NVR,PC_EMP_PREEMP,MT,2020,,u
dataflow,ESTAT:HSW_PB13(1.0),A,F,Y15-34,NVR,PC_EMP_PREEMP,NL,2007,7.0,
dataflow,ESTAT:HSW_PB13(1.0),A,F,Y15-34,NVR,PC_EMP_PREEMP,NL,2020,4.2,
dataflow,ESTAT:HSW_PB13(1.0),A,F,Y15-34,NVR,PC_EMP_PREEMP,NO,2007,10.2,d
dataflow,ESTAT:HSW_PB13(1.0),A,F,Y15-34,NVR,PC_EMP_PREEMP,NO,2013,12.0,
dataflow,ESTAT:HSW_PB13(1.0),A,F,Y15-34,NVR,PC_EMP_PREEMP,NO,2020,11.5,
dataflow,ESTAT:HSW_PB13(1.0),A,F,Y15-34,NVR,PC_EMP_PREEMP,PL,2007,10.0,
dataflow,ESTAT:HSW_PB13(1.0),A,F,Y15-34,NVR,PC_EMP_PREEMP,PL,2013,5.1,
dataflow,ESTAT:HSW_PB13(1.0),A,F,Y15-34,NVR,PC_EMP_PREEMP,PL,2020,24.7,d
dataflow,ESTAT:HSW_PB13(1.0),A,F,Y15-34,NVR,PC_EMP_PREEMP,PT,2007,,du
dataflow,ESTAT:HSW_PB13(1.0),A,F,Y15-34,NVR,PC_EMP_PREEMP,PT,2013,4.1,
dataflow,ESTAT:HSW_PB13(1.0),A,F,Y15-34,NVR,PC_EMP_PREEMP,PT,2020,5.7,
dataflow,ESTAT:HSW_PB13(1.0),A,F,Y15-34,NVR,PC_EMP_PREEMP,RO,2007,2.2,
