STRUCTURE,STRUCTURE_ID,freq,sex,age,isced11,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HSW_PB1(1.0),A,F,Y15-34,ED0-2,PC_EMP_PREEMP,AT,2007,8.4,u
dataflow,ESTAT:HSW_PB1(1.0),A,F,Y15-34,ED0-2,PC_EMP_PREEMP,AT,2013,10.3,u
dataflow,ESTAT:HSW_PB1(1.0),A,F,Y15-34,ED0-2,PC_EMP_PREEMP,AT,2020,8.8,bu
dataflow,ESTAT:HSW_PB1(1.0),A,F,Y15-34,ED0-2,PC_EMP_PREEMP,BE,2007,9.3,d
dataflow,ESTAT:HSW_PB1(1.0),A,F,Y15-34,ED0-2,PC_EMP_PREEMP,BE,2013,,u
dataflow,ESTAT:HSW_PB1(1.0),A,F,Y15-34,ED0-2,PC_EMP_PREEMP,BE,2020,6.3,bu
dataflow,ESTAT:HSW_PB1(1.0),A,F,Y15-34,ED0-2,PC_EMP_PREEMP,BG,2007,,u
dataflow,ESTAT:HSW_PB1(1.0),A,F,Y15-34,ED0-2,PC_EMP_PREEMP,BG,2013,,u
dataflow,ESTAT:HSW_PB1(1.0),A,F,Y15-34,ED0-2,PC_EMP_PREEMP,BG,2020,,bu
dataflow,ESTAT:HSW_PB1(1.0),A,F,Y15-34,ED0-2,PC_EMP_PREEMP,CH,2013,18.5,
dataflow,ESTAT:HSW_PB1(1.0),A,F,Y15-34,ED0-2,PC_EMP_PREEMP,CH,2020,11.2,b
dataflow,ESTAT:HSW_PB1(1.0),A,F,Y15-34,ED0-2,PC_EMP_PREEMP,CY,2007,,u
dataflow,ESTAT:HSW_PB1(1.0),A,F,Y15-34,ED0-2,PC_EMP_PREEMP,CY,2013,,u
dataflow,ESTAT:HSW_PB1(1.0),A,F,Y15-34,ED0-2,PC_EMP_PREEMP,CY,2020,,bu
dataflow,ESTAT:HSW_PB1(1.0),A,F,Y15-34,ED0-2,PC_EMP_PREEMP,CZ,2007,6.0,du
dataflow,ESTAT:HSW_PB1(1.0),A,F,Y15-34,ED0-2,PC_EMP_PREEMP,CZ,2013,3.2,u
dataflow,ESTAT:HSW_PB1(1.0),A,F,Y15-34,ED0-2,PC_EMP_PREEMP,CZ,2020,,bu
dataflow,ESTAT:HSW_PB1(1.0),A,F,Y15-34,ED0-2,PC_EMP_PREEMP,DE,2007,,du
dataflow,ESTAT:HSW_PB1(1.0),A,F,Y15-34,ED0-2,PC_EMP_PREEMP,DE,2013,5.6,
dataflow,ESTAT:HSW_PB1(1.0),A,F,Y15-34,ED0-2,PC_EMP_PREEMP,DE,2020,6.0,b
dataflow,ESTAT:HSW_PB1(1.0),A,F,Y15-34,ED0-2,PC_EMP_PREEMP,DK,2007,11.0,
dataflow,ESTAT:HSW_PB1(1.0),A,F,Y15-34,ED0-2,PC_EMP_PREEMP,DK,2013,4.6,
dataflow,ESTAT:HSW_PB1(1.0),A,F,Y15-34,ED0-2,PC_EMP_PREEMP,DK,2020,6.9,bu
dataflow,ESTAT:HSW_PB1(1.0),A,F,Y15-34,ED0-2,PC_EMP_PREEMP,EA19,2007,8.0,d
dataflow,ESTAT:HSW_PB1(1.0),A,F,Y15-34,ED0-2,PC_EMP_PREEMP,EA19,2013,4.3,
dataflow,ESTAT:HSW_PB1(1.0),A,F,Y15-34,ED0-2,PC_EMP_PREEMP,EA19,2020,4.7,b
dataflow,ESTAT:HSW_PB1(1.0),A,F,Y15-34,ED0-2,PC_EMP_PREEMP,EE,2007,,u
dataflow,ESTAT:HSW_PB1(1.0),A,F,Y15-34,ED0-2,PC_EMP_PREEMP,EE,2013,,u
dataflow,ESTAT:HSW_PB1(1.0),A,F,Y15-34,ED0-2,PC_EMP_PREEMP,EE,2020,,bu
dataflow,ESTAT:HSW_PB1(1.0),A,F,Y15-34,ED0-2,PC_EMP_PREEMP,EL,2007,3.1,u
dataflow,ESTAT:HSW_PB1(1.0),A,F,Y15-34,ED0-2,PC_EMP_PREEMP,EL,2013,5.1,u
dataflow,ESTAT:HSW_PB1(1.0),A,F,Y15-34,ED0-2,PC_EMP_PREEMP,EL,2020,6.1,bu
dataflow,ESTAT:HSW_PB1(1.0),A,F,Y15-34,ED0-2,PC_EMP_PREEMP,ES,2007,3.9,d
dataflow,ESTAT:HSW_PB1(1.0),A,F,Y15-34,ED0-2,PC_EMP_PREEMP,ES,2013,2.7,
dataflow,ESTAT:HSW_PB1(1.0),A,F,Y15-34,ED0-2,PC_EMP_PREEMP,ES,2020,3.8,b
dataflow,ESTAT:HSW_PB1(1.0),A,F,Y15-34,ED0-2,PC_EMP_PREEMP,EU27_2020,2007,7.7,d
dataflow,ESTAT:HSW_PB1(1.0),A,F,Y15-34,ED0-2,PC_EMP_PREEMP,EU27_2020,2013,4.2,
dataflow,ESTAT:HSW_PB1(1.0),A,F,Y15-34,ED0-2,PC_EMP_PREEMP,EU27_2020,2020,5.1,b
dataflow,ESTAT:HSW_PB1(1.0),A,F,Y15-34,ED0-2,PC_EMP_PREEMP,EU28,2007,6.9,d
dataflow,ESTAT:HSW_PB1(1.0),A,F,Y15-34,ED0-2,PC_EMP_PREEMP,EU28,2013,4.1,
dataflow,ESTAT:HSW_PB1(1.0),A,F,Y15-34,ED0-2,PC_EMP_PREEMP,FI,2007,8.5,
dataflow,ESTAT:HSW_PB1(1.0),A,F,Y15-34,ED0-2,PC_EMP_PREEMP,FI,2013,9.6,
dataflow,ESTAT:HSW_PB1(1.0),A,F,Y15-34,ED0-2,PC_EMP_PREEMP,FI,2020,7.5,b
