STRUCTURE,STRUCTURE_ID,freq,duration,age,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HSW_PB3(1.0),A,D1-3,Y15-64,PC_EMP_PREEMP,AT,2020,0.4,
dataflow,ESTAT:HSW_PB3(1.0),A,D1-3,Y15-64,PC_EMP_PREEMP,BE,2020,0.5,
dataflow,ESTAT:HSW_PB3(1.0),A,D1-3,Y15-64,PC_EMP_PREEMP,BG,2020,,u
dataflow,ESTAT:HSW_PB3(1.0),A,D1-3,Y15-64,PC_EMP_PREEMP,CH,2020,0.7,
dataflow,ESTAT:HSW_PB3(1.0),A,D1-3,Y15-64,PC_EMP_PREEMP,CY,2020,0.4,
dataflow,ESTAT:HSW_PB3(1.0),A,D1-3,Y15-64,PC_EMP_PREEMP,CZ,2020,0.2,
dataflow,ESTAT:HSW_PB3(1.0),A,D1-3,Y15-64,PC_EMP_PREEMP,DE,2020,0.2,u
dataflow,ESTAT:HSW_PB3(1.0),A,D1-3,Y15-64,PC_EMP_PREEMP,DK,2020,0.8,
dataflow,ESTAT:HSW_PB3(1.0),A,D1-3,Y15-64,PC_EMP_PREEMP,EA19,2020,0.3,
dataflow,ESTAT:HSW_PB3(1.0),A,D1-3,Y15-64,PC_EMP_PREEMP,EE,2020,,u
dataflow,ESTAT:HSW_PB3(1.0),A,D1-3,Y15-64,PC_EMP_PREEMP,EL,2020,0.5,
dataflow,ESTAT:HSW_PB3(1.0),A,D1-3,Y15-64,PC_EMP_PREEMP,ES,2020,0.3,
dataflow,ESTAT:HSW_PB3(1.0),A,D1-3,Y15-64,PC_EMP_PREEMP,EU27_2020,2020,0.7,
dataflow,ESTAT:HSW_PB3(1.0),A,D1-3,Y15-64,PC_EMP_PREEMP,FI,2020,,u
dataflow,ESTAT:HSW_PB3(1.0),A,D1-3,Y15-64,PC_EMP_PREEMP,FR,2020,0.4,
dataflow,ESTAT:HSW_PB3(1.0),A,D1-3,Y15-64,PC_EMP_PREEMP,HR,2020,,u
dataflow,ESTAT:HSW_PB3(1.0),A,D1-3,Y15-64,PC_EMP_PREEMP,HU,2020,0.1,
dataflow,ESTAT:HSW_PB3(1.0),A,D1-3,Y15-64,PC_EMP_PREEMP,IE,2020,,u
dataflow,ESTAT:HSW_PB3(1.0),A,D1-3,Y15-64,PC_EMP_PREEMP,IS,2020,0.7,
dataflow,ESTAT:HSW_PB3(1.0),A,D1-3,Y15-64,PC_EMP_PREEMP,IT,2020,0.4,
dataflow,ESTAT:HSW_PB3(1.0),A,D1-3,Y15-64,PC_EMP_PREEMP,LT,2020,0.1,u
dataflow,ESTAT:HSW_PB3(1.0),A,D1-3,Y15-64,PC_EMP_PREEMP,LU,2020,1.9,
dataflow,ESTAT:HSW_PB3(1.0),A,D1-3,Y15-64,PC_EMP_PREEMP,LV,2020,0.2,
dataflow,ESTAT:HSW_PB3(1.0),A,D1-3,Y15-64,PC_EMP_PREEMP,MT,2020,0.3,u
dataflow,ESTAT:HSW_PB3(1.0),A,D1-3,Y15-64,PC_EMP_PREEMP,NL,2020,0.3,
dataflow,ESTAT:HSW_PB3(1.0),A,D1-3,Y15-64,PC_EMP_PREEMP,NO,2020,0.5,
dataflow,ESTAT:HSW_PB3(1.0),A,D1-3,Y15-64,PC_EMP_PREEMP,PL,2020,4.2,d
dataflow,ESTAT:HSW_PB3(1.0),A,D1-3,Y15-64,PC_EMP_PREEMP,PT,2020,0.2,
dataflow,ESTAT:HSW_PB3(1.0),A,D1-3,Y15-64,PC_EMP_PREEMP,RO,2020,0.7,
dataflow,ESTAT:HSW_PB3(1.0),A,D1-3,Y15-64,PC_EMP_PREEMP,SE,2020,1.4,
dataflow,ESTAT:HSW_PB3(1.0),A,D1-3,Y15-64,PC_EMP_PREEMP,SI,2020,0.1,u
dataflow,ESTAT:HSW_PB3(1.0),A,D1-3,Y15-64,PC_EMP_PREEMP,SK,2020,0.5,
dataflow,ESTAT:HSW_PB3(1.0),A,D1-3,Y15-64,PC_PER_HPB,AT,2007,4.9,
dataflow,ESTAT:HSW_PB3(1.0),A,D1-3,Y15-64,PC_PER_HPB,AT,2013,9.2,
dataflow,ESTAT:HSW_PB3(1.0),A,D1-3,Y15-64,PC_PER_HPB,AT,2020,3.1,
dataflow,ESTAT:HSW_PB3(1.0),A,D1-3,Y15-64,PC_PER_HPB,BE,2007,6.9,d
dataflow,ESTAT:HSW_PB3(1.0),A,D1-3,Y15-64,PC_PER_HPB,BE,2013,5.6,
dataflow,ESTAT:HSW_PB3(1.0),A,D1-3,Y15-64,PC_PER_HPB,BE,2020,5.1,
dataflow,ESTAT:HSW_PB3(1.0),A,D1-3,Y15-64,PC_PER_HPB,BG,2007,,u
dataflow,ESTAT:HSW_PB3(1.0),A,D1-3,Y15-64,PC_PER_HPB,BG,2013,,u
dataflow,ESTAT:HSW_PB3(1.0),A,D1-3,Y15-64,PC_PER_HPB,BG,2020,,u
dataflow,ESTAT:HSW_PB3(1.0),A,D1-3,Y15-64,PC_PER_HPB,CH,2013,4.6,
dataflow,ESTAT:HSW_PB3(1.0),A,D1-3,Y15-64,PC_PER_HPB,CH,2020,6.0,
dataflow,ESTAT:HSW_PB3(1.0),A,D1-3,Y15-64,PC_PER_HPB,CY,2007,14.1,
dataflow,ESTAT:HSW_PB3(1.0),A,D1-3,Y15-64,PC_PER_HPB,CY,2013,13.5,
dataflow,ESTAT:HSW_PB3(1.0),A,D1-3,Y15-64,PC_PER_HPB,CY,2020,13.5,
dataflow,ESTAT:HSW_PB3(1.0),A,D1-3,Y15-64,PC_PER_HPB,CZ,2007,3.4,d
dataflow,ESTAT:HSW_PB3(1.0),A,D1-3,Y15-64,PC_PER_HPB,CZ,2013,4.9,
dataflow,ESTAT:HSW_PB3(1.0),A,D1-3,Y15-64,PC_PER_HPB,CZ,2020,4.3,
